n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,12,IMM,100.0,100,0.620764970779419,0.5252,7700.0643,0.5948,0.9619,0.7345,2.2244,0.8611,0.8619,0.8217,0.9063,0.8619,0.7623,ExKMC,s-set2_y.zip
12,12,IMM,100.0,20,0.4443733692169189,0.5242,7648.663,0.6344,0.9631,0.7422,2.2365,0.8656,0.8664,0.8261,0.9109,0.8664,0.7694,ExKMC,s-set2_y.zip
12,12,IMM,inf,100,0.3913228511810303,0.5242,7648.663,0.6344,0.9631,0.7422,2.2365,0.8656,0.8664,0.8261,0.9109,0.8664,0.7694,ExKMC,s-set2_y.zip
12,12,IMM,inf,20,0.2041757106781005,0.5242,7648.663,0.6344,0.9631,0.7422,2.2365,0.8656,0.8664,0.8261,0.9109,0.8664,0.7694,ExKMC,s-set2_y.zip
12,12,NONE,1000.0,100,0.5184199810028076,0.43,5762.0355,0.7439,0.9404,0.6111,2.0097,0.7943,0.7954,0.7424,0.8567,0.7954,0.6556,ExKMC,s-set2_y.zip
12,12,NONE,1000.0,20,0.3127942085266113,0.43,5762.0355,0.7439,0.9404,0.6111,2.0097,0.7943,0.7954,0.7424,0.8567,0.7954,0.6556,ExKMC,s-set2_y.zip
12,12,NONE,100.0,100,0.2296013832092285,0.4823,6234.9465,0.6586,0.9384,0.6191,1.9913,0.8019,0.8029,0.7356,0.8838,0.8029,0.671,ExKMC,s-set2_y.zip
12,12,NONE,100.0,20,0.1429882049560547,0.43,5762.0355,0.7439,0.9404,0.6111,2.0097,0.7943,0.7954,0.7424,0.8567,0.7954,0.6556,ExKMC,s-set2_y.zip
12,12,NONE,inf,100,0.1946780681610107,0.43,5762.0355,0.7439,0.9404,0.6111,2.0097,0.7943,0.7954,0.7424,0.8567,0.7954,0.6556,ExKMC,s-set2_y.zip
12,12,NONE,inf,20,0.3646934032440185,0.43,5762.0355,0.7439,0.9404,0.6111,2.0097,0.7943,0.7954,0.7424,0.8567,0.7954,0.6556,ExKMC,s-set2_y.zip
2,10,IMM,1000.0,100,0.3099782466888428,0.3946,3614.4534,1.0769,0.562,0.1267,0.6503,0.3822,0.3827,0.2402,0.9408,0.3827,0.3567,ExKMC,s-set2_y.zip
