min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,inf,correlation,auto,4,11.37632966041565,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,cosine,auto,4,18.05226182937622,-0.5584,16.2253,17.6825,0.7577,0.0021,1.4589,0.177,0.339,0.87,0.2105,0.339,0.0435,,,skl_OPTICS,cure-t2-4k_y.zip
2,inf,cosine,auto,4,16.722923278808594,-0.5584,16.2253,17.6825,0.7577,0.0021,1.4589,0.177,0.339,0.87,0.2105,0.339,0.0435,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,cosine,auto,4,16.71651339530945,-0.5584,16.2253,17.6825,0.7577,0.0021,1.4589,0.177,0.339,0.87,0.2105,0.339,0.0435,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,cosine,auto,4,16.68519639968872,-0.5584,16.2253,17.6825,0.7577,0.0021,1.4589,0.177,0.339,0.87,0.2105,0.339,0.0435,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,euclidean,auto,4,8.144209861755371,0.2694,11.2794,1.3366,0.7452,0.0011,1.3905,0.193,0.3468,0.8292,0.2193,0.3468,0.0853,,,skl_OPTICS,cure-t2-4k_y.zip
2,inf,euclidean,auto,4,8.218587875366211,0.2694,11.2794,1.3366,0.7452,0.0011,1.3905,0.193,0.3468,0.8292,0.2193,0.3468,0.0853,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,euclidean,auto,4,8.655784606933594,0.2694,11.2794,1.3366,0.7452,0.0011,1.3905,0.193,0.3468,0.8292,0.2193,0.3468,0.0853,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,euclidean,auto,4,8.170491218566895,0.2694,11.2794,1.3366,0.7452,0.0011,1.3905,0.193,0.3468,0.8292,0.2193,0.3468,0.0853,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,correlation,auto,4,11.526699304580688,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,,,skl_OPTICS,cure-t2-4k_y.zip
3,inf,correlation,auto,4,11.41405701637268,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,correlation,auto,4,11.377901554107666,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,correlation,auto,4,11.431221961975098,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,cosine,auto,4,19.48854780197144,-0.5223,15.3411,14.3431,0.7429,0.0067,1.2608,0.2272,0.3364,0.7519,0.2166,0.3364,0.1026,,,skl_OPTICS,cure-t2-4k_y.zip
3,inf,cosine,auto,4,16.70734667778015,-0.5223,15.3411,14.3431,0.7429,0.0067,1.2608,0.2272,0.3364,0.7519,0.2166,0.3364,0.1026,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,cosine,auto,4,17.038558959960938,-0.5223,15.3411,14.3431,0.7429,0.0067,1.2608,0.2272,0.3364,0.7519,0.2166,0.3364,0.1026,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,cosine,auto,4,17.9815092086792,-0.5223,15.3411,14.3431,0.7429,0.0067,1.2608,0.2272,0.3364,0.7519,0.2166,0.3364,0.1026,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,euclidean,auto,4,8.416428089141846,0.0399,10.7239,1.3923,0.7002,-0.0016,1.1074,0.2357,0.338,0.6604,0.2271,0.338,0.1641,,,skl_OPTICS,cure-t2-4k_y.zip
3,inf,euclidean,auto,4,8.13187050819397,0.0399,10.7239,1.3923,0.7002,-0.0016,1.1074,0.2357,0.338,0.6604,0.2271,0.338,0.1641,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,euclidean,auto,4,8.38161587715149,0.0399,10.7239,1.3923,0.7002,-0.0016,1.1074,0.2357,0.338,0.6604,0.2271,0.338,0.1641,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,euclidean,auto,4,8.646914720535278,0.0399,10.7239,1.3923,0.7002,-0.0016,1.1074,0.2357,0.338,0.6604,0.2271,0.338,0.1641,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,correlation,auto,4,11.465829133987429,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,,,skl_OPTICS,cure-t2-4k_y.zip
5,inf,correlation,auto,4,11.336092948913574,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,correlation,auto,4,11.385878086090088,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,correlation,auto,4,11.431435585021973,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,cosine,auto,4,18.960928678512573,-0.45,25.3933,11.359,0.734,0.0112,1.1769,0.285,0.3491,0.7018,0.2323,0.3491,0.1288,,,skl_OPTICS,cure-t2-4k_y.zip
5,inf,cosine,auto,4,16.73881983757019,-0.45,25.3933,11.359,0.734,0.0112,1.1769,0.285,0.3491,0.7018,0.2323,0.3491,0.1288,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,cosine,auto,4,16.985511779785156,-0.45,25.3933,11.359,0.734,0.0112,1.1769,0.285,0.3491,0.7018,0.2323,0.3491,0.1288,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,cosine,auto,4,16.724533319473267,-0.45,25.3933,11.359,0.734,0.0112,1.1769,0.285,0.3491,0.7018,0.2323,0.3491,0.1288,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,euclidean,auto,4,9.446031093597412,-0.1615,14.9648,1.3694,0.645,0.0132,0.8894,0.2773,0.3371,0.5304,0.2471,0.3371,0.2452,,,skl_OPTICS,cure-t2-4k_y.zip
5,inf,euclidean,auto,4,8.202167272567749,-0.1615,14.9648,1.3694,0.645,0.0132,0.8894,0.2773,0.3371,0.5304,0.2471,0.3371,0.2452,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,euclidean,auto,4,8.150734901428223,-0.1615,14.9648,1.3694,0.645,0.0132,0.8894,0.2773,0.3371,0.5304,0.2471,0.3371,0.2452,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,euclidean,auto,4,8.22166132926941,-0.1615,14.9648,1.3694,0.645,0.0132,0.8894,0.2773,0.3371,0.5304,0.2471,0.3371,0.2452,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,correlation,auto,4,11.366950988769531,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,correlation,auto,4,11.32509732246399,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,correlation,auto,4,11.412060022354126,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,cosine,auto,4,16.774143934249878,-0.3645,44.4479,9.1855,0.7178,-0.0092,1.061,0.3186,0.3524,0.6328,0.2442,0.3524,0.1258,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,cosine,auto,4,16.659612894058228,-0.3645,44.4479,9.1855,0.7178,-0.0092,1.061,0.3186,0.3524,0.6328,0.2442,0.3524,0.1258,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,cosine,auto,4,16.70142650604248,-0.3645,44.4479,9.1855,0.7178,-0.0092,1.061,0.3186,0.3524,0.6328,0.2442,0.3524,0.1258,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,euclidean,auto,4,8.31428599357605,-0.3834,28.2114,1.3833,0.5462,0.029,0.6005,0.2937,0.3179,0.3581,0.2858,0.3179,0.3448,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,euclidean,auto,4,8.224093914031982,-0.3834,28.2114,1.3833,0.5462,0.029,0.6005,0.2937,0.3179,0.3581,0.2858,0.3179,0.3448,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,euclidean,auto,4,8.30868911743164,-0.3834,28.2114,1.3833,0.5462,0.029,0.6005,0.2937,0.3179,0.3581,0.2858,0.3179,0.3448,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
20,inf,correlation,auto,4,11.379273653030396,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
20,inf,correlation,auto,4,11.382058143615724,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
20,inf,correlation,auto,4,11.349857091903688,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
20,inf,cosine,auto,4,16.63283085823059,-0.3141,79.7209,5.6775,0.7017,0.0365,0.9695,0.3629,0.3787,0.5781,0.2816,0.3787,0.2108,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
20,inf,cosine,auto,4,16.67316746711731,-0.3141,79.7209,5.6775,0.7017,0.0365,0.9695,0.3629,0.3787,0.5781,0.2816,0.3787,0.2108,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
20,inf,cosine,auto,4,16.725051641464233,-0.3141,79.7209,5.6775,0.7017,0.0365,0.9695,0.3629,0.3787,0.5781,0.2816,0.3787,0.2108,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
20,inf,euclidean,auto,4,8.163434743881226,-0.5507,34.7043,1.1023,0.4262,0.0781,0.3256,0.2497,0.2591,0.1942,0.3892,0.2591,0.4779,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
20,inf,euclidean,auto,4,8.552339315414429,-0.5507,34.7043,1.1023,0.4262,0.0781,0.3256,0.2497,0.2591,0.1942,0.3892,0.2591,0.4779,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
20,inf,euclidean,auto,4,8.753180742263794,-0.5507,34.7043,1.1023,0.4262,0.0781,0.3256,0.2497,0.2591,0.1942,0.3892,0.2591,0.4779,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,correlation,auto,4,11.355175018310549,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,correlation,auto,4,11.42053771018982,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,correlation,auto,4,11.37632966041565,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,cosine,auto,4,16.722923278808594,-0.5584,16.2253,17.6825,0.7577,0.0021,1.4589,0.177,0.339,0.87,0.2105,0.339,0.0435,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,cosine,auto,4,16.71651339530945,-0.5584,16.2253,17.6825,0.7577,0.0021,1.4589,0.177,0.339,0.87,0.2105,0.339,0.0435,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,cosine,auto,4,16.68519639968872,-0.5584,16.2253,17.6825,0.7577,0.0021,1.4589,0.177,0.339,0.87,0.2105,0.339,0.0435,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,euclidean,auto,4,8.218587875366211,0.2694,11.2794,1.3366,0.7452,0.0011,1.3905,0.193,0.3468,0.8292,0.2193,0.3468,0.0853,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,euclidean,auto,4,8.655784606933594,0.2694,11.2794,1.3366,0.7452,0.0011,1.3905,0.193,0.3468,0.8292,0.2193,0.3468,0.0853,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
2,inf,euclidean,auto,4,8.170491218566895,0.2694,11.2794,1.3366,0.7452,0.0011,1.3905,0.193,0.3468,0.8292,0.2193,0.3468,0.0853,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,correlation,auto,4,11.41405701637268,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,correlation,auto,4,11.377901554107666,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,correlation,auto,4,11.431221961975098,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,cosine,auto,4,16.70734667778015,-0.5223,15.3411,14.3431,0.7429,0.0067,1.2608,0.2272,0.3364,0.7519,0.2166,0.3364,0.1026,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,cosine,auto,4,17.038558959960938,-0.5223,15.3411,14.3431,0.7429,0.0067,1.2608,0.2272,0.3364,0.7519,0.2166,0.3364,0.1026,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,cosine,auto,4,17.9815092086792,-0.5223,15.3411,14.3431,0.7429,0.0067,1.2608,0.2272,0.3364,0.7519,0.2166,0.3364,0.1026,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,euclidean,auto,4,8.13187050819397,0.0399,10.7239,1.3923,0.7002,-0.0016,1.1074,0.2357,0.338,0.6604,0.2271,0.338,0.1641,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,euclidean,auto,4,8.38161587715149,0.0399,10.7239,1.3923,0.7002,-0.0016,1.1074,0.2357,0.338,0.6604,0.2271,0.338,0.1641,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
3,inf,euclidean,auto,4,8.646914720535278,0.0399,10.7239,1.3923,0.7002,-0.0016,1.1074,0.2357,0.338,0.6604,0.2271,0.338,0.1641,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,correlation,auto,4,11.336092948913574,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,correlation,auto,4,11.385878086090088,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,correlation,auto,4,11.431435585021973,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,cosine,auto,4,16.73881983757019,-0.45,25.3933,11.359,0.734,0.0112,1.1769,0.285,0.3491,0.7018,0.2323,0.3491,0.1288,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,cosine,auto,4,16.985511779785156,-0.45,25.3933,11.359,0.734,0.0112,1.1769,0.285,0.3491,0.7018,0.2323,0.3491,0.1288,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,cosine,auto,4,16.724533319473267,-0.45,25.3933,11.359,0.734,0.0112,1.1769,0.285,0.3491,0.7018,0.2323,0.3491,0.1288,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,euclidean,auto,4,8.202167272567749,-0.1615,14.9648,1.3694,0.645,0.0132,0.8894,0.2773,0.3371,0.5304,0.2471,0.3371,0.2452,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,euclidean,auto,4,8.150734901428223,-0.1615,14.9648,1.3694,0.645,0.0132,0.8894,0.2773,0.3371,0.5304,0.2471,0.3371,0.2452,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
5,inf,euclidean,auto,4,8.22166132926941,-0.1615,14.9648,1.3694,0.645,0.0132,0.8894,0.2773,0.3371,0.5304,0.2471,0.3371,0.2452,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
