max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
2,10,30,50,20,20,0.0,20.59512162208557,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,10,30,50,20,20,0.1,18.019221544265747,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,10,30,5,20,20,0.0,20.484839916229248,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,10,30,5,20,20,0.1,18.07486891746521,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,10,3,50,20,20,0.0,20.611980676651,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,10,3,50,20,20,0.1,18.006684064865112,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,10,3,5,20,20,0.0,20.46366810798645,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,10,3,5,20,20,0.1,17.993251085281372,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,12,30,50,20,20,0.0,20.708223819732662,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,12,30,50,20,20,0.1,18.05499911308289,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,12,30,5,20,20,0.0,20.59127902984619,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,12,30,5,20,20,0.1,18.100427389144897,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,12,3,50,20,20,0.0,20.608087301254272,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,12,3,50,20,20,0.1,17.97532343864441,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,12,3,5,20,20,0.0,20.666003704071045,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,12,3,5,20,20,0.1,17.944258451461792,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,2,30,50,20,20,0.0,9.04529619216919,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,30,50,20,20,0.1,8.961755275726318,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,30,5,20,20,0.0,9.04004716873169,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,30,5,20,20,0.1,8.955541849136353,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,3,50,20,20,0.0,9.001615047454834,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,3,50,20,20,0.1,8.930983781814575,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,3,5,1000,100,0.0,138.09326601028442,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,3,5,1000,100,0.1,139.05903458595276,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,3,5,1000,20,0.0,138.58963561058044,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,3,5,1000,20,0.1,138.3346242904663,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,3,5,20,20,0.0,9.434104681015016,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,2,3,5,20,20,0.1,8.927156686782837,0.9253,54085.675,0.1083,VarianceParTree,bank.zip
2,4,30,50,20,20,0.0,20.217031955718998,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,4,30,50,20,20,0.1,17.980592727661133,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,4,30,5,20,20,0.0,20.34533977508545,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,4,30,5,20,20,0.1,17.849693536758423,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,4,3,50,20,20,0.0,20.225520133972168,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,4,3,50,20,20,0.1,18.01195526123047,0.0366,18248.8557,4.3234,VarianceParTree,bank.zip
2,4,3,5,1000,100,0.0,357.2275097370148,0.135,24218.1227,1.4032,VarianceParTree,bank.zip
2,4,3,5,1000,100,0.1,360.3183968067169,0.135,24218.1227,1.4032,VarianceParTree,bank.zip
