n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,100,Cao,11,False,42,4,0.1434240341186523,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,,,kmodes,longsquare_y.zip
10,100,Cao,11,False,42,4,0.1089284420013427,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,1000.0,20.0,kmodes,longsquare_y.zip
10,100,Cao,11,False,42,4,0.1060004234313964,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,100.0,20.0,kmodes,longsquare_y.zip
10,100,Cao,11,False,42,4,0.1062595844268798,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,inf,20.0,kmodes,longsquare_y.zip
10,300,Cao,11,False,42,4,0.1459712982177734,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,,,kmodes,longsquare_y.zip
10,300,Cao,11,False,42,4,0.10630464553833,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,1000.0,20.0,kmodes,longsquare_y.zip
10,300,Cao,11,False,42,4,0.1091730594635009,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,100.0,20.0,kmodes,longsquare_y.zip
10,300,Cao,11,False,42,4,0.1082596778869628,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,inf,20.0,kmodes,longsquare_y.zip
10,500,Cao,11,False,42,4,0.1457598209381103,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,,,kmodes,longsquare_y.zip
10,500,Cao,11,False,42,4,0.1082124710083007,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,1000.0,20.0,kmodes,longsquare_y.zip
10,500,Cao,11,False,42,4,0.1052706241607666,-0.191,1.3642,0.7969,0.1794,0.0003,0.0184,0.0005,0.0197,0.0103,0.2357,0.0197,0.4034,100.0,20.0,kmodes,longsquare_y.zip
