max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
2,10,30,50,20,20,0.0,42,cos,jaccard,4.96597695350647,0.1263,3012.5485,1.8712,CenterParTree2,fico.zip
2,10,30,50,20,20,0.1,42,cos,jaccard,4.96405029296875,0.1214,2985.1738,1.9204,CenterParTree2,fico.zip
2,10,30,5,20,20,0.0,42,cos,jaccard,4.89490532875061,0.1169,2963.0636,1.9529,CenterParTree2,fico.zip
2,10,30,5,20,20,0.1,42,cos,jaccard,4.89019513130188,0.1263,3012.5485,1.8712,CenterParTree2,fico.zip
2,10,3,50,20,20,0.0,42,cos,jaccard,5.022714614868164,0.1214,2985.1738,1.9204,CenterParTree2,fico.zip
2,10,3,50,20,20,0.1,42,cos,jaccard,4.903597831726074,0.1214,2985.1738,1.9204,CenterParTree2,fico.zip
2,10,3,5,20,20,0.0,42,cos,jaccard,4.81310248374939,0.1214,2985.1738,1.9204,CenterParTree2,fico.zip
2,10,3,5,20,20,0.1,42,cos,jaccard,4.854629755020142,0.1214,2985.1738,1.9204,CenterParTree2,fico.zip
2,12,30,50,20,20,0.0,42,cos,jaccard,4.966064453125,0.1169,2963.0636,1.9529,CenterParTree2,fico.zip
2,12,30,50,20,20,0.1,42,cos,jaccard,4.889910936355591,0.1263,3012.5485,1.8712,CenterParTree2,fico.zip
2,12,30,5,20,20,0.0,42,cos,jaccard,4.931962490081787,0.1263,3012.5485,1.8712,CenterParTree2,fico.zip
2,12,30,5,20,20,0.1,42,cos,jaccard,4.869998931884766,0.1214,2985.1738,1.9204,CenterParTree2,fico.zip
2,12,3,50,20,20,0.0,42,cos,jaccard,4.86369252204895,0.1214,2985.1738,1.9204,CenterParTree2,fico.zip
2,12,3,50,20,20,0.1,42,cos,jaccard,4.829349040985107,0.1214,2985.1738,1.9204,CenterParTree2,fico.zip
2,12,3,5,20,20,0.0,42,cos,jaccard,4.905700922012329,0.1263,3012.5485,1.8712,CenterParTree2,fico.zip
