eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.75,10,cosine,auto,4,0.0083942413330078,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.75,10,euclidean,auto,4,0.0040831565856933,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.75,2,correlation,auto,4,0.0056838989257812,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.75,2,cosine,auto,4,0.0057945251464843,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.75,2,euclidean,auto,4,0.0039403438568115,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.75,5,correlation,auto,4,0.0055148601531982,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.75,5,cosine,auto,4,0.0069010257720947,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.75,5,euclidean,auto,4,0.0042557716369628,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
1.0,10,correlation,auto,4,0.0055644512176513,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
1.0,10,cosine,auto,4,0.0068902969360351,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
1.0,10,euclidean,auto,4,0.0040490627288818,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
1.0,2,correlation,auto,4,0.0069770812988281,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
1.0,2,cosine,auto,4,0.0090961456298828,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
1.0,2,euclidean,auto,4,0.0053768157958984,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
1.0,5,correlation,auto,4,0.0052101612091064,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
1.0,5,cosine,auto,4,0.0069482326507568,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
1.0,5,euclidean,auto,4,0.0043497085571289,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
