eps,min_samples,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
0.1,10,correlation,auto,4,1000.0,20,0.8662874698638916,-0.1475,918.6848,1.7033,skl_DBSCAN,ficoONEHOT.zip
0.1,10,correlation,auto,4,100.0,20,0.8566339015960693,-0.1475,918.6848,1.7033,skl_DBSCAN,ficoONEHOT.zip
0.1,10,correlation,auto,4,inf,20,0.8710854053497314,-0.1475,918.6848,1.7033,skl_DBSCAN,ficoONEHOT.zip
0.1,10,cosine,auto,4,1000.0,20,0.9915366172790528,-0.2108,502.8718,1.9983,skl_DBSCAN,ficoONEHOT.zip
0.1,10,cosine,auto,4,100.0,20,0.9628615379333496,-0.2108,502.8718,1.9983,skl_DBSCAN,ficoONEHOT.zip
0.1,10,cosine,auto,4,inf,20,0.9584016799926758,-0.2108,502.8718,1.9983,skl_DBSCAN,ficoONEHOT.zip
0.1,10,euclidean,auto,4,1000.0,20,0.1531944274902343,0.6664,7970.1923,0.256,skl_DBSCAN,ficoONEHOT.zip
0.1,10,euclidean,auto,4,100.0,20,0.1038646697998046,0.6664,7970.1923,0.256,skl_DBSCAN,ficoONEHOT.zip
0.1,10,euclidean,auto,4,inf,20,0.1452713012695312,0.6664,7970.1923,0.256,skl_DBSCAN,ficoONEHOT.zip
0.1,2,correlation,auto,4,1000.0,20,0.8630657196044922,-0.3431,22.8386,1.4343,skl_DBSCAN,ficoONEHOT.zip
0.1,2,correlation,auto,4,100.0,20,0.8503339290618896,-0.3431,22.8386,1.4343,skl_DBSCAN,ficoONEHOT.zip
0.1,2,correlation,auto,4,inf,20,0.8735535144805908,-0.3431,22.8386,1.4343,skl_DBSCAN,ficoONEHOT.zip
0.1,2,cosine,auto,4,1000.0,20,0.9723408222198486,-0.3497,23.3964,1.4376,skl_DBSCAN,ficoONEHOT.zip
0.1,2,cosine,auto,4,100.0,20,0.9578635692596436,-0.3497,23.3964,1.4376,skl_DBSCAN,ficoONEHOT.zip
0.1,2,cosine,auto,4,inf,20,0.9779999256134032,-0.3497,23.3964,1.4376,skl_DBSCAN,ficoONEHOT.zip
0.1,2,euclidean,auto,4,1000.0,20,0.152766466140747,0.0999,3986.7285,0.6903,skl_DBSCAN,ficoONEHOT.zip
0.1,2,euclidean,auto,4,100.0,20,0.1543517112731933,0.0999,3986.7285,0.6903,skl_DBSCAN,ficoONEHOT.zip
0.1,2,euclidean,auto,4,inf,20,0.1701273918151855,0.0999,3986.7285,0.6903,skl_DBSCAN,ficoONEHOT.zip
0.1,5,correlation,auto,4,1000.0,20,0.8623654842376709,-0.2766,208.9308,1.7196,skl_DBSCAN,ficoONEHOT.zip
0.1,5,correlation,auto,4,100.0,20,0.8640651702880859,-0.2766,208.9308,1.7196,skl_DBSCAN,ficoONEHOT.zip
0.1,5,correlation,auto,4,inf,20,0.8747031688690186,-0.2766,208.9308,1.7196,skl_DBSCAN,ficoONEHOT.zip
0.1,5,cosine,auto,4,1000.0,20,1.014500617980957,-0.2881,209.0622,1.8338,skl_DBSCAN,ficoONEHOT.zip
0.1,5,cosine,auto,4,100.0,20,0.9710252285003662,-0.2881,209.0622,1.8338,skl_DBSCAN,ficoONEHOT.zip
0.1,5,cosine,auto,4,inf,20,0.9657111167907716,-0.2881,209.0622,1.8338,skl_DBSCAN,ficoONEHOT.zip
0.1,5,euclidean,auto,4,1000.0,20,0.1524572372436523,0.6664,7970.1923,0.256,skl_DBSCAN,ficoONEHOT.zip
0.1,5,euclidean,auto,4,100.0,20,0.1509802341461181,0.6664,7970.1923,0.256,skl_DBSCAN,ficoONEHOT.zip
0.1,5,euclidean,auto,4,inf,20,0.1520862579345703,0.6664,7970.1923,0.256,skl_DBSCAN,ficoONEHOT.zip
