number_clusters,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,13.28529977798462,0.2863,2017.5832,0.8173,0.8824,0.301,1.977,0.7125,0.7173,0.5757,0.9511,0.7173,0.4394,pyc_agglomerativeClust,2d-d31_y.zip
12,13.25813341140747,0.338,2385.8328,0.7548,0.918,0.3875,2.2113,0.7612,0.7658,0.6439,0.9445,0.7658,0.4988,pyc_agglomerativeClust,2d-d31_y.zip
2,13.270544290542604,0.2717,1113.5086,1.2655,0.4442,0.0421,0.5563,0.2737,0.2755,0.162,0.9198,0.2755,0.226,pyc_agglomerativeClust,2d-d31_y.zip
31,13.140220642089844,0.2928,2908.0934,0.7508,0.9718,0.6381,2.8493,0.8613,0.8672,0.8297,0.9083,0.8672,0.6673,pyc_agglomerativeClust,2d-d31_y.zip
4,13.313149690628052,0.169,876.5735,1.0624,0.6064,0.0799,0.973,0.4311,0.4348,0.2834,0.9344,0.4348,0.2633,pyc_agglomerativeClust,2d-d31_y.zip
6,13.236896991729736,0.1905,1615.9149,0.9258,0.7762,0.1645,1.4303,0.5729,0.5772,0.4165,0.9397,0.5772,0.3352,pyc_agglomerativeClust,2d-d31_y.zip
8,13.240803003311155,0.2351,1867.9804,0.8604,0.8368,0.2268,1.7057,0.6469,0.6517,0.4967,0.9473,0.6517,0.3842,pyc_agglomerativeClust,2d-d31_y.zip
