max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,n_components,oblique_splits,max_oblique_features,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,30,5,20,20,0.1,42,2,False,2,0.3276216983795166,0.0511,30.1591,3.5369,0.5407,0.0769,0.0144,0.0171,0.0191,0.0236,0.016,0.0191,0.5814,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.0,42,1,False,0,0.3054392337799072,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.0,42,1,False,1,0.2879824638366699,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.0,42,1,False,2,0.241448163986206,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.0,42,2,False,0,0.3077883720397949,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.0,42,2,False,1,0.4280798435211181,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.0,42,2,False,2,0.237206220626831,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.1,42,1,False,0,0.3002350330352783,0.0511,30.1591,3.5369,0.5407,0.0769,0.0144,0.0171,0.0191,0.0236,0.016,0.0191,0.5814,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.1,42,1,False,1,0.3680799007415771,0.0511,30.1591,3.5369,0.5407,0.0769,0.0144,0.0171,0.0191,0.0236,0.016,0.0191,0.5814,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.1,42,1,False,2,0.2897934913635254,0.0511,30.1591,3.5369,0.5407,0.0769,0.0144,0.0171,0.0191,0.0236,0.016,0.0191,0.5814,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.1,42,2,False,0,0.2826251983642578,0.0511,30.1591,3.5369,0.5407,0.0769,0.0144,0.0171,0.0191,0.0236,0.016,0.0191,0.5814,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.1,42,2,False,1,0.3347022533416748,0.0511,30.1591,3.5369,0.5407,0.0769,0.0144,0.0171,0.0191,0.0236,0.016,0.0191,0.5814,PrincipalParTree,german_credit_y.zip
2,10,3,50,20,20,0.1,42,2,False,2,0.3819267749786377,0.0511,30.1591,3.5369,0.5407,0.0769,0.0144,0.0171,0.0191,0.0236,0.016,0.0191,0.5814,PrincipalParTree,german_credit_y.zip
2,10,3,5,20,20,0.0,42,1,False,0,0.3274300098419189,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,5,20,20,0.0,42,1,False,1,0.3221244812011719,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,5,20,20,0.0,42,1,False,2,0.3527336120605469,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,5,20,20,0.0,42,2,False,0,0.2962498664855957,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,5,20,20,0.0,42,2,False,1,0.3739814758300781,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,5,20,20,0.0,42,2,False,2,0.2380063533782959,0.064,22.1995,3.2144,0.5642,0.0358,0.0032,0.0044,0.0063,0.0053,0.0079,0.0063,0.6936,PrincipalParTree,german_credit_y.zip
2,10,3,5,20,20,0.1,42,1,False,0,0.3188591003417969,0.0511,30.1591,3.5369,0.5407,0.0769,0.0144,0.0171,0.0191,0.0236,0.016,0.0191,0.5814,PrincipalParTree,german_credit_y.zip
