max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
2,10,30,50,20,20,0.0,42,gini,mape,10.387750625610352,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,30,50,20,20,0.0,42,gini,r2,10.503371477127075,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,30,50,20,20,0.0,42,me,mape,10.412468194961548,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,30,50,20,20,0.0,42,me,r2,10.44639492034912,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,30,50,20,20,0.1,42,gini,mape,10.62513303756714,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,30,50,20,20,0.1,42,gini,r2,10.23609495162964,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,30,50,20,20,0.1,42,me,mape,10.413281202316284,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,30,50,20,20,0.1,42,me,r2,10.31077241897583,-0.0016,1097.9168,3.2025,ImpurityParTree2,bank.zip
2,10,30,5,20,20,0.0,42,gini,mape,10.504152774810793,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,30,5,20,20,0.0,42,gini,r2,10.676677227020264,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,30,5,20,20,0.0,42,me,mape,10.611093997955322,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,30,5,20,20,0.0,42,me,r2,10.540409326553345,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,30,5,20,20,0.1,42,gini,mape,10.513318300247192,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,30,5,20,20,0.1,42,gini,r2,10.45770525932312,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,30,5,20,20,0.1,42,me,mape,10.359748125076294,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,30,5,20,20,0.1,42,me,r2,10.370931386947632,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,3,50,20,20,0.0,42,gini,mape,10.65912389755249,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,3,50,20,20,0.0,42,gini,r2,10.368208885192873,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,3,50,20,20,0.0,42,me,mape,10.404956817626951,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,3,50,20,20,0.0,42,me,r2,10.270447015762327,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,3,50,20,20,0.1,42,gini,mape,10.609421730041504,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,3,50,20,20,0.1,42,gini,r2,10.48341941833496,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,3,50,20,20,0.1,42,me,mape,10.63843560218811,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,3,50,20,20,0.1,42,me,r2,10.483905553817747,-0.0248,1111.3958,3.6254,ImpurityParTree2,bank.zip
2,10,3,5,20,20,0.0,42,gini,mape,10.486027956008911,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
2,10,3,5,20,20,0.0,42,gini,r2,10.547227621078491,-0.0327,1114.8429,3.0387,ImpurityParTree2,bank.zip
