max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,2,30,50,1000.0,100.0,0.0,42,entropy,mape,10.813528537750244,-0.0609,10.7072,8.4112,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.0,42,entropy,r2,10.809937953948976,-0.0606,12.8601,7.473,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.0,42,gini,mape,10.85559344291687,-0.0532,23.2707,6.1223,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.0,42,gini,r2,10.850339412689207,-0.0532,23.2707,6.1223,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.0,42,me,mape,10.962271213531494,0.0,0.0,0.0,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.0,42,me,r2,10.945690870285034,0.0,0.0,0.0,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.1,42,entropy,mape,10.75795555114746,0.1116,39.3922,1.6126,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.1,42,entropy,r2,10.816165447235107,-0.0532,23.2707,6.1223,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.1,42,gini,mape,10.759040117263794,-0.0116,3.9653,6.5578,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.1,42,gini,r2,10.731900215148926,-0.0609,10.7072,8.4112,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.1,42,me,mape,10.82680082321167,0.1195,58.9269,1.5313,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.1,42,me,r2,10.890342235565186,0.4945,18.5793,1.5777,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.2,42,entropy,mape,10.730417490005491,-0.0609,10.7072,8.4112,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.2,42,entropy,r2,10.941003561019896,-0.0532,23.2707,6.1223,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.2,42,gini,mape,10.779432773590088,0.087,12.21,1.8979,ImpurityParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.2,42,gini,r2,10.914731979370115,-0.0613,13.9693,7.0554,ImpurityParTree2,wine.zip
