n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,euclidean,ward,100.0,20,43.55431365966797,0.1627,6630.9889,1.1474,0.4143,0.014,0.0782,0.0605,0.0606,0.1416,0.0385,0.0606,0.3219,skl_agglomerativeClust,adultONEHOT_y.zip
10,euclidean,ward,inf,20,43.27663230895996,0.1627,6630.9889,1.1474,0.4143,0.014,0.0782,0.0605,0.0606,0.1416,0.0385,0.0606,0.3219,skl_agglomerativeClust,adultONEHOT_y.zip
12,correlation,average,1000.0,20,44.17600178718567,0.1042,3670.3045,1.516,0.4116,0.0265,0.0837,0.0584,0.0585,0.1517,0.0363,0.0585,0.2961,skl_agglomerativeClust,adultONEHOT_y.zip
12,correlation,average,100.0,20,43.978835344314575,0.1042,3670.3045,1.516,0.4116,0.0265,0.0837,0.0584,0.0585,0.1517,0.0363,0.0585,0.2961,skl_agglomerativeClust,adultONEHOT_y.zip
12,correlation,average,inf,20,44.05701231956482,0.1042,3670.3045,1.516,0.4116,0.0265,0.0837,0.0584,0.0585,0.1517,0.0363,0.0585,0.2961,skl_agglomerativeClust,adultONEHOT_y.zip
12,correlation,complete,1000.0,20,40.43575596809387,0.0705,2734.732,1.8348,0.4018,0.0103,0.0456,0.0316,0.0317,0.0826,0.0196,0.0317,0.2775,skl_agglomerativeClust,adultONEHOT_y.zip
12,correlation,complete,100.0,20,40.56193995475769,0.0705,2734.732,1.8348,0.4018,0.0103,0.0456,0.0316,0.0317,0.0826,0.0196,0.0317,0.2775,skl_agglomerativeClust,adultONEHOT_y.zip
12,correlation,complete,inf,20,40.46084928512573,0.0705,2734.732,1.8348,0.4018,0.0103,0.0456,0.0316,0.0317,0.0826,0.0196,0.0317,0.2775,skl_agglomerativeClust,adultONEHOT_y.zip
12,correlation,single,1000.0,20,9.438021183013916,-0.3618,576.7893,1.0307,0.6354,0.0641,0.0086,0.0226,0.0231,0.0156,0.045,0.0231,0.7767,skl_agglomerativeClust,adultONEHOT_y.zip
12,correlation,single,100.0,20,9.415470838546751,-0.3618,576.7893,1.0307,0.6354,0.0641,0.0086,0.0226,0.0231,0.0156,0.045,0.0231,0.7767,skl_agglomerativeClust,adultONEHOT_y.zip
12,correlation,single,inf,20,9.45271897315979,-0.3618,576.7893,1.0307,0.6354,0.0641,0.0086,0.0226,0.0231,0.0156,0.045,0.0231,0.7767,skl_agglomerativeClust,adultONEHOT_y.zip
