n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,correlation,average,0.0037131309509277,0.0656,45.0225,1.802,skl_agglomerativeClust,home.zip
10,correlation,complete,0.0036966800689697,0.1375,50.2277,1.6672,skl_agglomerativeClust,home.zip
10,correlation,single,0.0023815631866455,-0.3977,1.435,1.0778,skl_agglomerativeClust,home.zip
10,cosine,average,0.0042436122894287,0.1904,102.7659,1.25,skl_agglomerativeClust,home.zip
10,cosine,complete,0.0036220550537109,0.197,96.7108,1.4784,skl_agglomerativeClust,home.zip
10,cosine,single,0.0025341510772705,-0.3714,1.2462,1.4478,skl_agglomerativeClust,home.zip
10,euclidean,average,0.0035152435302734,0.2791,37.5396,0.6293,skl_agglomerativeClust,home.zip
10,euclidean,complete,0.0034773349761962,0.2306,83.2699,1.0071,skl_agglomerativeClust,home.zip
10,euclidean,single,0.0027112960815429,0.143,10.4033,0.3908,skl_agglomerativeClust,home.zip
10,euclidean,ward,0.0038578510284423,0.2471,151.3599,1.1481,skl_agglomerativeClust,home.zip
12,correlation,average,0.0037267208099365,0.0362,38.9644,1.7125,skl_agglomerativeClust,home.zip
12,correlation,complete,0.0036728382110595,0.1131,55.4742,1.6048,skl_agglomerativeClust,home.zip
12,correlation,single,0.002373456954956,-0.3989,1.3275,1.1101,skl_agglomerativeClust,home.zip
12,cosine,average,0.003718614578247,0.2017,94.127,1.2136,skl_agglomerativeClust,home.zip
12,cosine,complete,0.0037047863006591,0.1991,95.8231,1.4015,skl_agglomerativeClust,home.zip
12,cosine,single,0.0023729801177978,-0.3837,1.2743,1.3963,skl_agglomerativeClust,home.zip
12,euclidean,average,0.0035016536712646,0.2171,48.8745,0.6418,skl_agglomerativeClust,home.zip
12,euclidean,complete,0.0034646987915039,0.2187,81.046,1.0894,skl_agglomerativeClust,home.zip
12,euclidean,single,0.0027132034301757,0.1434,9.6645,0.3885,skl_agglomerativeClust,home.zip
12,euclidean,ward,0.0039355754852294,0.2668,148.4077,1.0958,skl_agglomerativeClust,home.zip
2,correlation,average,0.0036883354187011,0.2567,132.4011,1.6248,skl_agglomerativeClust,home.zip
2,correlation,complete,0.0036921501159667,0.2183,112.6644,1.6925,skl_agglomerativeClust,home.zip
2,correlation,single,0.0023708343505859,0.1272,1.1514,0.8314,skl_agglomerativeClust,home.zip
2,cosine,average,0.0036966800689697,0.2651,135.9944,1.6186,skl_agglomerativeClust,home.zip
2,cosine,complete,0.003605842590332,0.2509,123.3792,1.7135,skl_agglomerativeClust,home.zip
2,cosine,single,0.0023596286773681,-0.1879,0.2601,1.7501,skl_agglomerativeClust,home.zip
2,euclidean,average,0.0034873485565185,0.5882,135.9684,0.8627,skl_agglomerativeClust,home.zip
2,euclidean,complete,0.0034394264221191,0.4225,141.8572,1.3474,skl_agglomerativeClust,home.zip
2,euclidean,single,0.0027203559875488,0.6776,16.0321,0.2245,skl_agglomerativeClust,home.zip
2,euclidean,ward,0.0038962364196777,0.2721,141.4191,1.589,skl_agglomerativeClust,home.zip
4,correlation,average,0.0036811828613281,0.1699,86.5629,1.521,skl_agglomerativeClust,home.zip
4,correlation,complete,0.0036540031433105,0.1486,82.1343,1.8028,skl_agglomerativeClust,home.zip
4,correlation,single,0.0023572444915771,-0.3024,0.6914,1.2496,skl_agglomerativeClust,home.zip
4,cosine,average,0.004218578338623,0.1619,92.5292,1.273,skl_agglomerativeClust,home.zip
4,cosine,complete,0.0036036968231201,0.2136,125.6767,1.5593,skl_agglomerativeClust,home.zip
4,cosine,single,0.0023729801177978,-0.2836,0.4631,1.4713,skl_agglomerativeClust,home.zip
4,euclidean,average,0.0034964084625244,0.5347,57.5229,0.9018,skl_agglomerativeClust,home.zip
4,euclidean,complete,0.0034523010253906,0.3414,87.9709,0.9368,skl_agglomerativeClust,home.zip
4,euclidean,single,0.0027105808258056,0.5315,14.5133,0.2748,skl_agglomerativeClust,home.zip
4,euclidean,ward,0.0039198398590087,0.2872,169.4865,1.1916,skl_agglomerativeClust,home.zip
6,correlation,average,0.0037057399749755,0.0667,54.325,1.5131,skl_agglomerativeClust,home.zip
6,correlation,complete,0.0036511421203613,0.1596,67.8929,2.0134,skl_agglomerativeClust,home.zip
6,correlation,single,0.0023539066314697,-0.3379,0.8343,1.1519,skl_agglomerativeClust,home.zip
6,cosine,average,0.0037205219268798,0.2132,117.5273,1.2277,skl_agglomerativeClust,home.zip
6,cosine,complete,0.0041203498840332,0.1835,112.0748,1.6402,skl_agglomerativeClust,home.zip
6,cosine,single,0.0023560523986816,-0.3658,1.0396,1.5781,skl_agglomerativeClust,home.zip
6,euclidean,average,0.0034947395324707,0.48,36.6859,0.6662,skl_agglomerativeClust,home.zip
6,euclidean,complete,0.0035789012908935,0.2487,77.9693,0.8313,skl_agglomerativeClust,home.zip
6,euclidean,single,0.0027799606323242,0.5175,12.3602,0.2873,skl_agglomerativeClust,home.zip
6,euclidean,ward,0.0039229393005371,0.2896,168.2689,1.1648,skl_agglomerativeClust,home.zip
8,correlation,average,0.0037171840667724,0.0857,48.3735,1.7983,skl_agglomerativeClust,home.zip
8,correlation,complete,0.0036580562591552,0.1576,58.9397,1.8093,skl_agglomerativeClust,home.zip
8,correlation,single,0.0023653507232666,-0.3406,1.4788,0.9992,skl_agglomerativeClust,home.zip
8,cosine,average,0.0037164688110351,0.1775,93.5162,1.2784,skl_agglomerativeClust,home.zip
8,cosine,complete,0.003627061843872,0.2025,109.2411,1.5746,skl_agglomerativeClust,home.zip
8,cosine,single,0.0023779869079589,-0.3691,0.8887,1.5749,skl_agglomerativeClust,home.zip
8,euclidean,average,0.0035092830657958,0.2855,47.2413,0.7508,skl_agglomerativeClust,home.zip
8,euclidean,complete,0.0038881301879882,0.2366,103.6635,1.0692,skl_agglomerativeClust,home.zip
8,euclidean,single,0.0029432773590087,0.4455,12.134,0.3012,skl_agglomerativeClust,home.zip
8,euclidean,ward,0.0039248466491699,0.3011,160.2848,1.0795,skl_agglomerativeClust,home.zip
