min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,inf,correlation,auto,4,2.077742576599121,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,,,skl_OPTICS,aggregation_y.zip
10,inf,correlation,auto,4,1.937856912612915,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,1000.0,20.0,skl_OPTICS,aggregation_y.zip
10,inf,correlation,auto,4,1.9589128494262693,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,100.0,20.0,skl_OPTICS,aggregation_y.zip
10,inf,correlation,auto,4,1.9038498401641848,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,inf,20.0,skl_OPTICS,aggregation_y.zip
10,inf,cosine,auto,4,3.3852710723876958,-0.297,32.7142,3.7317,0.7153,0.128,1.0215,0.4425,0.4755,0.6027,0.3926,0.4755,0.3069,,,skl_OPTICS,aggregation_y.zip
10,inf,cosine,auto,4,2.9591314792633057,-0.297,32.7142,3.7317,0.7153,0.128,1.0215,0.4425,0.4755,0.6027,0.3926,0.4755,0.3069,1000.0,20.0,skl_OPTICS,aggregation_y.zip
10,inf,cosine,auto,4,3.2939541339874268,-0.297,32.7142,3.7317,0.7153,0.128,1.0215,0.4425,0.4755,0.6027,0.3926,0.4755,0.3069,100.0,20.0,skl_OPTICS,aggregation_y.zip
10,inf,cosine,auto,4,3.1749062538146973,-0.297,32.7142,3.7317,0.7153,0.128,1.0215,0.4425,0.4755,0.6027,0.3926,0.4755,0.3069,inf,20.0,skl_OPTICS,aggregation_y.zip
10,inf,euclidean,auto,4,1.4293591976165771,0.1266,141.4281,1.4003,0.9355,0.8156,1.472,0.8666,0.8692,0.8686,0.8698,0.8692,0.858,,,skl_OPTICS,aggregation_y.zip
10,inf,euclidean,auto,4,1.4753901958465576,0.1266,141.4281,1.4003,0.9355,0.8156,1.472,0.8666,0.8692,0.8686,0.8698,0.8692,0.858,1000.0,20.0,skl_OPTICS,aggregation_y.zip
10,inf,euclidean,auto,4,1.4450676441192627,0.1266,141.4281,1.4003,0.9355,0.8156,1.472,0.8666,0.8692,0.8686,0.8698,0.8692,0.858,100.0,20.0,skl_OPTICS,aggregation_y.zip
10,inf,euclidean,auto,4,1.4417459964752195,0.1266,141.4281,1.4003,0.9355,0.8156,1.472,0.8666,0.8692,0.8686,0.8698,0.8692,0.858,inf,20.0,skl_OPTICS,aggregation_y.zip
20,inf,correlation,auto,4,2.01987099647522,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,,,skl_OPTICS,aggregation_y.zip
20,inf,correlation,auto,4,2.093993902206421,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,1000.0,20.0,skl_OPTICS,aggregation_y.zip
20,inf,correlation,auto,4,1.9302587509155276,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,100.0,20.0,skl_OPTICS,aggregation_y.zip
20,inf,correlation,auto,4,1.943183660507202,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,inf,20.0,skl_OPTICS,aggregation_y.zip
