amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,22,inf,20,1.0097944736480713,0.1815,8425.2736,1.4952,0.3934,0.0001,0.0509,0.0334,0.0336,0.0922,0.0206,0.0336,0.2558,pyc_xmeans,adult_y.zip
10,2,1000.0,100,0.4587392807006836,0.2074,14181.3175,1.5686,0.4041,-0.011,0.0211,0.0166,0.0167,0.0382,0.0107,0.0167,0.3159,pyc_xmeans,adult_y.zip
10,2,1000.0,20,0.4940822124481201,0.2526,13138.8983,1.3022,0.4279,-0.015,0.0214,0.0195,0.0196,0.0387,0.0132,0.0196,0.3981,pyc_xmeans,adult_y.zip
10,2,100.0,100,0.4462926387786865,0.2046,13811.5247,1.4388,0.4077,-0.0095,0.0282,0.0227,0.0228,0.0512,0.0147,0.0228,0.3268,pyc_xmeans,adult_y.zip
10,2,100.0,20,0.4836206436157226,0.2016,14677.1856,1.5026,0.3983,-0.0009,0.0435,0.0317,0.0318,0.0788,0.02,0.0318,0.2791,pyc_xmeans,adult_y.zip
10,2,20.0,20,0.5206444263458252,0.1963,13562.8084,1.559,0.4116,-0.012,0.0336,0.0281,0.0282,0.0609,0.0184,0.0282,0.3437,pyc_xmeans,adult_y.zip
10,2,inf,100,0.464036226272583,0.2259,13140.2671,1.4057,0.411,-0.0193,0.0268,0.0228,0.023,0.0485,0.015,0.023,0.3499,pyc_xmeans,adult_y.zip
10,2,inf,20,0.4929008483886719,0.2603,13059.5163,1.3291,0.4276,-0.0165,0.0229,0.0212,0.0213,0.0415,0.0143,0.0213,0.3987,pyc_xmeans,adult_y.zip
10,6,1000.0,100,0.486302375793457,0.1841,13497.6885,1.5512,0.4189,0.0025,0.0223,0.0185,0.0187,0.0403,0.0121,0.0187,0.3518,pyc_xmeans,adult_y.zip
10,6,1000.0,20,0.4993760585784912,0.1956,14672.8685,1.4987,0.4033,-0.0066,0.0367,0.0282,0.0283,0.0665,0.018,0.0283,0.307,pyc_xmeans,adult_y.zip
10,6,100.0,100,0.4265532493591308,0.2164,14388.0754,1.4303,0.4083,-0.0124,0.0251,0.0205,0.0206,0.0454,0.0133,0.0206,0.3328,pyc_xmeans,adult_y.zip
10,6,100.0,20,0.5056092739105225,0.2004,14448.6157,1.3925,0.4078,-0.0017,0.0401,0.0315,0.0316,0.0727,0.0202,0.0316,0.3175,pyc_xmeans,adult_y.zip
10,6,20.0,20,0.4537642002105713,0.1747,13735.0438,1.5549,0.4132,-0.0086,0.0357,0.0291,0.0292,0.0646,0.0189,0.0292,0.345,pyc_xmeans,adult_y.zip
10,6,inf,100,0.3990077972412109,0.1931,13998.7322,1.5885,0.4053,-0.0137,0.0171,0.0136,0.0137,0.0309,0.0088,0.0137,0.3236,pyc_xmeans,adult_y.zip
10,6,inf,20,0.489109992980957,0.198,14244.9363,1.5946,0.4069,-0.0138,0.018,0.0146,0.0147,0.0326,0.0095,0.0147,0.3295,pyc_xmeans,adult_y.zip
12,10,1000.0,100,0.4835391044616699,0.1963,12161.0685,1.5763,0.4066,-0.0137,0.0185,0.0147,0.0148,0.0335,0.0095,0.0148,0.3282,pyc_xmeans,adult_y.zip
12,10,1000.0,20,0.4928109645843506,0.201,12336.3147,1.4869,0.4081,-0.0129,0.0408,0.0328,0.0329,0.074,0.0211,0.0329,0.3326,pyc_xmeans,adult_y.zip
12,10,100.0,100,0.4951772689819336,0.2082,12301.5147,1.4115,0.4085,-0.0092,0.0271,0.0216,0.0217,0.049,0.014,0.0217,0.3293,pyc_xmeans,adult_y.zip
12,10,100.0,20,0.5688090324401855,0.209,11797.7141,1.4131,0.4139,-0.0013,0.0283,0.0228,0.0229,0.0513,0.0148,0.0229,0.3389,pyc_xmeans,adult_y.zip
12,10,20.0,20,0.546881914138794,0.1957,11941.4248,1.5167,0.4069,-0.0157,0.0366,0.0294,0.0295,0.0663,0.019,0.0295,0.3316,pyc_xmeans,adult_y.zip
12,10,inf,100,0.4899253845214844,0.1989,13067.0416,1.456,0.4035,-0.0052,0.0439,0.0331,0.0332,0.0795,0.021,0.0332,0.3058,pyc_xmeans,adult_y.zip
12,10,inf,20,0.4704699516296386,0.2025,12273.9772,1.6066,0.4062,-0.0084,0.025,0.0193,0.0194,0.0453,0.0124,0.0194,0.3202,pyc_xmeans,adult_y.zip
12,14,1000.0,100,0.871999979019165,0.2067,11258.3236,1.4847,0.4007,-0.0132,0.0249,0.0187,0.0188,0.0451,0.0119,0.0188,0.3059,pyc_xmeans,adult_y.zip
12,14,1000.0,20,0.764484167098999,0.2118,10489.51,1.4286,0.4128,-0.0068,0.0264,0.0213,0.0214,0.0477,0.0138,0.0214,0.3417,pyc_xmeans,adult_y.zip
12,14,100.0,100,0.7761590480804443,0.199,11415.1483,1.47,0.3998,-0.0126,0.0346,0.0258,0.0259,0.0627,0.0164,0.0259,0.3014,pyc_xmeans,adult_y.zip
12,14,100.0,20,0.6633732318878174,0.175,11027.8573,1.5835,0.3996,0.0,0.0275,0.0196,0.0198,0.0498,0.0123,0.0198,0.2829,pyc_xmeans,adult_y.zip
12,14,20.0,20,0.7110087871551514,0.1902,11403.6951,1.4379,0.3987,-0.0043,0.0385,0.0274,0.0275,0.0697,0.0171,0.0275,0.2854,pyc_xmeans,adult_y.zip
12,14,inf,100,0.8781437873840332,0.1857,11687.3809,1.529,0.3958,-0.0086,0.0346,0.0247,0.0249,0.0628,0.0155,0.0249,0.2799,pyc_xmeans,adult_y.zip
12,14,inf,20,0.6936087608337402,0.2063,11119.8875,1.4548,0.4079,-0.0111,0.0283,0.0221,0.0223,0.0513,0.0142,0.0223,0.3298,pyc_xmeans,adult_y.zip
12,18,1000.0,100,0.8135175704956055,0.1976,10152.3302,1.4404,0.3929,-0.005,0.0523,0.0351,0.0353,0.0947,0.0217,0.0353,0.2617,pyc_xmeans,adult_y.zip
12,18,1000.0,20,0.8157486915588379,0.2025,9892.0606,1.3775,0.3946,-0.0087,0.0476,0.0331,0.0332,0.0863,0.0206,0.0332,0.2749,pyc_xmeans,adult_y.zip
12,18,100.0,100,0.91695237159729,0.194,9680.7262,1.4761,0.3938,-0.0055,0.0451,0.0306,0.0308,0.0816,0.019,0.0308,0.2666,pyc_xmeans,adult_y.zip
12,18,100.0,20,0.8399620056152344,0.1992,9662.4858,1.4488,0.3922,-0.0138,0.0379,0.0261,0.0262,0.0687,0.0162,0.0262,0.2721,pyc_xmeans,adult_y.zip
12,18,20.0,20,0.8585143089294434,0.183,9909.2392,1.6445,0.3922,0.0014,0.0592,0.0383,0.0385,0.1072,0.0235,0.0385,0.248,pyc_xmeans,adult_y.zip
12,18,inf,100,1.283553123474121,0.1949,10283.439,1.5374,0.3924,-0.0027,0.0545,0.036,0.0362,0.0987,0.0222,0.0362,0.2555,pyc_xmeans,adult_y.zip
12,18,inf,20,0.7626519203186035,0.1941,9842.8292,1.3981,0.3939,-0.0067,0.0477,0.0324,0.0326,0.0864,0.0201,0.0326,0.2686,pyc_xmeans,adult_y.zip
12,22,1000.0,100,0.8793914318084717,0.1869,8924.8107,1.5281,0.3864,0.0028,0.0764,0.045,0.0452,0.1384,0.027,0.0452,0.2161,pyc_xmeans,adult_y.zip
12,22,1000.0,20,0.8605155944824219,0.1757,8485.2765,1.5269,0.3863,-0.0034,0.063,0.0388,0.039,0.1141,0.0235,0.039,0.2272,pyc_xmeans,adult_y.zip
12,22,100.0,100,0.8973808288574219,0.1773,8786.3182,1.5197,0.3908,0.0002,0.0581,0.0366,0.0368,0.1053,0.0223,0.0368,0.2433,pyc_xmeans,adult_y.zip
12,22,100.0,20,1.04329252243042,0.1931,8898.7051,1.5485,0.3888,-0.0044,0.0651,0.0412,0.0414,0.118,0.0251,0.0414,0.2416,pyc_xmeans,adult_y.zip
12,22,20.0,20,0.7441790103912354,0.2061,8772.9949,1.5366,0.3913,-0.0031,0.0594,0.0379,0.0381,0.1077,0.0232,0.0381,0.2511,pyc_xmeans,adult_y.zip
12,22,inf,100,0.865619421005249,0.1916,9100.9415,1.5239,0.3862,-0.0042,0.0536,0.033,0.0332,0.0971,0.02,0.0332,0.2283,pyc_xmeans,adult_y.zip
12,22,inf,20,0.8758411407470703,0.1924,8694.1229,1.4954,0.3907,-0.0041,0.0593,0.0382,0.0384,0.1074,0.0234,0.0384,0.2502,pyc_xmeans,adult_y.zip
12,2,1000.0,100,0.420926570892334,0.2034,12343.1456,1.4718,0.4096,-0.0051,0.0268,0.021,0.0212,0.0485,0.0135,0.0212,0.3283,pyc_xmeans,adult_y.zip
12,2,1000.0,20,0.4888472557067871,0.1878,12321.6227,1.5255,0.403,-0.008,0.0282,0.0215,0.0216,0.0511,0.0137,0.0216,0.3075,pyc_xmeans,adult_y.zip
12,2,100.0,100,0.4701321125030517,0.2061,12739.9925,1.4958,0.4009,-0.0093,0.0302,0.0227,0.0228,0.0548,0.0144,0.0228,0.3014,pyc_xmeans,adult_y.zip
12,2,100.0,20,0.4778401851654053,0.1836,12559.3397,1.492,0.3992,-0.0043,0.0414,0.0304,0.0305,0.0751,0.0192,0.0305,0.2876,pyc_xmeans,adult_y.zip
12,2,20.0,20,0.4966886043548584,0.1918,12043.7872,1.5652,0.403,-0.0086,0.0266,0.0204,0.0206,0.0482,0.0131,0.0206,0.3084,pyc_xmeans,adult_y.zip
