min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,inf,correlation,auto,4,5.130220651626587,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,correlation,auto,4,5.178667306900024,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,9.148070812225342,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,9.40278673171997,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,7.7413976192474365,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,9.378010034561155,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,euclidean,auto,4,3.7441952228546143,0.2548,11.7683,1.3591,0.3536,0.0054,0.5405,0.0963,0.1711,0.8459,0.0952,0.1711,0.1555,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,euclidean,auto,4,3.7590065002441406,0.2548,11.7683,1.3591,0.3536,0.0054,0.5405,0.0963,0.1711,0.8459,0.0952,0.1711,0.1555,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,euclidean,auto,4,3.754717350006104,0.2548,11.7683,1.3591,0.3536,0.0054,0.5405,0.0963,0.1711,0.8459,0.0952,0.1711,0.1555,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,euclidean,auto,4,3.9422717094421382,0.2548,11.7683,1.3591,0.3536,0.0054,0.5405,0.0963,0.1711,0.8459,0.0952,0.1711,0.1555,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,correlation,auto,4,5.32354211807251,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,correlation,auto,4,5.149766683578491,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,correlation,auto,4,5.121778249740601,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,correlation,auto,4,5.165899276733398,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,cosine,auto,4,11.156954526901243,-0.4788,19.1852,12.004,0.3543,0.0096,0.5289,0.1238,0.1768,0.8277,0.099,0.1768,0.1521,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,cosine,auto,4,8.32484245300293,-0.4788,19.1852,12.004,0.3543,0.0096,0.5289,0.1238,0.1768,0.8277,0.099,0.1768,0.1521,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,cosine,auto,4,8.441104173660278,-0.4788,19.1852,12.004,0.3543,0.0096,0.5289,0.1238,0.1768,0.8277,0.099,0.1768,0.1521,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,cosine,auto,4,9.466273307800291,-0.4788,19.1852,12.004,0.3543,0.0096,0.5289,0.1238,0.1768,0.8277,0.099,0.1768,0.1521,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,euclidean,auto,4,3.736298322677612,-0.0096,10.5612,1.9819,0.3944,0.0144,0.4156,0.1222,0.1739,0.6504,0.1004,0.1739,0.3204,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,euclidean,auto,4,3.751721620559693,-0.0096,10.5612,1.9819,0.3944,0.0144,0.4156,0.1222,0.1739,0.6504,0.1004,0.1739,0.3204,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,euclidean,auto,4,3.7635304927825928,-0.0096,10.5612,1.9819,0.3944,0.0144,0.4156,0.1222,0.1739,0.6504,0.1004,0.1739,0.3204,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,euclidean,auto,4,3.739487409591675,-0.0096,10.5612,1.9819,0.3944,0.0144,0.4156,0.1222,0.1739,0.6504,0.1004,0.1739,0.3204,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,correlation,auto,4,5.611969947814941,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,correlation,auto,4,5.132753133773804,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,correlation,auto,4,5.101761817932129,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,correlation,auto,4,5.14120364189148,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,cosine,auto,4,8.79097032546997,-0.4196,24.3597,8.8939,0.3611,0.0083,0.4685,0.1404,0.1773,0.7332,0.1008,0.1773,0.1943,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,cosine,auto,4,8.350795030593872,-0.4196,24.3597,8.8939,0.3611,0.0083,0.4685,0.1404,0.1773,0.7332,0.1008,0.1773,0.1943,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,cosine,auto,4,8.01309609413147,-0.4196,24.3597,8.8939,0.3611,0.0083,0.4685,0.1404,0.1773,0.7332,0.1008,0.1773,0.1943,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,cosine,auto,4,8.704553842544556,-0.4196,24.3597,8.8939,0.3611,0.0083,0.4685,0.1404,0.1773,0.7332,0.1008,0.1773,0.1943,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,euclidean,auto,4,3.836548328399658,-0.1021,16.2803,1.5636,0.3938,-0.0143,0.342,0.1336,0.1678,0.5352,0.0995,0.1678,0.3462,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,euclidean,auto,4,3.730943441390991,-0.1021,16.2803,1.5636,0.3938,-0.0143,0.342,0.1336,0.1678,0.5352,0.0995,0.1678,0.3462,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,euclidean,auto,4,3.748152494430542,-0.1021,16.2803,1.5636,0.3938,-0.0143,0.342,0.1336,0.1678,0.5352,0.0995,0.1678,0.3462,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,euclidean,auto,4,3.791316986083984,-0.1021,16.2803,1.5636,0.3938,-0.0143,0.342,0.1336,0.1678,0.5352,0.0995,0.1678,0.3462,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,correlation,auto,4,5.128297328948975,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,correlation,auto,4,5.143216133117676,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,correlation,auto,4,5.173933744430542,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,cosine,auto,4,8.644132375717163,-0.3653,33.0192,6.4345,0.3654,-0.0269,0.3499,0.1502,0.1701,0.5476,0.1007,0.1701,0.2657,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,cosine,auto,4,8.01516079902649,-0.3653,33.0192,6.4345,0.3654,-0.0269,0.3499,0.1502,0.1701,0.5476,0.1007,0.1701,0.2657,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,cosine,auto,4,9.287218809127808,-0.3653,33.0192,6.4345,0.3654,-0.0269,0.3499,0.1502,0.1701,0.5476,0.1007,0.1701,0.2657,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,euclidean,auto,4,3.7488644123077393,-0.3528,22.2506,1.5749,0.4741,-0.0044,0.2185,0.1516,0.1687,0.3419,0.112,0.1687,0.528,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,euclidean,auto,4,3.787184238433838,-0.3528,22.2506,1.5749,0.4741,-0.0044,0.2185,0.1516,0.1687,0.3419,0.112,0.1687,0.528,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,euclidean,auto,4,3.746411085128784,-0.3528,22.2506,1.5749,0.4741,-0.0044,0.2185,0.1516,0.1687,0.3419,0.112,0.1687,0.528,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,correlation,auto,4,5.167970895767212,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,correlation,auto,4,5.10902738571167,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,correlation,auto,4,5.144180774688721,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,cosine,auto,4,9.373319387435911,-0.2372,99.2654,4.4046,0.3955,0.0334,0.4327,0.221,0.2297,0.6771,0.1383,0.2297,0.3059,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,cosine,auto,4,8.718344449996948,-0.2372,99.2654,4.4046,0.3955,0.0334,0.4327,0.221,0.2297,0.6771,0.1383,0.2297,0.3059,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,cosine,auto,4,8.006836652755737,-0.2372,99.2654,4.4046,0.3955,0.0334,0.4327,0.221,0.2297,0.6771,0.1383,0.2297,0.3059,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,euclidean,auto,4,3.766197681427002,-0.383,93.4769,0.9985,0.7531,0.3988,0.227,0.389,0.3919,0.3553,0.4369,0.3919,0.8314,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,euclidean,auto,4,3.74477767944336,-0.383,93.4769,0.9985,0.7531,0.3988,0.227,0.389,0.3919,0.3553,0.4369,0.3919,0.8314,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,euclidean,auto,4,3.7649118900299072,-0.383,93.4769,0.9985,0.7531,0.3988,0.227,0.389,0.3919,0.3553,0.4369,0.3919,0.8314,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,correlation,auto,4,5.091877460479736,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,correlation,auto,4,5.130220651626587,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,correlation,auto,4,5.178667306900024,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,9.40278673171997,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,7.7413976192474365,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,9.378010034561155,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,euclidean,auto,4,3.7590065002441406,0.2548,11.7683,1.3591,0.3536,0.0054,0.5405,0.0963,0.1711,0.8459,0.0952,0.1711,0.1555,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,euclidean,auto,4,3.754717350006104,0.2548,11.7683,1.3591,0.3536,0.0054,0.5405,0.0963,0.1711,0.8459,0.0952,0.1711,0.1555,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,euclidean,auto,4,3.9422717094421382,0.2548,11.7683,1.3591,0.3536,0.0054,0.5405,0.0963,0.1711,0.8459,0.0952,0.1711,0.1555,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,correlation,auto,4,5.149766683578491,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,correlation,auto,4,5.121778249740601,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,correlation,auto,4,5.165899276733398,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,cosine,auto,4,8.32484245300293,-0.4788,19.1852,12.004,0.3543,0.0096,0.5289,0.1238,0.1768,0.8277,0.099,0.1768,0.1521,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,cosine,auto,4,8.441104173660278,-0.4788,19.1852,12.004,0.3543,0.0096,0.5289,0.1238,0.1768,0.8277,0.099,0.1768,0.1521,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,cosine,auto,4,9.466273307800291,-0.4788,19.1852,12.004,0.3543,0.0096,0.5289,0.1238,0.1768,0.8277,0.099,0.1768,0.1521,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,euclidean,auto,4,3.751721620559693,-0.0096,10.5612,1.9819,0.3944,0.0144,0.4156,0.1222,0.1739,0.6504,0.1004,0.1739,0.3204,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,euclidean,auto,4,3.7635304927825928,-0.0096,10.5612,1.9819,0.3944,0.0144,0.4156,0.1222,0.1739,0.6504,0.1004,0.1739,0.3204,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
3,inf,euclidean,auto,4,3.739487409591675,-0.0096,10.5612,1.9819,0.3944,0.0144,0.4156,0.1222,0.1739,0.6504,0.1004,0.1739,0.3204,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,correlation,auto,4,5.132753133773804,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,correlation,auto,4,5.101761817932129,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,correlation,auto,4,5.14120364189148,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,cosine,auto,4,8.350795030593872,-0.4196,24.3597,8.8939,0.3611,0.0083,0.4685,0.1404,0.1773,0.7332,0.1008,0.1773,0.1943,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,cosine,auto,4,8.01309609413147,-0.4196,24.3597,8.8939,0.3611,0.0083,0.4685,0.1404,0.1773,0.7332,0.1008,0.1773,0.1943,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,cosine,auto,4,8.704553842544556,-0.4196,24.3597,8.8939,0.3611,0.0083,0.4685,0.1404,0.1773,0.7332,0.1008,0.1773,0.1943,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,euclidean,auto,4,3.730943441390991,-0.1021,16.2803,1.5636,0.3938,-0.0143,0.342,0.1336,0.1678,0.5352,0.0995,0.1678,0.3462,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,euclidean,auto,4,3.748152494430542,-0.1021,16.2803,1.5636,0.3938,-0.0143,0.342,0.1336,0.1678,0.5352,0.0995,0.1678,0.3462,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
5,inf,euclidean,auto,4,3.791316986083984,-0.1021,16.2803,1.5636,0.3938,-0.0143,0.342,0.1336,0.1678,0.5352,0.0995,0.1678,0.3462,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
