threshold,branching_factor,n_clusters,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
0.5,50,10,1000.0,20,3.796953678131104,0.0468,617.3978,2.1333,skl_birch,ficoONEHOT.zip
0.5,50,10,100.0,20,3.873758554458618,0.0468,617.3978,2.1333,skl_birch,ficoONEHOT.zip
0.5,50,10,inf,20,3.816412925720215,0.0468,617.3978,2.1333,skl_birch,ficoONEHOT.zip
0.5,50,12,1000.0,20,3.802594184875488,0.0269,541.1418,2.2338,skl_birch,ficoONEHOT.zip
0.5,50,12,100.0,20,3.810999631881714,0.0269,541.1418,2.2338,skl_birch,ficoONEHOT.zip
0.5,50,12,inf,20,3.798094272613525,0.0269,541.1418,2.2338,skl_birch,ficoONEHOT.zip
0.5,50,2,1000.0,20,3.857497453689575,0.0326,494.1144,3.392,skl_birch,ficoONEHOT.zip
0.5,50,2,100.0,20,3.803929328918457,0.0326,494.1144,3.392,skl_birch,ficoONEHOT.zip
0.5,50,2,inf,20,3.81487774848938,0.0326,494.1144,3.392,skl_birch,ficoONEHOT.zip
0.5,50,4,1000.0,20,3.822494983673096,0.0134,774.2313,2.6215,skl_birch,ficoONEHOT.zip
0.5,50,4,100.0,20,3.851110458374024,0.0134,774.2313,2.6215,skl_birch,ficoONEHOT.zip
0.5,50,4,inf,20,3.799030780792236,0.0134,774.2313,2.6215,skl_birch,ficoONEHOT.zip
0.5,50,6,1000.0,20,3.79534649848938,0.02,587.3739,2.4966,skl_birch,ficoONEHOT.zip
0.5,50,6,100.0,20,3.811234712600708,0.02,587.3739,2.4966,skl_birch,ficoONEHOT.zip
0.5,50,6,inf,20,3.812944173812866,0.02,587.3739,2.4966,skl_birch,ficoONEHOT.zip
0.5,50,8,1000.0,20,3.8740718364715576,0.018,495.0183,2.2964,skl_birch,ficoONEHOT.zip
0.5,50,8,100.0,20,3.8234920501708975,0.018,495.0183,2.2964,skl_birch,ficoONEHOT.zip
0.5,50,8,inf,20,3.79996657371521,0.018,495.0183,2.2964,skl_birch,ficoONEHOT.zip
0.5,50,10,1000.0,20,3.796953678131104,0.0468,617.3978,2.1333,skl_birch,ficoONEHOT.zip
0.5,50,10,100.0,20,3.873758554458618,0.0468,617.3978,2.1333,skl_birch,ficoONEHOT.zip
0.5,50,10,inf,20,3.816412925720215,0.0468,617.3978,2.1333,skl_birch,ficoONEHOT.zip
0.5,50,12,1000.0,20,3.802594184875488,0.0269,541.1418,2.2338,skl_birch,ficoONEHOT.zip
0.5,50,12,100.0,20,3.810999631881714,0.0269,541.1418,2.2338,skl_birch,ficoONEHOT.zip
0.5,50,12,inf,20,3.798094272613525,0.0269,541.1418,2.2338,skl_birch,ficoONEHOT.zip
0.5,50,2,1000.0,20,3.857497453689575,0.0326,494.1144,3.392,skl_birch,ficoONEHOT.zip
0.5,50,2,100.0,20,3.803929328918457,0.0326,494.1144,3.392,skl_birch,ficoONEHOT.zip
0.5,50,2,inf,20,3.81487774848938,0.0326,494.1144,3.392,skl_birch,ficoONEHOT.zip
0.5,50,4,1000.0,20,3.822494983673096,0.0134,774.2313,2.6215,skl_birch,ficoONEHOT.zip
0.5,50,4,100.0,20,3.851110458374024,0.0134,774.2313,2.6215,skl_birch,ficoONEHOT.zip
0.5,50,4,inf,20,3.799030780792236,0.0134,774.2313,2.6215,skl_birch,ficoONEHOT.zip
0.5,50,6,1000.0,20,3.79534649848938,0.02,587.3739,2.4966,skl_birch,ficoONEHOT.zip
0.5,50,6,100.0,20,3.811234712600708,0.02,587.3739,2.4966,skl_birch,ficoONEHOT.zip
0.5,50,6,inf,20,3.812944173812866,0.02,587.3739,2.4966,skl_birch,ficoONEHOT.zip
0.5,50,8,1000.0,20,3.8740718364715576,0.018,495.0183,2.2964,skl_birch,ficoONEHOT.zip
0.5,50,8,100.0,20,3.8234920501708975,0.018,495.0183,2.2964,skl_birch,ficoONEHOT.zip
0.5,50,8,inf,20,3.79996657371521,0.018,495.0183,2.2964,skl_birch,ficoONEHOT.zip
