min_samples,max_eps,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,inf,correlation,auto,4,1000.0,100,42.65305685997009,-0.1916,579.6487,1.1929,skl_OPTICS,fico.zip
10,inf,correlation,auto,4,1000.0,20,42.60788369178772,-0.1916,579.6487,1.1929,skl_OPTICS,fico.zip
10,inf,correlation,auto,4,100.0,100,42.76709079742432,-0.2006,463.1503,1.2551,skl_OPTICS,fico.zip
10,inf,correlation,auto,4,100.0,20,42.46460485458374,-0.1916,579.6487,1.1929,skl_OPTICS,fico.zip
10,inf,correlation,auto,4,20.0,20,43.84500026702881,-0.1983,513.0516,1.3319,skl_OPTICS,fico.zip
10,inf,correlation,auto,4,inf,100,42.53527784347534,-0.1916,579.6487,1.1929,skl_OPTICS,fico.zip
10,inf,correlation,auto,4,inf,20,42.61135745048523,-0.1916,579.6487,1.1929,skl_OPTICS,fico.zip
10,inf,cosine,auto,4,1000.0,100,62.7411425113678,-0.1972,415.4898,1.1834,skl_OPTICS,fico.zip
10,inf,cosine,auto,4,1000.0,20,63.44096851348877,-0.1972,415.4898,1.1834,skl_OPTICS,fico.zip
10,inf,cosine,auto,4,100.0,100,64.19431924819946,-0.2209,425.9145,1.2247,skl_OPTICS,fico.zip
10,inf,cosine,auto,4,100.0,20,64.06891655921936,-0.1972,415.4898,1.1834,skl_OPTICS,fico.zip
10,inf,cosine,auto,4,20.0,20,66.09628105163574,-0.2036,496.9355,1.274,skl_OPTICS,fico.zip
10,inf,cosine,auto,4,inf,100,63.130014419555664,-0.1972,415.4898,1.1834,skl_OPTICS,fico.zip
10,inf,cosine,auto,4,inf,20,64.63428735733032,-0.1972,415.4898,1.1834,skl_OPTICS,fico.zip
10,inf,euclidean,auto,4,1000.0,100,287.546311378479,0.3279,2629.952,0.472,skl_OPTICS,fico.zip
10,inf,euclidean,auto,4,1000.0,20,287.5343859195709,0.3279,2629.952,0.472,skl_OPTICS,fico.zip
10,inf,euclidean,auto,4,100.0,100,278.48620223999023,0.1438,2623.9598,0.7516,skl_OPTICS,fico.zip
10,inf,euclidean,auto,4,100.0,20,293.82169461250305,0.3279,2629.952,0.472,skl_OPTICS,fico.zip
10,inf,euclidean,auto,4,20.0,20,304.42403864860535,0.1242,1593.5539,0.7973,skl_OPTICS,fico.zip
10,inf,euclidean,auto,4,inf,100,289.9395213127136,0.3279,2629.952,0.472,skl_OPTICS,fico.zip
10,inf,euclidean,auto,4,inf,20,296.1745343208313,0.3279,2629.952,0.472,skl_OPTICS,fico.zip
20,inf,correlation,auto,4,1000.0,100,42.64266490936279,0.0018,1644.501,1.0137,skl_OPTICS,fico.zip
20,inf,correlation,auto,4,1000.0,20,42.58027124404907,0.0018,1644.501,1.0137,skl_OPTICS,fico.zip
20,inf,correlation,auto,4,100.0,100,42.54957270622253,0.0873,1634.1013,0.8558,skl_OPTICS,fico.zip
20,inf,correlation,auto,4,100.0,20,42.59026551246643,0.0018,1644.501,1.0137,skl_OPTICS,fico.zip
20,inf,correlation,auto,4,20.0,20,43.73322463035584,0.13,2029.8374,0.8033,skl_OPTICS,fico.zip
20,inf,correlation,auto,4,inf,100,42.5736665725708,0.0018,1644.501,1.0137,skl_OPTICS,fico.zip
20,inf,correlation,auto,4,inf,20,42.6090247631073,0.0018,1644.501,1.0137,skl_OPTICS,fico.zip
20,inf,cosine,auto,4,1000.0,100,63.305541038513184,0.3199,2677.7964,0.5696,skl_OPTICS,fico.zip
20,inf,cosine,auto,4,1000.0,20,64.34022521972656,0.3199,2677.7964,0.5696,skl_OPTICS,fico.zip
20,inf,cosine,auto,4,100.0,100,62.29464173316956,0.3186,2676.0351,0.569,skl_OPTICS,fico.zip
20,inf,cosine,auto,4,100.0,20,62.69134330749512,0.3199,2677.7964,0.5696,skl_OPTICS,fico.zip
20,inf,cosine,auto,4,20.0,20,66.34445190429688,-0.0939,1618.0238,1.1123,skl_OPTICS,fico.zip
20,inf,cosine,auto,4,inf,100,63.37490558624268,0.3199,2677.7964,0.5696,skl_OPTICS,fico.zip
20,inf,cosine,auto,4,inf,20,64.20480370521545,0.3199,2677.7964,0.5696,skl_OPTICS,fico.zip
20,inf,euclidean,auto,4,1000.0,100,371.5050654411316,0.6632,2660.3634,0.9198,skl_OPTICS,fico.zip
20,inf,euclidean,auto,4,1000.0,20,275.293493270874,0.6632,2660.3634,0.9198,skl_OPTICS,fico.zip
20,inf,euclidean,auto,4,100.0,100,285.6567106246948,0.6632,2660.3634,0.9198,skl_OPTICS,fico.zip
20,inf,euclidean,auto,4,100.0,20,284.44558215141296,0.6632,2660.3634,0.9198,skl_OPTICS,fico.zip
20,inf,euclidean,auto,4,20.0,20,294.5669734477997,0.6631,2650.1534,0.9975,skl_OPTICS,fico.zip
20,inf,euclidean,auto,4,inf,100,280.8304994106293,0.6632,2660.3634,0.9198,skl_OPTICS,fico.zip
20,inf,euclidean,auto,4,inf,20,284.00423550605774,0.6632,2660.3634,0.9198,skl_OPTICS,fico.zip
2,inf,correlation,auto,4,1000.0,100,42.09775948524475,-0.1864,10.9634,1.3355,skl_OPTICS,fico.zip
2,inf,correlation,auto,4,1000.0,20,42.05360531806946,-0.1864,10.9634,1.3355,skl_OPTICS,fico.zip
2,inf,correlation,auto,4,100.0,100,42.01862645149231,-0.1882,10.9637,1.3392,skl_OPTICS,fico.zip
2,inf,correlation,auto,4,100.0,20,42.37836885452271,-0.1864,10.9634,1.3355,skl_OPTICS,fico.zip
2,inf,correlation,auto,4,20.0,20,43.458242893218994,-0.1966,10.7651,1.3978,skl_OPTICS,fico.zip
2,inf,correlation,auto,4,inf,100,41.96729898452759,-0.1864,10.9634,1.3355,skl_OPTICS,fico.zip
2,inf,correlation,auto,4,inf,20,42.119088888168335,-0.1864,10.9634,1.3355,skl_OPTICS,fico.zip
2,inf,cosine,auto,4,1000.0,100,62.96125936508179,-0.1864,10.9421,1.3286,skl_OPTICS,fico.zip
2,inf,cosine,auto,4,1000.0,20,62.460870027542114,-0.1864,10.9421,1.3286,skl_OPTICS,fico.zip
2,inf,cosine,auto,4,100.0,100,61.38133645057678,-0.1844,10.9479,1.3347,skl_OPTICS,fico.zip
2,inf,cosine,auto,4,100.0,20,63.01834082603455,-0.1864,10.9421,1.3286,skl_OPTICS,fico.zip
2,inf,cosine,auto,4,20.0,20,64.84791445732117,-0.191,10.7805,1.3907,skl_OPTICS,fico.zip
2,inf,cosine,auto,4,inf,100,62.93568778038025,-0.1864,10.9421,1.3286,skl_OPTICS,fico.zip
2,inf,cosine,auto,4,inf,20,62.21649980545044,-0.1864,10.9421,1.3286,skl_OPTICS,fico.zip
2,inf,euclidean,auto,4,1000.0,100,285.64669370651245,-0.2608,10.9831,1.3974,skl_OPTICS,fico.zip
2,inf,euclidean,auto,4,1000.0,20,289.8710150718689,-0.2608,10.9831,1.3974,skl_OPTICS,fico.zip
2,inf,euclidean,auto,4,100.0,100,282.25587701797485,-0.2607,10.9342,1.3989,skl_OPTICS,fico.zip
2,inf,euclidean,auto,4,100.0,20,288.99804186820984,-0.2608,10.9831,1.3974,skl_OPTICS,fico.zip
2,inf,euclidean,auto,4,20.0,20,304.8142693042755,-0.2594,10.5745,1.4476,skl_OPTICS,fico.zip
