n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,1.0,100.0,100,0.0402166843414306,0.4884,2448.7496,0.7267,0.931,0.555,2.0606,0.7927,0.7974,0.7013,0.9241,0.7974,0.627,ShallowTree,2d-20c-no0_y.zip
10,1.0,100.0,20,0.0581176280975341,0.4868,2308.5082,0.6808,0.9315,0.5655,2.0608,0.7952,0.7999,0.7014,0.9307,0.7999,0.6406,ShallowTree,2d-20c-no0_y.zip
10,1.0,inf,100,0.062840461730957,0.4868,2308.5082,0.6808,0.9315,0.5655,2.0608,0.7952,0.7999,0.7014,0.9307,0.7999,0.6406,ShallowTree,2d-20c-no0_y.zip
10,1.0,inf,20,0.0452442169189453,0.4868,2308.5082,0.6808,0.9315,0.5655,2.0608,0.7952,0.7999,0.7014,0.9307,0.7999,0.6406,ShallowTree,2d-20c-no0_y.zip
12,0.01,1000.0,100,0.1148264408111572,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.01,1000.0,20,0.0845842361450195,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.01,100.0,100,0.0417237281799316,0.5638,3039.8866,0.5616,0.9531,0.6634,2.3072,0.8588,0.8627,0.7852,0.9571,0.8627,0.7136,ShallowTree,2d-20c-no0_y.zip
12,0.01,100.0,20,0.089526891708374,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.01,inf,100,0.1166303157806396,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.01,inf,20,0.1000211238861084,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.03,1000.0,100,0.0679771900177002,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.03,1000.0,20,0.0843191146850586,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.03,100.0,100,0.0422492027282714,0.5803,3187.7483,0.5579,0.956,0.6852,2.3423,0.8727,0.8762,0.7972,0.9725,0.8762,0.7351,ShallowTree,2d-20c-no0_y.zip
12,0.03,100.0,20,0.075718879699707,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.03,inf,100,0.0686028003692627,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.03,inf,20,0.0463178157806396,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.05,1000.0,100,0.0743153095245361,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.05,1000.0,20,0.0671513080596923,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.05,100.0,100,0.0416946411132812,0.5803,3187.7483,0.5579,0.956,0.6852,2.3423,0.8727,0.8762,0.7972,0.9725,0.8762,0.7351,ShallowTree,2d-20c-no0_y.zip
12,0.05,100.0,20,0.085888385772705,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.05,inf,100,0.0719468593597412,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.05,inf,20,0.0696878433227539,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.0,1000.0,100,0.0939173698425293,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.0,1000.0,20,0.0834646224975586,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.0,100.0,100,0.0412447452545166,0.5638,3039.8866,0.5616,0.9531,0.6634,2.3072,0.8588,0.8627,0.7852,0.9571,0.8627,0.7136,ShallowTree,2d-20c-no0_y.zip
12,0.0,100.0,20,0.1137218475341796,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.0,inf,100,0.0714712142944336,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,0.0,inf,20,0.0685911178588867,0.549,3025.9409,0.6344,0.9549,0.6719,2.3099,0.858,0.8619,0.7861,0.9537,0.8619,0.7195,ShallowTree,2d-20c-no0_y.zip
12,1.0,1000.0,100,0.0682840347290039,0.5617,3062.1657,0.6243,0.956,0.6856,2.3507,0.876,0.8794,0.8,0.9763,0.8794,0.7359,ShallowTree,2d-20c-no0_y.zip
12,1.0,1000.0,20,0.083038330078125,0.5617,3062.1657,0.6243,0.956,0.6856,2.3507,0.876,0.8794,0.8,0.9763,0.8794,0.7359,ShallowTree,2d-20c-no0_y.zip
12,1.0,100.0,100,0.0421760082244873,0.5588,2896.5695,0.5808,0.9517,0.6576,2.2775,0.8496,0.8537,0.7751,0.95,0.8537,0.7102,ShallowTree,2d-20c-no0_y.zip
12,1.0,100.0,20,0.0693638324737548,0.5617,3062.1657,0.6243,0.956,0.6856,2.3507,0.876,0.8794,0.8,0.9763,0.8794,0.7359,ShallowTree,2d-20c-no0_y.zip
12,1.0,inf,100,0.0702919960021972,0.5617,3062.1657,0.6243,0.956,0.6856,2.3507,0.876,0.8794,0.8,0.9763,0.8794,0.7359,ShallowTree,2d-20c-no0_y.zip
12,1.0,inf,20,0.066382884979248,0.5617,3062.1657,0.6243,0.956,0.6856,2.3507,0.876,0.8794,0.8,0.9763,0.8794,0.7359,ShallowTree,2d-20c-no0_y.zip
2,0.01,1000.0,100,0.0583901405334472,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.01,1000.0,20,0.0629668235778808,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.01,100.0,100,0.0145459175109863,0.4232,1197.7157,1.0141,0.5522,0.1054,0.6547,0.3585,0.3607,0.2228,0.9459,0.3607,0.3249,ShallowTree,2d-20c-no0_y.zip
2,0.01,100.0,20,0.0583982467651367,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.01,inf,100,0.0149586200714111,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.01,inf,20,0.0542030334472656,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.03,1000.0,100,0.0149767398834228,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.03,1000.0,20,0.0149939060211181,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.03,100.0,100,0.0143828392028808,0.4232,1197.7157,1.0141,0.5522,0.1054,0.6547,0.3585,0.3607,0.2228,0.9459,0.3607,0.3249,ShallowTree,2d-20c-no0_y.zip
2,0.03,100.0,20,0.0150415897369384,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.03,inf,100,0.0642054080963134,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.03,inf,20,0.0150983333587646,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.05,1000.0,100,0.0151853561401367,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.05,1000.0,20,0.0149409770965576,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.05,100.0,100,0.0146512985229492,0.4232,1197.7157,1.0141,0.5522,0.1054,0.6547,0.3585,0.3607,0.2228,0.9459,0.3607,0.3249,ShallowTree,2d-20c-no0_y.zip
2,0.05,100.0,20,0.0149953365325927,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.05,inf,100,0.0149619579315185,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.05,inf,20,0.01491379737854,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.0,1000.0,100,0.0147485733032226,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.0,1000.0,20,0.0150482654571533,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.0,100.0,100,0.0144460201263427,0.4232,1197.7157,1.0141,0.5522,0.1054,0.6547,0.3585,0.3607,0.2228,0.9459,0.3607,0.3249,ShallowTree,2d-20c-no0_y.zip
2,0.0,100.0,20,0.0148625373840332,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.0,inf,100,0.0149300098419189,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,0.0,inf,20,0.0150785446166992,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,1.0,1000.0,100,0.0149300098419189,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,1.0,1000.0,20,0.0151166915893554,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,1.0,100.0,100,0.0413219928741455,0.4232,1197.7157,1.0141,0.5522,0.1054,0.6547,0.3585,0.3607,0.2228,0.9459,0.3607,0.3249,ShallowTree,2d-20c-no0_y.zip
2,1.0,100.0,20,0.0151870250701904,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,1.0,inf,100,0.0149965286254882,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
2,1.0,inf,20,0.0151112079620361,0.4242,1201.7463,1.0117,0.5523,0.1059,0.658,0.3603,0.3625,0.2239,0.9508,0.3625,0.3256,ShallowTree,2d-20c-no0_y.zip
