max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
2,10,30,50,20,20,0.0,42,gini,mape,3.686754941940308,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,50,20,20,0.0,42,gini,r2,3.6331613063812256,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,50,20,20,0.0,42,me,mape,3.740617036819458,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,50,20,20,0.0,42,me,r2,3.73358154296875,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,50,20,20,0.1,42,gini,mape,3.788538932800293,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,50,20,20,0.1,42,gini,r2,3.65975832939148,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,50,20,20,0.1,42,me,mape,3.6854846477508554,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,50,20,20,0.1,42,me,r2,3.737356424331665,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,5,20,20,0.0,42,gini,mape,3.704314947128296,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,5,20,20,0.0,42,gini,r2,3.660635232925415,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,5,20,20,0.0,42,me,mape,3.707632303237915,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,5,20,20,0.0,42,me,r2,3.66321063041687,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,5,20,20,0.1,42,gini,mape,3.8133835792541504,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,5,20,20,0.1,42,gini,r2,3.817096471786499,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,5,20,20,0.1,42,me,mape,3.779632329940796,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,30,5,20,20,0.1,42,me,r2,3.673565626144409,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,50,20,20,0.0,42,gini,mape,3.703187942504883,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,50,20,20,0.0,42,gini,r2,3.7348456382751465,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,50,20,20,0.0,42,me,mape,3.7769935131073,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,50,20,20,0.0,42,me,r2,3.7142629623413086,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,50,20,20,0.1,42,gini,mape,3.708367586135864,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,50,20,20,0.1,42,gini,r2,3.684507131576538,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,50,20,20,0.1,42,me,mape,3.782404661178589,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,50,20,20,0.1,42,me,r2,3.697788953781128,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,5,20,20,0.0,42,gini,mape,3.648129463195801,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,5,20,20,0.0,42,gini,r2,3.661414861679077,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,5,20,20,0.0,42,me,mape,3.7404842376708975,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,5,20,20,0.0,42,me,r2,3.674957513809204,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,5,20,20,0.1,42,gini,mape,3.671720981597901,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,5,20,20,0.1,42,gini,r2,3.697400331497192,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,5,20,20,0.1,42,me,mape,3.726881742477417,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,10,3,5,20,20,0.1,42,me,r2,3.7524783611297607,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,50,20,20,0.0,42,gini,mape,3.652782678604126,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,50,20,20,0.0,42,gini,r2,3.722457408905029,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,50,20,20,0.0,42,me,mape,3.705319404602051,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,50,20,20,0.0,42,me,r2,3.737290143966675,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,50,20,20,0.1,42,gini,mape,3.7902772426605225,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,50,20,20,0.1,42,gini,r2,3.7797391414642334,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,50,20,20,0.1,42,me,mape,3.7844974994659424,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,50,20,20,0.1,42,me,r2,3.672523021697998,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,5,20,20,0.0,42,gini,mape,3.7523252964019775,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,5,20,20,0.0,42,gini,r2,3.7854080200195312,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,5,20,20,0.0,42,me,mape,3.6712803840637207,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,5,20,20,0.0,42,me,r2,3.694424629211426,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,5,20,20,0.1,42,gini,mape,3.712565898895264,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,5,20,20,0.1,42,gini,r2,3.693403720855713,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,5,20,20,0.1,42,me,mape,3.751742124557495,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,30,5,20,20,0.1,42,me,r2,3.722212314605713,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,3,50,20,20,0.0,42,gini,mape,3.686532020568848,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,3,50,20,20,0.0,42,gini,r2,3.703763961791992,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
2,12,3,50,20,20,0.0,42,me,mape,3.735609292984009,0.117,3008.0934,1.947,ImpurityParTree2,fico.zip
