min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,inf,correlation,auto,4,13.915558338165283,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,skl_OPTICS,s-set2_y.zip
10,inf,cosine,auto,4,24.34648442268372,-0.4735,41.8485,10.7359,0.8611,0.0268,1.6374,0.4025,0.4622,0.6049,0.374,0.4622,0.1015,skl_OPTICS,s-set2_y.zip
10,inf,euclidean,auto,4,11.714134216308594,-0.6089,22.5803,1.5064,0.3496,0.0031,0.4847,0.2232,0.253,0.179,0.4309,0.253,0.2169,skl_OPTICS,s-set2_y.zip
20,inf,correlation,auto,4,13.895644187927246,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,skl_OPTICS,s-set2_y.zip
20,inf,cosine,auto,4,22.890103578567505,-0.4237,66.0964,9.3351,0.7799,0.0299,1.3239,0.4223,0.4485,0.4891,0.4141,0.4485,0.1415,skl_OPTICS,s-set2_y.zip
20,inf,euclidean,auto,4,11.726129293441772,-0.5782,59.9245,1.7885,0.3308,0.0056,0.4467,0.239,0.2487,0.165,0.5044,0.2487,0.2246,skl_OPTICS,s-set2_y.zip
2,inf,correlation,auto,4,13.87819766998291,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,skl_OPTICS,s-set2_y.zip
2,inf,cosine,auto,4,25.10738444328308,-0.6202,14.3855,19.703,0.9278,0.0072,2.2624,0.2062,0.4645,0.8357,0.3216,0.4645,0.0337,skl_OPTICS,s-set2_y.zip
2,inf,euclidean,auto,4,10.712579727172852,0.2373,10.2543,1.3701,0.9044,0.0069,2.2071,0.2543,0.4856,0.8153,0.3458,0.4856,0.0547,skl_OPTICS,s-set2_y.zip
3,inf,correlation,auto,4,14.007380247116089,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,skl_OPTICS,s-set2_y.zip
3,inf,cosine,auto,4,22.548598289489743,-0.5945,16.3274,18.8551,0.9098,0.0113,1.9941,0.2757,0.4545,0.7366,0.3286,0.4545,0.0553,skl_OPTICS,s-set2_y.zip
3,inf,euclidean,auto,4,10.942997455596924,-0.0688,9.0461,1.3835,0.7856,0.0047,1.587,0.2831,0.4424,0.5863,0.3552,0.4424,0.1116,skl_OPTICS,s-set2_y.zip
5,inf,correlation,auto,4,13.88201117515564,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,skl_OPTICS,s-set2_y.zip
5,inf,cosine,auto,4,25.397803783416748,-0.5429,23.4245,13.7966,0.879,0.0138,1.7569,0.3343,0.449,0.649,0.3432,0.449,0.0785,skl_OPTICS,s-set2_y.zip
5,inf,euclidean,auto,4,10.588833093643188,-0.3539,11.3095,1.4671,0.6039,0.004,1.035,0.2869,0.3794,0.3823,0.3765,0.3794,0.1645,skl_OPTICS,s-set2_y.zip
