n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,cosine,single,1000.0,100,10.554170846939089,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,cosine,single,1000.0,20,10.585126876831056,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,cosine,single,20.0,20,10.783649921417236,0.6372,14.4204,0.2693,0.6341,-0.0002,0.0001,-0.0001,0.0004,0.0002,0.0347,0.0004,0.7962,skl_agglomerativeClust,adult_y.zip
10,cosine,single,inf,100,10.613356113433838,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,cosine,single,inf,20,10.569483757019045,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,euclidean,average,1000.0,100,50.245033740997314,0.3266,4606.0054,0.9094,0.5831,-0.0026,0.0079,0.0159,0.0163,0.0143,0.0189,0.0163,0.7176,skl_agglomerativeClust,adult_y.zip
10,euclidean,average,1000.0,20,50.08206057548523,0.3266,4606.0054,0.9094,0.5831,-0.0026,0.0079,0.0159,0.0163,0.0143,0.0189,0.0163,0.7176,skl_agglomerativeClust,adult_y.zip
10,euclidean,average,20.0,20,50.87161374092102,0.2807,4603.9246,0.9286,0.5826,-0.0027,0.0079,0.0159,0.0162,0.0143,0.0187,0.0162,0.7168,skl_agglomerativeClust,adult_y.zip
10,euclidean,average,inf,100,50.464051246643066,0.3266,4606.0054,0.9094,0.5831,-0.0026,0.0079,0.0159,0.0163,0.0143,0.0189,0.0163,0.7176,skl_agglomerativeClust,adult_y.zip
10,euclidean,average,inf,20,50.45138502120972,0.3266,4606.0054,0.9094,0.5831,-0.0026,0.0079,0.0159,0.0163,0.0143,0.0189,0.0163,0.7176,skl_agglomerativeClust,adult_y.zip
10,euclidean,complete,1000.0,100,47.103780031204224,0.2669,6903.5214,1.4035,0.5162,-0.0565,0.0235,0.0337,0.0339,0.0425,0.0281,0.0339,0.6253,skl_agglomerativeClust,adult_y.zip
10,euclidean,complete,1000.0,20,47.05130910873413,0.2669,6903.5214,1.4035,0.5162,-0.0565,0.0235,0.0337,0.0339,0.0425,0.0281,0.0339,0.6253,skl_agglomerativeClust,adult_y.zip
10,euclidean,complete,20.0,20,46.91311311721802,0.3024,6799.7423,1.4579,0.515,-0.0535,0.0239,0.0344,0.0346,0.0433,0.0288,0.0346,0.6216,skl_agglomerativeClust,adult_y.zip
10,euclidean,complete,inf,100,47.13018012046814,0.2669,6903.5214,1.4035,0.5162,-0.0565,0.0235,0.0337,0.0339,0.0425,0.0281,0.0339,0.6253,skl_agglomerativeClust,adult_y.zip
10,euclidean,complete,inf,20,46.99981760978699,0.2669,6903.5214,1.4035,0.5162,-0.0565,0.0235,0.0337,0.0339,0.0425,0.0281,0.0339,0.6253,skl_agglomerativeClust,adult_y.zip
10,euclidean,single,1000.0,100,12.174561500549316,0.2667,46.8757,0.7218,0.6394,0.0209,0.007,0.0234,0.0239,0.0127,0.2077,0.0239,0.7974,skl_agglomerativeClust,adult_y.zip
10,euclidean,single,1000.0,20,12.232194185256958,0.2667,46.8757,0.7218,0.6394,0.0209,0.007,0.0234,0.0239,0.0127,0.2077,0.0239,0.7974,skl_agglomerativeClust,adult_y.zip
10,euclidean,single,20.0,20,12.583894729614258,0.2667,46.8757,0.7218,0.6394,0.0209,0.007,0.0234,0.0239,0.0127,0.2077,0.0239,0.7974,skl_agglomerativeClust,adult_y.zip
10,euclidean,single,inf,100,12.126495838165283,0.2667,46.8757,0.7218,0.6394,0.0209,0.007,0.0234,0.0239,0.0127,0.2077,0.0239,0.7974,skl_agglomerativeClust,adult_y.zip
10,euclidean,single,inf,20,12.14688801765442,0.2667,46.8757,0.7218,0.6394,0.0209,0.007,0.0234,0.0239,0.0127,0.2077,0.0239,0.7974,skl_agglomerativeClust,adult_y.zip
10,euclidean,ward,1000.0,100,43.98808932304382,0.201,13606.2378,1.4218,0.3975,-0.0094,0.0256,0.0191,0.0192,0.0463,0.0121,0.0192,0.288,skl_agglomerativeClust,adult_y.zip
10,euclidean,ward,1000.0,20,44.345669746398926,0.201,13606.2378,1.4218,0.3975,-0.0094,0.0256,0.0191,0.0192,0.0463,0.0121,0.0192,0.288,skl_agglomerativeClust,adult_y.zip
10,euclidean,ward,20.0,20,44.45248365402222,0.1918,13409.7778,1.3986,0.3977,-0.0145,0.0247,0.0187,0.0188,0.0448,0.0119,0.0188,0.296,skl_agglomerativeClust,adult_y.zip
10,euclidean,ward,inf,100,44.37756037712097,0.201,13606.2378,1.4218,0.3975,-0.0094,0.0256,0.0191,0.0192,0.0463,0.0121,0.0192,0.288,skl_agglomerativeClust,adult_y.zip
10,euclidean,ward,inf,20,44.152596950531006,0.201,13606.2378,1.4218,0.3975,-0.0094,0.0256,0.0191,0.0192,0.0463,0.0121,0.0192,0.288,skl_agglomerativeClust,adult_y.zip
12,correlation,average,1000.0,100,50.10291790962219,0.6429,2622.7986,1.0129,0.6106,-0.0007,0.0008,0.0015,0.002,0.0014,0.0035,0.002,0.7607,skl_agglomerativeClust,adult_y.zip
12,correlation,average,1000.0,20,50.11137986183167,0.6429,2622.7986,1.0129,0.6106,-0.0007,0.0008,0.0015,0.002,0.0014,0.0035,0.002,0.7607,skl_agglomerativeClust,adult_y.zip
12,correlation,average,20.0,20,50.219825744628906,0.6468,2696.3811,1.1292,0.6099,-0.0014,0.0008,0.0015,0.002,0.0014,0.0034,0.002,0.7598,skl_agglomerativeClust,adult_y.zip
12,correlation,average,inf,100,50.49722957611084,0.6429,2622.7986,1.0129,0.6106,-0.0007,0.0008,0.0015,0.002,0.0014,0.0035,0.002,0.7607,skl_agglomerativeClust,adult_y.zip
12,correlation,average,inf,20,50.38010883331299,0.6429,2622.7986,1.0129,0.6106,-0.0007,0.0008,0.0015,0.002,0.0014,0.0035,0.002,0.7607,skl_agglomerativeClust,adult_y.zip
12,correlation,complete,1000.0,100,48.31821298599243,0.1079,3023.3739,1.6349,0.5513,-0.0081,0.0012,0.0017,0.002,0.0022,0.0019,0.002,0.6657,skl_agglomerativeClust,adult_y.zip
12,correlation,complete,1000.0,20,47.71143770217896,0.1079,3023.3739,1.6349,0.5513,-0.0081,0.0012,0.0017,0.002,0.0022,0.0019,0.002,0.6657,skl_agglomerativeClust,adult_y.zip
12,correlation,complete,20.0,20,47.965075731277466,0.6345,2807.5348,1.2894,0.6084,-0.002,0.0015,0.0033,0.0037,0.0028,0.0057,0.0037,0.7578,skl_agglomerativeClust,adult_y.zip
12,correlation,complete,inf,100,47.6819121837616,0.1079,3023.3739,1.6349,0.5513,-0.0081,0.0012,0.0017,0.002,0.0022,0.0019,0.002,0.6657,skl_agglomerativeClust,adult_y.zip
12,correlation,complete,inf,20,47.78637170791626,0.1079,3023.3739,1.6349,0.5513,-0.0081,0.0012,0.0017,0.002,0.0022,0.0019,0.002,0.6657,skl_agglomerativeClust,adult_y.zip
12,correlation,single,1000.0,100,10.587161540985107,0.6298,24.0783,0.3145,0.6343,0.0009,0.0005,0.0012,0.0019,0.0009,0.0822,0.0019,0.7962,skl_agglomerativeClust,adult_y.zip
12,correlation,single,1000.0,20,10.55731439590454,0.6298,24.0783,0.3145,0.6343,0.0009,0.0005,0.0012,0.0019,0.0009,0.0822,0.0019,0.7962,skl_agglomerativeClust,adult_y.zip
12,correlation,single,20.0,20,10.719358444213867,0.6296,24.0559,0.3188,0.6343,0.0009,0.0005,0.0012,0.0019,0.0009,0.0822,0.0019,0.7962,skl_agglomerativeClust,adult_y.zip
12,correlation,single,inf,100,10.617578744888306,0.6298,24.0783,0.3145,0.6343,0.0009,0.0005,0.0012,0.0019,0.0009,0.0822,0.0019,0.7962,skl_agglomerativeClust,adult_y.zip
12,correlation,single,inf,20,10.632232189178469,0.6298,24.0783,0.3145,0.6343,0.0009,0.0005,0.0012,0.0019,0.0009,0.0822,0.0019,0.7962,skl_agglomerativeClust,adult_y.zip
12,cosine,average,1000.0,100,49.99988508224487,0.6627,2660.76,1.1587,0.6105,-0.0005,0.0016,0.0038,0.0043,0.003,0.0074,0.0043,0.7605,skl_agglomerativeClust,adult_y.zip
12,cosine,average,1000.0,20,50.4006245136261,0.6627,2660.76,1.1587,0.6105,-0.0005,0.0016,0.0038,0.0043,0.003,0.0074,0.0043,0.7605,skl_agglomerativeClust,adult_y.zip
12,cosine,average,20.0,20,49.83270859718323,0.6711,2636.5879,1.0416,0.6103,-0.0011,0.0008,0.0016,0.0021,0.0015,0.0039,0.0021,0.7603,skl_agglomerativeClust,adult_y.zip
12,cosine,average,inf,100,50.39294505119324,0.6627,2660.76,1.1587,0.6105,-0.0005,0.0016,0.0038,0.0043,0.003,0.0074,0.0043,0.7605,skl_agglomerativeClust,adult_y.zip
12,cosine,average,inf,20,50.33673858642578,0.6627,2660.76,1.1587,0.6105,-0.0005,0.0016,0.0038,0.0043,0.003,0.0074,0.0043,0.7605,skl_agglomerativeClust,adult_y.zip
12,cosine,complete,1000.0,100,47.86947274208069,0.6293,2719.8006,1.1588,0.6105,-0.0003,0.0007,0.0014,0.0018,0.0013,0.0029,0.0018,0.7604,skl_agglomerativeClust,adult_y.zip
12,cosine,complete,1000.0,20,47.48864507675171,0.6293,2719.8006,1.1588,0.6105,-0.0003,0.0007,0.0014,0.0018,0.0013,0.0029,0.0018,0.7604,skl_agglomerativeClust,adult_y.zip
12,cosine,complete,20.0,20,47.50433230400085,0.6341,2707.1068,1.2541,0.6101,-0.0014,0.0015,0.0032,0.0036,0.0027,0.0058,0.0036,0.7601,skl_agglomerativeClust,adult_y.zip
12,cosine,complete,inf,100,47.65029835700989,0.6293,2719.8006,1.1588,0.6105,-0.0003,0.0007,0.0014,0.0018,0.0013,0.0029,0.0018,0.7604,skl_agglomerativeClust,adult_y.zip
12,cosine,complete,inf,20,47.48493409156799,0.6293,2719.8006,1.1588,0.6105,-0.0003,0.0007,0.0014,0.0018,0.0013,0.0029,0.0018,0.7604,skl_agglomerativeClust,adult_y.zip
12,cosine,single,1000.0,100,10.541002750396729,0.621,25.4006,0.3363,0.6343,0.0009,0.0005,0.0012,0.0019,0.001,0.0797,0.0019,0.7961,skl_agglomerativeClust,adult_y.zip
12,cosine,single,1000.0,20,10.633768320083618,0.621,25.4006,0.3363,0.6343,0.0009,0.0005,0.0012,0.0019,0.001,0.0797,0.0019,0.7961,skl_agglomerativeClust,adult_y.zip
12,cosine,single,20.0,20,10.744548559188845,0.6296,24.0559,0.3188,0.6343,0.0009,0.0005,0.0012,0.0019,0.0009,0.0822,0.0019,0.7962,skl_agglomerativeClust,adult_y.zip
12,cosine,single,inf,100,10.614861249923706,0.621,25.4006,0.3363,0.6343,0.0009,0.0005,0.0012,0.0019,0.001,0.0797,0.0019,0.7961,skl_agglomerativeClust,adult_y.zip
12,cosine,single,inf,20,10.613810062408447,0.621,25.4006,0.3363,0.6343,0.0009,0.0005,0.0012,0.0019,0.001,0.0797,0.0019,0.7961,skl_agglomerativeClust,adult_y.zip
12,euclidean,average,1000.0,100,51.16092991828919,0.3215,3898.3219,1.0683,0.5828,-0.0027,0.01,0.0196,0.02,0.0182,0.0221,0.02,0.717,skl_agglomerativeClust,adult_y.zip
12,euclidean,average,1000.0,20,49.998366355896,0.3215,3898.3219,1.0683,0.5828,-0.0027,0.01,0.0196,0.02,0.0182,0.0221,0.02,0.717,skl_agglomerativeClust,adult_y.zip
12,euclidean,average,20.0,20,50.83033728599548,0.2884,5326.5015,1.0361,0.5149,-0.0536,0.0212,0.0318,0.0321,0.0384,0.0275,0.0321,0.6216,skl_agglomerativeClust,adult_y.zip
12,euclidean,average,inf,100,50.1134569644928,0.3215,3898.3219,1.0683,0.5828,-0.0027,0.01,0.0196,0.02,0.0182,0.0221,0.02,0.717,skl_agglomerativeClust,adult_y.zip
12,euclidean,average,inf,20,50.16337132453919,0.3215,3898.3219,1.0683,0.5828,-0.0027,0.01,0.0196,0.02,0.0182,0.0221,0.02,0.717,skl_agglomerativeClust,adult_y.zip
12,euclidean,complete,1000.0,100,46.78654265403748,0.2651,5691.7525,1.4529,0.5162,-0.0564,0.0237,0.0337,0.034,0.043,0.0281,0.034,0.6253,skl_agglomerativeClust,adult_y.zip
12,euclidean,complete,1000.0,20,46.70506930351257,0.2651,5691.7525,1.4529,0.5162,-0.0564,0.0237,0.0337,0.034,0.043,0.0281,0.034,0.6253,skl_agglomerativeClust,adult_y.zip
12,euclidean,complete,20.0,20,46.94445705413818,0.2982,9314.16,1.358,0.4451,-0.0174,0.0239,0.0245,0.0246,0.0433,0.0172,0.0246,0.4478,skl_agglomerativeClust,adult_y.zip
12,euclidean,complete,inf,100,46.6902768611908,0.2651,5691.7525,1.4529,0.5162,-0.0564,0.0237,0.0337,0.034,0.043,0.0281,0.034,0.6253,skl_agglomerativeClust,adult_y.zip
12,euclidean,complete,inf,20,46.98353409767151,0.2651,5691.7525,1.4529,0.5162,-0.0564,0.0237,0.0337,0.034,0.043,0.0281,0.034,0.6253,skl_agglomerativeClust,adult_y.zip
12,euclidean,single,1000.0,100,12.134684324264526,0.2202,39.8306,0.6691,0.6394,0.021,0.0071,0.0234,0.024,0.0128,0.205,0.024,0.7974,skl_agglomerativeClust,adult_y.zip
12,euclidean,single,1000.0,20,12.14303970336914,0.2202,39.8306,0.6691,0.6394,0.021,0.0071,0.0234,0.024,0.0128,0.205,0.024,0.7974,skl_agglomerativeClust,adult_y.zip
12,euclidean,single,20.0,20,12.561575412750244,0.2202,39.8306,0.6691,0.6394,0.021,0.0071,0.0234,0.024,0.0128,0.205,0.024,0.7974,skl_agglomerativeClust,adult_y.zip
12,euclidean,single,inf,100,12.14118790626526,0.2202,39.8306,0.6691,0.6394,0.021,0.0071,0.0234,0.024,0.0128,0.205,0.024,0.7974,skl_agglomerativeClust,adult_y.zip
12,euclidean,single,inf,20,12.173920631408691,0.2202,39.8306,0.6691,0.6394,0.021,0.0071,0.0234,0.024,0.0128,0.205,0.024,0.7974,skl_agglomerativeClust,adult_y.zip
12,euclidean,ward,1000.0,100,44.11519908905029,0.1995,12189.729,1.3824,0.3977,-0.0081,0.0362,0.0265,0.0266,0.0655,0.0167,0.0266,0.287,skl_agglomerativeClust,adult_y.zip
12,euclidean,ward,1000.0,20,44.21833395957947,0.1995,12189.729,1.3824,0.3977,-0.0081,0.0362,0.0265,0.0266,0.0655,0.0167,0.0266,0.287,skl_agglomerativeClust,adult_y.zip
12,euclidean,ward,20.0,20,45.04531908035278,0.161,11978.4295,1.3887,0.398,-0.0133,0.0348,0.026,0.0261,0.0631,0.0164,0.0261,0.2955,skl_agglomerativeClust,adult_y.zip
12,euclidean,ward,inf,100,44.17507839202881,0.1995,12189.729,1.3824,0.3977,-0.0081,0.0362,0.0265,0.0266,0.0655,0.0167,0.0266,0.287,skl_agglomerativeClust,adult_y.zip
12,euclidean,ward,inf,20,44.15162682533264,0.1995,12189.729,1.3824,0.3977,-0.0081,0.0362,0.0265,0.0266,0.0655,0.0167,0.0266,0.287,skl_agglomerativeClust,adult_y.zip
2,correlation,average,1000.0,100,50.2756609916687,0.702,15398.6205,0.3819,0.6219,0.0036,0.0001,0.0001,0.0002,0.0001,0.0004,0.0002,0.7766,skl_agglomerativeClust,adult_y.zip
2,correlation,average,1000.0,20,50.30057120323181,0.702,15398.6205,0.3819,0.6219,0.0036,0.0001,0.0001,0.0002,0.0001,0.0004,0.0002,0.7766,skl_agglomerativeClust,adult_y.zip
2,correlation,average,20.0,20,50.287131547927856,0.6529,75.542,0.3037,0.6342,-0.0003,0.0001,0.0001,0.0002,0.0001,0.0287,0.0002,0.7963,skl_agglomerativeClust,adult_y.zip
2,correlation,average,inf,100,50.25812220573425,0.702,15398.6205,0.3819,0.6219,0.0036,0.0001,0.0001,0.0002,0.0001,0.0004,0.0002,0.7766,skl_agglomerativeClust,adult_y.zip
