min_samples,max_eps,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,inf,correlation,auto,4,1000.0,100,209.4234344959259,-0.4472,17.3416,1.5088,0.5027,0.0039,0.0747,0.0475,0.052,0.1354,0.0322,0.052,0.5666,skl_OPTICS,adult_y.zip
10,inf,correlation,auto,4,1000.0,20,209.38397002220157,-0.4472,17.3416,1.5088,0.5027,0.0039,0.0747,0.0475,0.052,0.1354,0.0322,0.052,0.5666,skl_OPTICS,adult_y.zip
10,inf,correlation,auto,4,20.0,20,215.8138015270233,-0.4596,15.395,1.5517,0.514,0.0233,0.0755,0.0471,0.0522,0.1367,0.0323,0.0522,0.5785,skl_OPTICS,adult_y.zip
10,inf,correlation,auto,4,inf,100,209.5914950370789,-0.4472,17.3416,1.5088,0.5027,0.0039,0.0747,0.0475,0.052,0.1354,0.0322,0.052,0.5666,skl_OPTICS,adult_y.zip
10,inf,correlation,auto,4,inf,20,209.56110072135925,-0.4472,17.3416,1.5088,0.5027,0.0039,0.0747,0.0475,0.052,0.1354,0.0322,0.052,0.5666,skl_OPTICS,adult_y.zip
10,inf,cosine,auto,4,1000.0,100,278.52599930763245,-0.4491,17.9245,1.5176,0.5068,0.0101,0.0735,0.0471,0.0516,0.1332,0.032,0.0516,0.5713,skl_OPTICS,adult_y.zip
10,inf,cosine,auto,4,1000.0,20,277.41944694519043,-0.4491,17.9245,1.5176,0.5068,0.0101,0.0735,0.0471,0.0516,0.1332,0.032,0.0516,0.5713,skl_OPTICS,adult_y.zip
10,inf,cosine,auto,4,20.0,20,288.06208777427673,-0.4463,16.6665,1.5574,0.5088,0.0223,0.0771,0.0466,0.0517,0.1396,0.0317,0.0517,0.5681,skl_OPTICS,adult_y.zip
10,inf,cosine,auto,4,inf,100,278.5525498390198,-0.4491,17.9245,1.5176,0.5068,0.0101,0.0735,0.0471,0.0516,0.1332,0.032,0.0516,0.5713,skl_OPTICS,adult_y.zip
10,inf,cosine,auto,4,inf,20,276.73134207725525,-0.4491,17.9245,1.5176,0.5068,0.0101,0.0735,0.0471,0.0516,0.1332,0.032,0.0516,0.5713,skl_OPTICS,adult_y.zip
10,inf,euclidean,auto,4,1000.0,100,126.83120727539062,-0.5134,14.985,1.4889,0.5387,0.0182,0.0577,0.0452,0.0498,0.1046,0.0327,0.0498,0.63,skl_OPTICS,adult_y.zip
10,inf,euclidean,auto,4,1000.0,20,127.58499479293825,-0.5134,14.985,1.4889,0.5387,0.0182,0.0577,0.0452,0.0498,0.1046,0.0327,0.0498,0.63,skl_OPTICS,adult_y.zip
10,inf,euclidean,auto,4,20.0,20,131.39530563354492,-0.5023,12.6024,1.555,0.5296,0.0192,0.0618,0.0435,0.0486,0.1119,0.0311,0.0486,0.612,skl_OPTICS,adult_y.zip
10,inf,euclidean,auto,4,inf,100,125.19686508178712,-0.5134,14.985,1.4889,0.5387,0.0182,0.0577,0.0452,0.0498,0.1046,0.0327,0.0498,0.63,skl_OPTICS,adult_y.zip
10,inf,euclidean,auto,4,inf,20,129.27613258361816,-0.5134,14.985,1.4889,0.5387,0.0182,0.0577,0.0452,0.0498,0.1046,0.0327,0.0498,0.63,skl_OPTICS,adult_y.zip
20,inf,correlation,auto,4,1000.0,100,209.1211016178131,-0.4548,27.4609,1.58,0.5291,0.0284,0.0647,0.0515,0.0538,0.1172,0.0349,0.0538,0.6061,skl_OPTICS,adult_y.zip
