n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,300,Cao,11,False,42,4,0.0613875389099121,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,,,kmodes,aggregation_y.zip
2,300,Cao,11,False,42,4,0.0522358417510986,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,1000.0,20.0,kmodes,aggregation_y.zip
2,300,Cao,11,False,42,4,0.0522465705871582,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,100.0,20.0,kmodes,aggregation_y.zip
2,300,Cao,11,False,42,4,0.0557954311370849,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,inf,20.0,kmodes,aggregation_y.zip
2,500,Cao,11,False,42,4,0.0666067600250244,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,,,kmodes,aggregation_y.zip
2,500,Cao,11,False,42,4,0.0521121025085449,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,1000.0,20.0,kmodes,aggregation_y.zip
2,500,Cao,11,False,42,4,0.050288438796997,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,100.0,20.0,kmodes,aggregation_y.zip
2,500,Cao,11,False,42,4,0.0510029792785644,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,inf,20.0,kmodes,aggregation_y.zip
4,100,Cao,11,False,42,4,0.0765180587768554,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,,,kmodes,aggregation_y.zip
4,100,Cao,11,False,42,4,0.0616796016693115,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,1000.0,20.0,kmodes,aggregation_y.zip
4,100,Cao,11,False,42,4,0.0629506111145019,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,100.0,20.0,kmodes,aggregation_y.zip
4,100,Cao,11,False,42,4,0.0633275508880615,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,inf,20.0,kmodes,aggregation_y.zip
4,300,Cao,11,False,42,4,0.0765502452850341,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,,,kmodes,aggregation_y.zip
4,300,Cao,11,False,42,4,0.0628736019134521,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,1000.0,20.0,kmodes,aggregation_y.zip
4,300,Cao,11,False,42,4,0.061511754989624,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,100.0,20.0,kmodes,aggregation_y.zip
4,300,Cao,11,False,42,4,0.0614161491394043,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,inf,20.0,kmodes,aggregation_y.zip
4,500,Cao,11,False,42,4,0.0806589126586914,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,,,kmodes,aggregation_y.zip
4,500,Cao,11,False,42,4,0.0618109703063964,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,1000.0,20.0,kmodes,aggregation_y.zip
4,500,Cao,11,False,42,4,0.0628917217254638,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,100.0,20.0,kmodes,aggregation_y.zip
4,500,Cao,11,False,42,4,0.0626835823059082,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,inf,20.0,kmodes,aggregation_y.zip
6,100,Cao,11,False,42,4,0.0922994613647461,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,,,kmodes,aggregation_y.zip
6,100,Cao,11,False,42,4,0.0733935832977294,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,1000.0,20.0,kmodes,aggregation_y.zip
6,100,Cao,11,False,42,4,0.0726449489593505,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,100.0,20.0,kmodes,aggregation_y.zip
6,100,Cao,11,False,42,4,0.0717594623565673,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,inf,20.0,kmodes,aggregation_y.zip
6,300,Cao,11,False,42,4,0.0935761928558349,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,,,kmodes,aggregation_y.zip
6,300,Cao,11,False,42,4,0.0719807147979736,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,1000.0,20.0,kmodes,aggregation_y.zip
6,300,Cao,11,False,42,4,0.0737576484680175,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,100.0,20.0,kmodes,aggregation_y.zip
6,300,Cao,11,False,42,4,0.0732476711273193,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,inf,20.0,kmodes,aggregation_y.zip
6,500,Cao,11,False,42,4,0.0954761505126953,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,,,kmodes,aggregation_y.zip
6,500,Cao,11,False,42,4,0.0737578868865966,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,1000.0,20.0,kmodes,aggregation_y.zip
6,500,Cao,11,False,42,4,0.0716297626495361,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,100.0,20.0,kmodes,aggregation_y.zip
6,500,Cao,11,False,42,4,0.0724592208862304,-0.4109,3.6101,4.8321,0.2706,-0.0024,0.0478,0.0282,0.0483,0.0282,0.1692,0.0483,0.4398,inf,20.0,kmodes,aggregation_y.zip
7,100,Cao,11,False,42,4,0.1002447605133056,-0.4101,3.3598,5.8327,0.2803,-0.0041,0.0513,0.027,0.0505,0.0303,0.1516,0.0505,0.4337,,,kmodes,aggregation_y.zip
7,300,Cao,11,False,42,4,0.0993144512176513,-0.4101,3.3598,5.8327,0.2803,-0.0041,0.0513,0.027,0.0505,0.0303,0.1516,0.0505,0.4337,,,kmodes,aggregation_y.zip
7,500,Cao,11,False,42,4,0.0991957187652587,-0.4101,3.3598,5.8327,0.2803,-0.0041,0.0513,0.027,0.0505,0.0303,0.1516,0.0505,0.4337,,,kmodes,aggregation_y.zip
8,100,Cao,11,False,42,4,0.1100411415100097,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,,,kmodes,aggregation_y.zip
8,100,Cao,11,False,42,4,0.0826344490051269,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,1000.0,20.0,kmodes,aggregation_y.zip
8,100,Cao,11,False,42,4,0.0841012001037597,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,100.0,20.0,kmodes,aggregation_y.zip
8,100,Cao,11,False,42,4,0.0842733383178711,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,inf,20.0,kmodes,aggregation_y.zip
8,300,Cao,11,False,42,4,0.1119654178619384,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,,,kmodes,aggregation_y.zip
8,300,Cao,11,False,42,4,0.0847420692443847,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,1000.0,20.0,kmodes,aggregation_y.zip
8,300,Cao,11,False,42,4,0.0879037380218505,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,100.0,20.0,kmodes,aggregation_y.zip
8,300,Cao,11,False,42,4,0.0832383632659912,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,inf,20.0,kmodes,aggregation_y.zip
8,500,Cao,11,False,42,4,0.1104960441589355,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,,,kmodes,aggregation_y.zip
8,500,Cao,11,False,42,4,0.0844345092773437,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,1000.0,20.0,kmodes,aggregation_y.zip
8,500,Cao,11,False,42,4,0.0840706825256347,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,100.0,20.0,kmodes,aggregation_y.zip
8,500,Cao,11,False,42,4,0.0825781822204589,-0.4275,3.6477,5.3704,0.2874,-0.0093,0.0596,0.0305,0.057,0.0352,0.151,0.057,0.4248,inf,20.0,kmodes,aggregation_y.zip
10,100,Cao,11,False,42,4,0.0949738025665283,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,1000.0,20.0,kmodes,aggregation_y.zip
10,100,Cao,11,False,42,4,0.0940577983856201,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,100.0,20.0,kmodes,aggregation_y.zip
10,100,Cao,11,False,42,4,0.0960478782653808,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,inf,20.0,kmodes,aggregation_y.zip
10,300,Cao,11,False,42,4,0.0944228172302246,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,1000.0,20.0,kmodes,aggregation_y.zip
10,300,Cao,11,False,42,4,0.0937089920043945,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,100.0,20.0,kmodes,aggregation_y.zip
10,300,Cao,11,False,42,4,0.0936095714569091,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,inf,20.0,kmodes,aggregation_y.zip
