n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,100,Cao,11,False,42,4,1000.0,20,0.1443676948547363,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,100,Cao,11,False,42,4,100.0,20,0.1468026638031005,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,100,Cao,11,False,42,4,inf,20,0.1462230682373047,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,300,Cao,11,False,42,4,1000.0,20,0.1428430080413818,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,300,Cao,11,False,42,4,100.0,20,0.1461637020111084,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,300,Cao,11,False,42,4,inf,20,0.1482930183410644,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,500,Cao,11,False,42,4,1000.0,20,0.1444473266601562,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,500,Cao,11,False,42,4,100.0,20,0.143012523651123,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,500,Cao,11,False,42,4,inf,20,0.1456990242004394,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
6,100,Cao,11,False,42,4,1000.0,20,0.189124584197998,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,100,Cao,11,False,42,4,100.0,20,0.1886792182922363,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,100,Cao,11,False,42,4,inf,20,0.190171480178833,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,300,Cao,11,False,42,4,1000.0,20,0.1902267932891845,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,300,Cao,11,False,42,4,100.0,20,0.1865010261535644,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,300,Cao,11,False,42,4,inf,20,0.1889050006866455,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,500,Cao,11,False,42,4,1000.0,20,0.1882073879241943,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,500,Cao,11,False,42,4,100.0,20,0.1955595016479492,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,500,Cao,11,False,42,4,inf,20,0.1885299682617187,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
8,100,Cao,11,False,42,4,1000.0,20,0.2354350090026855,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,100,Cao,11,False,42,4,100.0,20,0.2334070205688476,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,100,Cao,11,False,42,4,inf,20,0.2391884326934814,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,300,Cao,11,False,42,4,1000.0,20,0.2341523170471191,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,300,Cao,11,False,42,4,100.0,20,0.2366936206817627,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,300,Cao,11,False,42,4,inf,20,0.2367355823516845,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,500,Cao,11,False,42,4,1000.0,20,0.2364742755889892,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,500,Cao,11,False,42,4,100.0,20,0.233591079711914,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,500,Cao,11,False,42,4,inf,20,0.2365789413452148,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
10,100,Cao,11,False,42,4,1000.0,20,0.2806534767150879,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,100,Cao,11,False,42,4,100.0,20,0.2842729091644287,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,100,Cao,11,False,42,4,inf,20,0.2831060886383056,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,300,Cao,11,False,42,4,1000.0,20,0.2822744846343994,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,300,Cao,11,False,42,4,100.0,20,0.2781927585601806,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,300,Cao,11,False,42,4,inf,20,0.2793667316436767,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,500,Cao,11,False,42,4,1000.0,20,0.2805733680725097,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,500,Cao,11,False,42,4,100.0,20,0.282222032546997,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,500,Cao,11,False,42,4,inf,20,0.2839090824127197,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
12,100,Cao,11,False,42,4,1000.0,20,0.328834056854248,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y.zip
12,100,Cao,11,False,42,4,100.0,20,0.3256940841674804,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y.zip
12,100,Cao,11,False,42,4,inf,20,0.324744701385498,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y.zip
12,300,Cao,11,False,42,4,1000.0,20,0.3301887512207031,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y.zip
12,300,Cao,11,False,42,4,100.0,20,0.3353304862976074,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y.zip
12,300,Cao,11,False,42,4,inf,20,0.3283779621124267,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y.zip
12,500,Cao,11,False,42,4,1000.0,20,0.3300716876983642,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y.zip
12,500,Cao,11,False,42,4,100.0,20,0.3244194984436035,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y.zip
12,500,Cao,11,False,42,4,inf,20,0.325538158416748,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y.zip
2,100,Cao,11,False,42,4,1000.0,20,0.1034541130065918,0.0558,46.6541,3.6562,0.5203,-0.0017,0.0,-0.0009,0.0,0.0,0.0,0.0,0.6049,kmodes,german_creditONEHOT_y.zip
2,100,Cao,11,False,42,4,100.0,20,0.1015765666961669,0.0558,46.6541,3.6562,0.5203,-0.0017,0.0,-0.0009,0.0,0.0,0.0,0.0,0.6049,kmodes,german_creditONEHOT_y.zip
2,100,Cao,11,False,42,4,inf,20,0.1012485027313232,0.0558,46.6541,3.6562,0.5203,-0.0017,0.0,-0.0009,0.0,0.0,0.0,0.0,0.6049,kmodes,german_creditONEHOT_y.zip
2,300,Cao,11,False,42,4,1000.0,20,0.1020383834838867,0.0558,46.6541,3.6562,0.5203,-0.0017,0.0,-0.0009,0.0,0.0,0.0,0.0,0.6049,kmodes,german_creditONEHOT_y.zip
2,300,Cao,11,False,42,4,100.0,20,0.1024682521820068,0.0558,46.6541,3.6562,0.5203,-0.0017,0.0,-0.0009,0.0,0.0,0.0,0.0,0.6049,kmodes,german_creditONEHOT_y.zip
2,300,Cao,11,False,42,4,inf,20,0.1012091636657714,0.0558,46.6541,3.6562,0.5203,-0.0017,0.0,-0.0009,0.0,0.0,0.0,0.0,0.6049,kmodes,german_creditONEHOT_y.zip
2,500,Cao,11,False,42,4,1000.0,20,0.1002314090728759,0.0558,46.6541,3.6562,0.5203,-0.0017,0.0,-0.0009,0.0,0.0,0.0,0.0,0.6049,kmodes,german_creditONEHOT_y.zip
2,500,Cao,11,False,42,4,100.0,20,0.1010386943817138,0.0558,46.6541,3.6562,0.5203,-0.0017,0.0,-0.0009,0.0,0.0,0.0,0.0,0.6049,kmodes,german_creditONEHOT_y.zip
2,500,Cao,11,False,42,4,inf,20,0.1012513637542724,0.0558,46.6541,3.6562,0.5203,-0.0017,0.0,-0.0009,0.0,0.0,0.0,0.0,0.6049,kmodes,german_creditONEHOT_y.zip
4,100,Cao,11,False,42,4,1000.0,20,0.1443676948547363,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,100,Cao,11,False,42,4,100.0,20,0.1468026638031005,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,100,Cao,11,False,42,4,inf,20,0.1462230682373047,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,300,Cao,11,False,42,4,1000.0,20,0.1428430080413818,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,300,Cao,11,False,42,4,100.0,20,0.1461637020111084,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,300,Cao,11,False,42,4,inf,20,0.1482930183410644,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,500,Cao,11,False,42,4,1000.0,20,0.1444473266601562,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,500,Cao,11,False,42,4,100.0,20,0.143012523651123,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
4,500,Cao,11,False,42,4,inf,20,0.1456990242004394,-0.0233,33.7895,3.6283,0.4839,0.0011,0.0005,-0.0012,0.0005,0.0007,0.0004,0.0005,0.4794,kmodes,german_creditONEHOT_y.zip
6,100,Cao,11,False,42,4,1000.0,20,0.189124584197998,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,100,Cao,11,False,42,4,100.0,20,0.1886792182922363,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,100,Cao,11,False,42,4,inf,20,0.190171480178833,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,300,Cao,11,False,42,4,1000.0,20,0.1902267932891845,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,300,Cao,11,False,42,4,100.0,20,0.1865010261535644,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,300,Cao,11,False,42,4,inf,20,0.1889050006866455,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,500,Cao,11,False,42,4,1000.0,20,0.1882073879241943,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,500,Cao,11,False,42,4,100.0,20,0.1955595016479492,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
6,500,Cao,11,False,42,4,inf,20,0.1885299682617187,-0.0579,24.2653,4.2481,0.468,-0.0023,0.0006,-0.0019,0.0006,0.001,0.0004,0.0006,0.42,kmodes,german_creditONEHOT_y.zip
8,100,Cao,11,False,42,4,1000.0,20,0.2354350090026855,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,100,Cao,11,False,42,4,100.0,20,0.2334070205688476,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,100,Cao,11,False,42,4,inf,20,0.2391884326934814,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,300,Cao,11,False,42,4,1000.0,20,0.2341523170471191,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,300,Cao,11,False,42,4,100.0,20,0.2366936206817627,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,300,Cao,11,False,42,4,inf,20,0.2367355823516845,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,500,Cao,11,False,42,4,1000.0,20,0.2364742755889892,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,500,Cao,11,False,42,4,100.0,20,0.233591079711914,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
8,500,Cao,11,False,42,4,inf,20,0.2365789413452148,-0.0521,22.2714,4.0292,0.4509,-0.0069,0.0034,-0.0001,0.0028,0.0056,0.0019,0.0028,0.348,kmodes,german_creditONEHOT_y.zip
