n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,300,Cao,11,False,42,4,0.0407474040985107,0.2984,3.3228,0.4986,0.2532,0.0003,0.0029,0.0003,0.0041,0.0021,0.2044,0.0041,0.5003,,,kmodes,zelnik5_y.zip
2,300,Cao,11,False,42,4,0.0342564582824707,0.2984,3.3228,0.4986,0.2532,0.0003,0.0029,0.0003,0.0041,0.0021,0.2044,0.0041,0.5003,1000.0,20.0,kmodes,zelnik5_y.zip
2,300,Cao,11,False,42,4,0.0349588394165039,0.2984,3.3228,0.4986,0.2532,0.0003,0.0029,0.0003,0.0041,0.0021,0.2044,0.0041,0.5003,100.0,20.0,kmodes,zelnik5_y.zip
2,300,Cao,11,False,42,4,0.0349864959716796,0.2984,3.3228,0.4986,0.2532,0.0003,0.0029,0.0003,0.0041,0.0021,0.2044,0.0041,0.5003,inf,20.0,kmodes,zelnik5_y.zip
2,500,Cao,11,False,42,4,0.0425312519073486,0.2984,3.3228,0.4986,0.2532,0.0003,0.0029,0.0003,0.0041,0.0021,0.2044,0.0041,0.5003,,,kmodes,zelnik5_y.zip
2,500,Cao,11,False,42,4,0.0348758697509765,0.2984,3.3228,0.4986,0.2532,0.0003,0.0029,0.0003,0.0041,0.0021,0.2044,0.0041,0.5003,1000.0,20.0,kmodes,zelnik5_y.zip
2,500,Cao,11,False,42,4,0.0340631008148193,0.2984,3.3228,0.4986,0.2532,0.0003,0.0029,0.0003,0.0041,0.0021,0.2044,0.0041,0.5003,100.0,20.0,kmodes,zelnik5_y.zip
2,500,Cao,11,False,42,4,0.0351786613464355,0.2984,3.3228,0.4986,0.2532,0.0003,0.0029,0.0003,0.0041,0.0021,0.2044,0.0041,0.5003,inf,20.0,kmodes,zelnik5_y.zip
4,100,Cao,11,False,42,4,0.0501525402069091,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,,,kmodes,zelnik5_y.zip
4,100,Cao,11,False,42,4,0.0424630641937255,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,1000.0,20.0,kmodes,zelnik5_y.zip
4,100,Cao,11,False,42,4,0.0419337749481201,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,100.0,20.0,kmodes,zelnik5_y.zip
4,100,Cao,11,False,42,4,0.0423879623413085,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,inf,20.0,kmodes,zelnik5_y.zip
4,300,Cao,11,False,42,4,0.0530159473419189,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,,,kmodes,zelnik5_y.zip
4,300,Cao,11,False,42,4,0.0419287681579589,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,1000.0,20.0,kmodes,zelnik5_y.zip
4,300,Cao,11,False,42,4,0.0424196720123291,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,100.0,20.0,kmodes,zelnik5_y.zip
4,300,Cao,11,False,42,4,0.0415956974029541,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,inf,20.0,kmodes,zelnik5_y.zip
4,500,Cao,11,False,42,4,0.0508639812469482,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,,,kmodes,zelnik5_y.zip
4,500,Cao,11,False,42,4,0.0417547225952148,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,1000.0,20.0,kmodes,zelnik5_y.zip
4,500,Cao,11,False,42,4,0.0421605110168457,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,100.0,20.0,kmodes,zelnik5_y.zip
4,500,Cao,11,False,42,4,0.0419533252716064,0.2829,3.275,0.5039,0.2575,0.0008,0.0087,0.0008,0.0122,0.0063,0.2054,0.0122,0.4987,inf,20.0,kmodes,zelnik5_y.zip
6,100,Cao,11,False,42,4,0.0645928382873535,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,,,kmodes,zelnik5_y.zip
6,100,Cao,11,False,42,4,0.0489158630371093,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,1000.0,20.0,kmodes,zelnik5_y.zip
6,100,Cao,11,False,42,4,0.0527927875518798,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,100.0,20.0,kmodes,zelnik5_y.zip
6,100,Cao,11,False,42,4,0.0499014854431152,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,inf,20.0,kmodes,zelnik5_y.zip
6,300,Cao,11,False,42,4,0.0629248619079589,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,,,kmodes,zelnik5_y.zip
6,300,Cao,11,False,42,4,0.0486795902252197,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,1000.0,20.0,kmodes,zelnik5_y.zip
6,300,Cao,11,False,42,4,0.0516588687896728,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,100.0,20.0,kmodes,zelnik5_y.zip
