n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,correlation,average,0.0240082740783691,-0.3371,55.9607,2.2431,0.5382,0.0823,0.5636,0.295,0.3059,0.1918,0.7545,0.3059,0.2907,skl_agglomerativeClust,2d-20c-no0_y.zip
10,correlation,complete,0.0227141380310058,-0.062,55.6465,46.9758,0.8021,0.0792,0.5764,0.2145,0.2337,0.1962,0.289,0.2337,0.185,skl_agglomerativeClust,2d-20c-no0_y.zip
10,correlation,single,0.0167150497436523,-0.0839,54.9581,2.7506,0.5352,0.0823,0.5565,0.2958,0.3042,0.1894,0.7724,0.3042,0.2916,skl_agglomerativeClust,2d-20c-no0_y.zip
10,cosine,average,0.027179479598999,0.4104,1778.1686,0.8424,0.9264,0.5515,2.035,0.795,0.7996,0.6926,0.9456,0.7996,0.6345,skl_agglomerativeClust,2d-20c-no0_y.zip
10,cosine,complete,0.0337648391723632,0.4184,1810.7455,0.935,0.9297,0.5589,2.0753,0.8023,0.8068,0.7063,0.9408,0.8068,0.6362,skl_agglomerativeClust,2d-20c-no0_y.zip
10,cosine,single,0.0126845836639404,0.2539,991.6078,2.6755,0.8197,0.3114,1.5601,0.6766,0.6835,0.531,0.9592,0.6835,0.4746,skl_agglomerativeClust,2d-20c-no0_y.zip
10,euclidean,average,0.0253355503082275,0.5428,2514.0201,0.5707,0.9191,0.5361,2.1227,0.8314,0.8353,0.7225,0.9901,0.8353,0.6314,skl_agglomerativeClust,2d-20c-no0_y.zip
10,euclidean,complete,0.0265278816223144,0.4927,2345.0798,0.632,0.9234,0.5426,2.1047,0.8198,0.824,0.7163,0.9698,0.824,0.6296,skl_agglomerativeClust,2d-20c-no0_y.zip
10,euclidean,single,0.0116996765136718,0.0963,270.6441,0.9761,0.7588,0.241,1.5955,0.6951,0.7022,0.543,0.9933,0.7022,0.4286,skl_agglomerativeClust,2d-20c-no0_y.zip
10,euclidean,ward,0.0284502506256103,0.5388,2828.4041,0.6335,0.9406,0.6177,2.2118,0.853,0.8564,0.7528,0.9931,0.8564,0.6895,skl_agglomerativeClust,2d-20c-no0_y.zip
12,correlation,average,0.0240130424499511,-0.421,45.9875,2.2942,0.5432,0.0824,0.572,0.2936,0.3076,0.1947,0.7329,0.3076,0.2892,skl_agglomerativeClust,2d-20c-no0_y.zip
