n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,100,Cao,11,False,42,4,20.0,20,1.849630355834961,-0.0218,56.3758,4.4422,0.7372,0.1143,0.3746,0.1885,0.1969,0.2703,0.1549,0.1969,0.264,kmodes,vehicle_y.zip
12,100,Cao,11,False,42,4,inf,100,1.7442266941070557,-0.122,28.3716,7.5923,0.7157,0.0433,0.1643,0.0771,0.0868,0.1186,0.0684,0.0868,0.1958,kmodes,vehicle_y.zip
12,100,Cao,11,False,42,4,inf,20,1.721221923828125,-0.122,28.3716,7.5923,0.7157,0.0433,0.1643,0.0771,0.0868,0.1186,0.0684,0.0868,0.1958,kmodes,vehicle_y.zip
12,300,Cao,11,False,42,4,1000.0,100,1.772225856781006,-0.122,28.3716,7.5923,0.7157,0.0433,0.1643,0.0771,0.0868,0.1186,0.0684,0.0868,0.1958,kmodes,vehicle_y.zip
12,300,Cao,11,False,42,4,1000.0,20,1.7240803241729736,-0.122,28.3716,7.5923,0.7157,0.0433,0.1643,0.0771,0.0868,0.1186,0.0684,0.0868,0.1958,kmodes,vehicle_y.zip
12,300,Cao,11,False,42,4,100.0,100,1.7580897808074951,-0.0734,28.9697,7.3517,0.7201,0.0727,0.2045,0.0996,0.1091,0.1476,0.0865,0.1091,0.2294,kmodes,vehicle_y.zip
12,300,Cao,11,False,42,4,100.0,20,1.7217023372650146,-0.122,28.3716,7.5923,0.7157,0.0433,0.1643,0.0771,0.0868,0.1186,0.0684,0.0868,0.1958,kmodes,vehicle_y.zip
12,300,Cao,11,False,42,4,20.0,20,1.8647491931915283,-0.0218,56.3758,4.4422,0.7372,0.1143,0.3746,0.1885,0.1969,0.2703,0.1549,0.1969,0.264,kmodes,vehicle_y.zip
12,300,Cao,11,False,42,4,inf,100,1.7621145248413086,-0.122,28.3716,7.5923,0.7157,0.0433,0.1643,0.0771,0.0868,0.1186,0.0684,0.0868,0.1958,kmodes,vehicle_y.zip
12,300,Cao,11,False,42,4,inf,20,1.7222867012023926,-0.122,28.3716,7.5923,0.7157,0.0433,0.1643,0.0771,0.0868,0.1186,0.0684,0.0868,0.1958,kmodes,vehicle_y.zip
