n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
6,300,Cao,11,False,42,4,inf,20,7.966620445251465,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,500,Cao,11,False,42,4,1000.0,20,7.929950952529907,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,500,Cao,11,False,42,4,100.0,20,8.147129774093628,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,500,Cao,11,False,42,4,inf,20,8.167003393173218,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,100,Cao,11,False,42,4,1000.0,20,14.249419689178469,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,100,Cao,11,False,42,4,100.0,20,13.912819147109984,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,100,Cao,11,False,42,4,inf,20,13.87108850479126,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,300,Cao,11,False,42,4,1000.0,20,13.857990026474,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,300,Cao,11,False,42,4,100.0,20,14.206046342849731,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,300,Cao,11,False,42,4,inf,20,14.234270572662354,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
