max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
4,4,3,50,20,20,0.1,1.0355405807495115,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
4,4,3,5,1000,100,0.0,9.145901679992676,0.0426,460.4997,2.9649,VarianceParTree,wine.zip
4,4,3,5,1000,100,0.1,9.238432168960571,0.0426,460.4997,2.9649,VarianceParTree,wine.zip
4,4,3,5,1000,20,0.0,9.19831156730652,0.0426,460.4997,2.9649,VarianceParTree,wine.zip
4,4,3,5,1000,20,0.1,9.115983486175535,0.0426,460.4997,2.9649,VarianceParTree,wine.zip
4,4,3,5,20,20,0.0,1.0872199535369873,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
4,4,3,5,20,20,0.1,1.0870683193206787,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
4,6,30,50,20,20,0.0,1.5240862369537354,-0.0195,265.2646,3.3737,VarianceParTree,wine.zip
4,6,30,50,20,20,0.1,1.6033635139465332,-0.0195,265.2646,3.3737,VarianceParTree,wine.zip
4,6,30,5,20,20,0.0,1.4980595111846924,-0.0195,265.2646,3.3737,VarianceParTree,wine.zip
4,6,30,5,20,20,0.1,1.4415762424468994,-0.0195,265.2646,3.3737,VarianceParTree,wine.zip
4,6,3,50,20,20,0.0,1.528289556503296,-0.0195,265.2646,3.3737,VarianceParTree,wine.zip
4,6,3,50,20,20,0.1,1.4451069831848145,-0.0195,265.2646,3.3737,VarianceParTree,wine.zip
4,6,3,5,1000,100,0.0,14.045370101928713,-0.0189,381.7063,2.9092,VarianceParTree,wine.zip
4,6,3,5,1000,100,0.1,13.860676288604736,-0.0189,381.7063,2.9092,VarianceParTree,wine.zip
4,6,3,5,1000,20,0.0,14.065698623657228,-0.0189,381.7063,2.9092,VarianceParTree,wine.zip
4,6,3,5,1000,20,0.1,13.929779767990112,-0.0189,381.7063,2.9092,VarianceParTree,wine.zip
4,6,3,5,20,20,0.0,1.5022637844085691,-0.0195,265.2646,3.3737,VarianceParTree,wine.zip
4,6,3,5,20,20,0.1,1.4788146018981934,-0.0195,265.2646,3.3737,VarianceParTree,wine.zip
4,8,30,50,20,20,0.0,1.8546302318573,-0.0288,243.0031,2.6558,VarianceParTree,wine.zip
4,8,30,50,20,20,0.1,1.827908992767334,-0.0288,243.0031,2.6558,VarianceParTree,wine.zip
4,8,30,5,20,20,0.0,2.1528918743133545,-0.0288,243.0031,2.6558,VarianceParTree,wine.zip
4,8,30,5,20,20,0.1,1.8760807514190676,-0.0288,243.0031,2.6558,VarianceParTree,wine.zip
4,8,3,50,20,20,0.0,1.925889492034912,-0.0288,243.0031,2.6558,VarianceParTree,wine.zip
4,8,3,50,20,20,0.1,2.0012927055358887,-0.0288,243.0031,2.6558,VarianceParTree,wine.zip
4,8,3,5,1000,100,0.0,18.16695499420166,-0.0158,345.4586,2.9656,VarianceParTree,wine.zip
4,8,3,5,1000,100,0.1,18.05963706970215,-0.0158,345.4586,2.9656,VarianceParTree,wine.zip
4,8,3,5,1000,20,0.0,18.35394787788391,-0.0209,326.7898,3.0314,VarianceParTree,wine.zip
4,8,3,5,1000,20,0.1,18.081202030181885,-0.0209,326.7898,3.0314,VarianceParTree,wine.zip
4,8,3,5,20,20,0.0,1.934399127960205,-0.0288,243.0031,2.6558,VarianceParTree,wine.zip
4,8,3,5,20,20,0.1,1.8569636344909668,-0.0288,243.0031,2.6558,VarianceParTree,wine.zip
6,10,30,50,20,20,0.0,2.467592477798462,-0.0558,224.4525,3.3681,VarianceParTree,wine.zip
6,10,30,50,20,20,0.1,2.341254711151123,-0.0558,224.4525,3.3681,VarianceParTree,wine.zip
6,10,30,5,20,20,0.0,2.443255662918091,-0.0558,224.4525,3.3681,VarianceParTree,wine.zip
6,10,30,5,20,20,0.1,2.4368104934692383,-0.0558,224.4525,3.3681,VarianceParTree,wine.zip
6,10,3,50,20,20,0.0,2.385653257369995,-0.0558,224.4525,3.3681,VarianceParTree,wine.zip
6,10,3,50,20,20,0.1,2.4280335903167725,-0.0558,224.4525,3.3681,VarianceParTree,wine.zip
6,10,3,5,1000,100,0.0,22.333128213882446,0.0002,337.8562,2.8083,VarianceParTree,wine.zip
6,10,3,5,1000,100,0.1,22.350935220718384,0.0002,337.8562,2.8083,VarianceParTree,wine.zip
6,10,3,5,1000,20,0.0,22.402390718460083,-0.0284,285.5123,2.8856,VarianceParTree,wine.zip
6,10,3,5,1000,20,0.1,22.169891119003296,-0.0284,285.5123,2.8856,VarianceParTree,wine.zip
6,10,3,5,20,20,0.0,2.4612247943878174,-0.0558,224.4525,3.3681,VarianceParTree,wine.zip
6,10,3,5,20,20,0.1,2.329813241958618,-0.0558,224.4525,3.3681,VarianceParTree,wine.zip
6,12,30,50,20,20,0.0,2.8705074787139893,-0.05,219.3912,2.8028,VarianceParTree,wine.zip
