max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,3,50,20,20,0.1,42,me,r2,0.07781982421875,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,10,3,5,20,20,0.0,42,gini,mape,0.0787796974182128,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,10,3,5,20,20,0.0,42,gini,r2,0.0937235355377197,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,10,3,5,20,20,0.0,42,me,mape,0.0937371253967285,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,10,3,5,20,20,0.0,42,me,r2,0.0816793441772461,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,10,3,5,20,20,0.1,42,gini,mape,0.0991663932800293,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,10,3,5,20,20,0.1,42,gini,r2,0.0861544609069824,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,10,3,5,20,20,0.1,42,me,mape,0.0885710716247558,-0.2196,3.1582,4.7146,0.4609,0.0255,0.0883,0.0758,0.0993,0.0804,0.13,0.0993,0.4794,ImpurityParTree2,iris_y.zip
2,10,3,5,20,20,0.1,42,me,r2,0.1001651287078857,-0.2196,3.1582,4.7146,0.4609,0.0255,0.0883,0.0758,0.0993,0.0804,0.13,0.0993,0.4794,ImpurityParTree2,iris_y.zip
2,12,30,50,20,20,0.0,42,gini,mape,0.0860912799835205,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,12,30,50,20,20,0.0,42,gini,r2,0.0565578937530517,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,12,30,50,20,20,0.0,42,me,mape,0.0676853656768798,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,30,50,20,20,0.0,42,me,r2,0.0763332843780517,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,30,50,20,20,0.1,42,gini,mape,0.0753266811370849,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,12,30,50,20,20,0.1,42,gini,r2,0.07594895362854,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,12,30,50,20,20,0.1,42,me,mape,0.0670835971832275,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,30,50,20,20,0.1,42,me,r2,0.0824513435363769,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,30,5,20,20,0.0,42,gini,mape,0.0787415504455566,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,12,30,5,20,20,0.0,42,gini,r2,0.0769095420837402,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,12,30,5,20,20,0.0,42,me,mape,0.0912187099456787,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,30,5,20,20,0.0,42,me,r2,0.1178116798400878,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,30,5,20,20,0.1,42,gini,mape,0.080357551574707,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,12,30,5,20,20,0.1,42,gini,r2,0.0870614051818847,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,12,30,5,20,20,0.1,42,me,mape,0.0902345180511474,-0.2196,3.1582,4.7146,0.4609,0.0255,0.0883,0.0758,0.0993,0.0804,0.13,0.0993,0.4794,ImpurityParTree2,iris_y.zip
2,12,30,5,20,20,0.1,42,me,r2,0.0872142314910888,-0.2196,3.1582,4.7146,0.4609,0.0255,0.0883,0.0758,0.0993,0.0804,0.13,0.0993,0.4794,ImpurityParTree2,iris_y.zip
2,12,3,50,20,20,0.0,42,gini,mape,0.0733330249786377,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,12,3,50,20,20,0.0,42,gini,r2,0.0621266365051269,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,12,3,50,20,20,0.0,42,me,mape,0.0717716217041015,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,3,50,20,20,0.0,42,me,r2,0.0692691802978515,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,3,50,20,20,0.1,42,gini,mape,0.0728092193603515,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,12,3,50,20,20,0.1,42,gini,r2,0.0674817562103271,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,12,3,50,20,20,0.1,42,me,mape,0.0741784572601318,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,3,50,20,20,0.1,42,me,r2,0.0660455226898193,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,3,5,20,20,0.0,42,gini,mape,0.1005761623382568,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,12,3,5,20,20,0.0,42,gini,r2,0.0908799171447753,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,12,3,5,20,20,0.0,42,me,mape,0.0866434574127197,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,3,5,20,20,0.0,42,me,r2,0.1323435306549072,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,12,3,5,20,20,0.1,42,gini,mape,0.0790727138519287,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,12,3,5,20,20,0.1,42,gini,r2,0.1164915561676025,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,12,3,5,20,20,0.1,42,me,mape,0.0904643535614013,-0.2196,3.1582,4.7146,0.4609,0.0255,0.0883,0.0758,0.0993,0.0804,0.13,0.0993,0.4794,ImpurityParTree2,iris_y.zip
2,12,3,5,20,20,0.1,42,me,r2,0.0821065902709961,-0.2196,3.1582,4.7146,0.4609,0.0255,0.0883,0.0758,0.0993,0.0804,0.13,0.0993,0.4794,ImpurityParTree2,iris_y.zip
