n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,k-means++,11,100,0.0001,False,42,True,lloyd,0.0904970169067382,0.4318,1293.0309,0.7387,0.707,0.3302,0.9236,0.5881,0.5915,0.9666,0.4261,0.5915,0.544,skl_kmeans,2d-3c-no123_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,0.0768814086914062,0.4318,1293.0309,0.7387,0.707,0.3302,0.9236,0.5881,0.5915,0.9666,0.4261,0.5915,0.544,skl_kmeans,2d-3c-no123_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,0.0952444076538086,0.4318,1293.0309,0.7387,0.707,0.3302,0.9236,0.5881,0.5915,0.9666,0.4261,0.5915,0.544,skl_kmeans,2d-3c-no123_y.zip-10_k
