amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
12,14,0.0119123458862304,0.4962,39954.1752,0.7131,0.7737,0.3625,1.235,0.6655,0.6684,1.0,0.5019,0.6684,0.5433,inf,20.0,pyc_xmeans,2d-4c_y.zip
12,18,0.0147075653076171,0.4257,36285.8568,0.7422,0.7403,0.2431,1.235,0.6043,0.6083,1.0,0.4371,0.6083,0.4374,,,pyc_xmeans,2d-4c_y.zip
12,18,0.0194125175476074,0.4457,40309.6438,0.7037,0.7459,0.2637,1.235,0.6107,0.6147,1.0,0.4438,0.6147,0.4569,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
12,18,0.0142626762390136,0.433,34380.0691,0.6925,0.742,0.2493,1.235,0.6073,0.6114,1.0,0.4403,0.6114,0.4434,100.0,20.0,pyc_xmeans,2d-4c_y.zip
12,18,0.0747010707855224,0.4281,40664.5929,0.7291,0.7423,0.2503,1.235,0.6066,0.6107,1.0,0.4395,0.6107,0.4442,inf,20.0,pyc_xmeans,2d-4c_y.zip
12,2,0.0090186595916748,0.4508,35287.0726,0.8192,0.7977,0.4437,1.235,0.6959,0.6981,1.0,0.5363,0.6981,0.6083,,,pyc_xmeans,2d-4c_y.zip
12,22,0.0144219398498535,0.4431,32288.8143,0.6857,0.7316,0.2107,1.235,0.5786,0.5838,1.0,0.4122,0.5838,0.4053,,,pyc_xmeans,2d-4c_y.zip
12,22,0.0164096355438232,0.4107,33852.6295,0.7346,0.7293,0.202,1.235,0.5744,0.5795,1.0,0.408,0.5795,0.3964,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
12,22,0.0189111232757568,0.4282,34983.83,0.7091,0.7328,0.2149,1.235,0.5809,0.5861,1.0,0.4145,0.5861,0.4096,100.0,20.0,pyc_xmeans,2d-4c_y.zip
12,22,0.0142607688903808,0.4252,26610.0217,0.6824,0.7373,0.2319,1.235,0.5867,0.5919,1.0,0.4204,0.5919,0.4265,inf,20.0,pyc_xmeans,2d-4c_y.zip
