amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,0.0976994037628173,0.4963,6504.8849,0.667,0.9466,0.665,2.0755,0.8339,0.8347,0.7667,0.916,0.8347,0.7122,pyc_xmeans,s-set2_y.zip
10,14,0.0395143032073974,0.5898,9936.394,0.5104,0.985,0.8862,2.4989,0.9384,0.9388,0.9231,0.955,0.9388,0.8959,pyc_xmeans,s-set2_y.zip
10,18,0.0443537235260009,0.5799,11926.9732,0.6784,0.9913,0.9277,2.6203,0.9483,0.9488,0.9679,0.9303,0.9488,0.933,pyc_xmeans,s-set2_y.zip
10,2,0.0334010124206543,0.4983,6621.452,0.6337,0.9409,0.6415,2.0664,0.8348,0.8356,0.7633,0.9231,0.8356,0.6956,pyc_xmeans,s-set2_y.zip
10,22,0.1106548309326171,0.596,12513.3802,0.6114,0.9919,0.9335,2.6101,0.9507,0.9511,0.9642,0.9384,0.9511,0.9381,pyc_xmeans,s-set2_y.zip
10,6,0.0326077938079834,0.4643,6083.202,0.7599,0.9419,0.6383,2.0386,0.8202,0.8211,0.7531,0.9026,0.8211,0.6881,pyc_xmeans,s-set2_y.zip
12,10,0.0319733619689941,0.5426,8018.6078,0.5926,0.9665,0.7678,2.2981,0.8908,0.8914,0.8489,0.9384,0.8914,0.7942,pyc_xmeans,s-set2_y.zip
12,14,0.1042318344116211,0.59,9933.2178,0.5103,0.9848,0.8842,2.4934,0.9362,0.9367,0.9211,0.9528,0.9367,0.894,pyc_xmeans,s-set2_y.zip
12,18,0.0470671653747558,0.578,12036.1059,0.6935,0.9904,0.9196,2.614,0.9448,0.9453,0.9656,0.9259,0.9453,0.9255,pyc_xmeans,s-set2_y.zip
12,2,0.0334751605987548,0.5422,8110.7731,0.607,0.9657,0.7612,2.2772,0.8818,0.8825,0.8412,0.9282,0.8825,0.7874,pyc_xmeans,s-set2_y.zip
12,22,0.0448460578918457,0.5849,11923.4476,0.6367,0.9915,0.9299,2.61,0.9463,0.9468,0.9642,0.93,0.9468,0.9349,pyc_xmeans,s-set2_y.zip
12,6,0.0322480201721191,0.5473,8295.4259,0.6024,0.9678,0.7748,2.2989,0.8896,0.8903,0.8492,0.9355,0.8903,0.7996,pyc_xmeans,s-set2_y.zip
15,15,0.03692626953125,0.5216,7943.7165,0.7367,0.9721,0.7912,2.3935,0.8969,0.8977,0.8842,0.9117,0.8977,0.8084,pyc_xmeans,s-set2_y.zip
2,10,0.0469510555267334,0.4609,5291.0447,0.6523,0.9323,0.6043,2.0091,0.8161,0.817,0.7422,0.9087,0.817,0.6665,pyc_xmeans,s-set2_y.zip
2,14,0.0571436882019043,0.5986,11193.0977,0.4967,0.9862,0.8947,2.515,0.9434,0.9438,0.9291,0.959,0.9438,0.9034,pyc_xmeans,s-set2_y.zip
2,18,0.1117165088653564,0.5923,12506.7133,0.6011,0.9916,0.9303,2.6067,0.9487,0.9491,0.9629,0.9357,0.9491,0.9352,pyc_xmeans,s-set2_y.zip
2,2,0.0928809642791748,0.3507,2981.6593,1.1732,0.5524,0.1161,0.6006,0.3535,0.3541,0.2219,0.8761,0.3541,0.3438,pyc_xmeans,s-set2_y.zip
2,22,0.0728919506072998,0.5126,10524.4917,0.8281,0.9852,0.8703,2.6211,0.9233,0.9241,0.9683,0.8838,0.9241,0.8821,pyc_xmeans,s-set2_y.zip
2,6,0.0386078357696533,0.4319,5206.1532,0.8334,0.8856,0.4722,1.6553,0.7383,0.7391,0.6115,0.9342,0.7391,0.5837,pyc_xmeans,s-set2_y.zip
4,10,0.0504543781280517,0.5068,6883.9806,0.6872,0.948,0.6742,2.0942,0.8417,0.8425,0.7736,0.9249,0.8425,0.7211,pyc_xmeans,s-set2_y.zip
4,14,0.0343875885009765,0.4504,5541.4438,0.7777,0.8065,0.3228,1.2712,0.6212,0.622,0.4696,0.9211,0.622,0.4851,pyc_xmeans,s-set2_y.zip
4,18,0.0607941150665283,0.5815,11967.4391,0.6433,0.9907,0.923,2.6108,0.9454,0.9458,0.9644,0.928,0.9458,0.9286,pyc_xmeans,s-set2_y.zip
4,2,0.0319800376892089,0.4507,5541.0023,0.7782,0.8068,0.3238,1.2748,0.623,0.6238,0.4709,0.9237,0.6238,0.4863,pyc_xmeans,s-set2_y.zip
4,22,0.1098062992095947,0.5929,12399.1922,0.576,0.9918,0.9329,2.5993,0.9475,0.948,0.9602,0.9361,0.948,0.9375,pyc_xmeans,s-set2_y.zip
4,6,0.0967521667480468,0.4186,5248.9801,0.8692,0.8809,0.4508,1.611,0.7184,0.7193,0.5951,0.909,0.7193,0.5623,pyc_xmeans,s-set2_y.zip
6,10,0.0392661094665527,0.5009,6775.0465,0.6888,0.9469,0.6649,2.0785,0.8342,0.8351,0.7678,0.9153,0.8351,0.7111,pyc_xmeans,s-set2_y.zip
6,14,0.1037557125091552,0.5939,10623.7976,0.5321,0.9841,0.8777,2.4774,0.9286,0.9291,0.9152,0.9435,0.9291,0.8872,pyc_xmeans,s-set2_y.zip
6,18,0.0591301918029785,0.5811,11966.3733,0.642,0.9907,0.9231,2.6112,0.9455,0.946,0.9646,0.9281,0.946,0.9286,pyc_xmeans,s-set2_y.zip
6,2,0.0313844680786132,0.4568,5295.1242,0.8349,0.8855,0.4695,1.638,0.73,0.7309,0.6051,0.9228,0.7309,0.5801,pyc_xmeans,s-set2_y.zip
6,22,0.071648359298706,0.5282,10400.424,0.7552,0.9859,0.8775,2.6222,0.9258,0.9266,0.9686,0.8881,0.9266,0.8881,pyc_xmeans,s-set2_y.zip
6,6,0.0356867313385009,0.4326,5399.471,0.8699,0.8869,0.4721,1.6481,0.7338,0.7346,0.6088,0.9259,0.7346,0.5814,pyc_xmeans,s-set2_y.zip
8,10,0.043119192123413,0.477,6387.3557,0.6464,0.9405,0.6363,2.0551,0.8288,0.8297,0.7592,0.9146,0.8297,0.6893,pyc_xmeans,s-set2_y.zip
8,14,0.0387060642242431,0.5362,8360.1792,0.6379,0.9742,0.8103,2.3974,0.907,0.9076,0.8856,0.9308,0.9076,0.8276,pyc_xmeans,s-set2_y.zip
8,18,0.1150002479553222,0.5942,12521.0795,0.6256,0.9918,0.932,2.6116,0.9506,0.951,0.9647,0.9376,0.951,0.9367,pyc_xmeans,s-set2_y.zip
8,2,0.0880370140075683,0.4376,5495.323,0.7852,0.9178,0.5446,1.8204,0.764,0.7649,0.6725,0.8869,0.7649,0.619,pyc_xmeans,s-set2_y.zip
8,22,0.0431747436523437,0.6118,12889.9179,0.5154,0.9932,0.9449,2.6041,0.9554,0.9557,0.9619,0.9496,0.9557,0.9485,pyc_xmeans,s-set2_y.zip
8,6,0.0319643020629882,0.4613,5653.3364,0.7268,0.9132,0.5419,1.8555,0.7859,0.7868,0.6854,0.9234,0.7868,0.6255,pyc_xmeans,s-set2_y.zip
