eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.1,5,correlation,auto,4,0.010962963104248,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,,,skl_DBSCAN,zelnik5_y.zip
0.1,5,correlation,auto,4,0.008427619934082,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,5,correlation,auto,4,0.0078768730163574,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,5,correlation,auto,4,0.007866621017456,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,5,cosine,auto,4,0.0127391815185546,0.4036,327.2402,1.0861,0.7501,0.5007,0.6912,0.666,0.667,0.5004,1.0,0.667,0.7079,,,skl_DBSCAN,zelnik5_y.zip
0.1,5,cosine,auto,4,0.0076150894165039,0.4036,327.2402,1.0861,0.7501,0.5007,0.6912,0.666,0.667,0.5004,1.0,0.667,0.7079,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,5,cosine,auto,4,0.0076551437377929,0.4036,327.2402,1.0861,0.7501,0.5007,0.6912,0.666,0.667,0.5004,1.0,0.667,0.7079,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,5,cosine,auto,4,0.007291555404663,0.4036,327.2402,1.0861,0.7501,0.5007,0.6912,0.666,0.667,0.5004,1.0,0.667,0.7079,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,5,euclidean,auto,4,0.006427526473999,0.3644,167.3463,1.3065,0.8899,0.6594,1.3355,0.7182,0.7268,0.9668,0.5823,0.7268,0.7495,,,skl_DBSCAN,zelnik5_y.zip
0.1,5,euclidean,auto,4,0.0038166046142578,0.3644,167.3463,1.3065,0.8899,0.6594,1.3355,0.7182,0.7268,0.9668,0.5823,0.7268,0.7495,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,5,euclidean,auto,4,0.0037934780120849,0.3644,167.3463,1.3065,0.8899,0.6594,1.3355,0.7182,0.7268,0.9668,0.5823,0.7268,0.7495,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,5,euclidean,auto,4,0.0041878223419189,0.3644,167.3463,1.3065,0.8899,0.6594,1.3355,0.7182,0.7268,0.9668,0.5823,0.7268,0.7495,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,10,correlation,auto,4,0.0078213214874267,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,,,skl_DBSCAN,zelnik5_y.zip
0.25,10,correlation,auto,4,0.0122065544128417,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,10,correlation,auto,4,0.0115926265716552,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,10,correlation,auto,4,0.0074267387390136,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,10,cosine,auto,4,0.007258653640747,0.0,0.0,0.0,0.2511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5011,,,skl_DBSCAN,zelnik5_y.zip
0.25,10,cosine,auto,4,0.0073409080505371,0.0,0.0,0.0,0.2511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5011,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,10,cosine,auto,4,0.0073232650756835,0.0,0.0,0.0,0.2511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5011,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,10,cosine,auto,4,0.0073552131652832,0.0,0.0,0.0,0.2511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5011,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,10,euclidean,auto,4,0.0077772140502929,0.345,177.4906,1.5373,1.0,1.0,1.3814,1.0,1.0,1.0,1.0,1.0,1.0,,,skl_DBSCAN,zelnik5_y.zip
0.25,10,euclidean,auto,4,0.0042958259582519,0.345,177.4906,1.5373,1.0,1.0,1.3814,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,10,euclidean,auto,4,0.0040616989135742,0.345,177.4906,1.5373,1.0,1.0,1.3814,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,10,euclidean,auto,4,0.0072276592254638,0.345,177.4906,1.5373,1.0,1.0,1.3814,1.0,1.0,1.0,1.0,1.0,1.0,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,2,correlation,auto,4,0.0143942832946777,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,,,skl_DBSCAN,zelnik5_y.zip
0.25,2,correlation,auto,4,0.0078601837158203,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,2,correlation,auto,4,0.0078613758087158,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,2,correlation,auto,4,0.0073416233062744,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,2,cosine,auto,4,0.0110478401184082,0.0,0.0,0.0,0.2511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5011,,,skl_DBSCAN,zelnik5_y.zip
0.25,2,cosine,auto,4,0.0074670314788818,0.0,0.0,0.0,0.2511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5011,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,2,cosine,auto,4,0.0076680183410644,0.0,0.0,0.0,0.2511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5011,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,2,cosine,auto,4,0.0077245235443115,0.0,0.0,0.0,0.2511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5011,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,2,euclidean,auto,4,0.0077955722808837,0.345,177.4906,1.5373,1.0,1.0,1.3814,1.0,1.0,1.0,1.0,1.0,1.0,,,skl_DBSCAN,zelnik5_y.zip
0.25,2,euclidean,auto,4,0.0041284561157226,0.345,177.4906,1.5373,1.0,1.0,1.3814,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,2,euclidean,auto,4,0.0042648315429687,0.345,177.4906,1.5373,1.0,1.0,1.3814,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.25,2,euclidean,auto,4,0.0043737888336181,0.345,177.4906,1.5373,1.0,1.0,1.3814,1.0,1.0,1.0,1.0,1.0,1.0,inf,20.0,skl_DBSCAN,zelnik5_y.zip
