n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,euclidean,single,1000.0,20,0.1385238170623779,0.1098,3.5151,0.6014,0.7521,0.012,0.0027,0.0072,0.0123,0.0066,0.1011,0.0123,0.8664,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,single,100.0,20,0.1383001804351806,0.1098,3.5151,0.6014,0.7521,0.012,0.0027,0.0072,0.0123,0.0066,0.1011,0.0123,0.8664,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,single,inf,20,0.1382408142089843,0.1098,3.5151,0.6014,0.7521,0.012,0.0027,0.0072,0.0123,0.0066,0.1011,0.0123,0.8664,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,ward,1000.0,20,0.2422852516174316,0.0239,105.5584,2.7963,0.3065,0.0009,0.0195,0.0138,0.0148,0.0472,0.0088,0.0148,0.2951,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,ward,100.0,20,0.2430257797241211,0.0239,105.5584,2.7963,0.3065,0.0009,0.0195,0.0138,0.0148,0.0472,0.0088,0.0148,0.2951,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,ward,inf,20,0.2449700832366943,0.0239,105.5584,2.7963,0.3065,0.0009,0.0195,0.0138,0.0148,0.0472,0.0088,0.0148,0.2951,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,average,1000.0,20,0.2107303142547607,0.0229,95.9892,2.7928,0.3018,-0.0013,0.0219,0.0147,0.0159,0.0529,0.0094,0.0159,0.2843,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,average,100.0,20,0.2101330757141113,0.0229,95.9892,2.7928,0.3018,-0.0013,0.0219,0.0147,0.0159,0.0529,0.0094,0.0159,0.2843,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,average,inf,20,0.2098937034606933,0.0229,95.9892,2.7928,0.3018,-0.0013,0.0219,0.0147,0.0159,0.0529,0.0094,0.0159,0.2843,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,complete,1000.0,20,0.2015929222106933,-0.0124,65.1017,3.7315,0.2988,-0.0062,0.0135,0.0085,0.0097,0.0326,0.0057,0.0097,0.2795,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,complete,100.0,20,0.2014901638031005,-0.0124,65.1017,3.7315,0.2988,-0.0062,0.0135,0.0085,0.0097,0.0326,0.0057,0.0097,0.2795,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,complete,inf,20,0.2012460231781005,-0.0124,65.1017,3.7315,0.2988,-0.0062,0.0135,0.0085,0.0097,0.0326,0.0057,0.0097,0.2795,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,single,1000.0,20,0.096982717514038,-0.3024,0.9051,1.192,0.7491,0.0014,0.0016,0.001,0.0071,0.0038,0.0526,0.0071,0.8646,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,single,100.0,20,0.0986437797546386,-0.3024,0.9051,1.192,0.7491,0.0014,0.0016,0.001,0.0071,0.0038,0.0526,0.0071,0.8646,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,single,inf,20,0.0970675945281982,-0.3024,0.9051,1.192,0.7491,0.0014,0.0016,0.001,0.0071,0.0038,0.0526,0.0071,0.8646,skl_agglomerativeClust,churnONEHOT_y.zip
12,cosine,average,1000.0,20,0.2088692188262939,-0.0058,88.9962,2.6184,0.3146,0.0051,0.0151,0.0101,0.0114,0.0364,0.0067,0.0114,0.3127,skl_agglomerativeClust,churnONEHOT_y.zip
12,cosine,average,100.0,20,0.2091901302337646,-0.0058,88.9962,2.6184,0.3146,0.0051,0.0151,0.0101,0.0114,0.0364,0.0067,0.0114,0.3127,skl_agglomerativeClust,churnONEHOT_y.zip
12,cosine,average,inf,20,0.2065186500549316,-0.0058,88.9962,2.6184,0.3146,0.0051,0.0151,0.0101,0.0114,0.0364,0.0067,0.0114,0.3127,skl_agglomerativeClust,churnONEHOT_y.zip
12,cosine,complete,1000.0,20,0.2002627849578857,-0.0044,79.0079,3.4782,0.2959,0.002,0.0116,0.007,0.0082,0.0281,0.0048,0.0082,0.2663,skl_agglomerativeClust,churnONEHOT_y.zip
12,cosine,complete,100.0,20,0.1999704837799072,-0.0044,79.0079,3.4782,0.2959,0.002,0.0116,0.007,0.0082,0.0281,0.0048,0.0082,0.2663,skl_agglomerativeClust,churnONEHOT_y.zip
12,cosine,complete,inf,20,0.2016077041625976,-0.0044,79.0079,3.4782,0.2959,0.002,0.0116,0.007,0.0082,0.0281,0.0048,0.0082,0.2663,skl_agglomerativeClust,churnONEHOT_y.zip
12,cosine,single,1000.0,20,0.0966906547546386,-0.2319,1.3162,0.9708,0.75,0.0048,0.0021,0.0034,0.0095,0.0051,0.0703,0.0095,0.8651,skl_agglomerativeClust,churnONEHOT_y.zip
12,cosine,single,100.0,20,0.0965943336486816,-0.2319,1.3162,0.9708,0.75,0.0048,0.0021,0.0034,0.0095,0.0051,0.0703,0.0095,0.8651,skl_agglomerativeClust,churnONEHOT_y.zip
12,cosine,single,inf,20,0.0965697765350341,-0.2319,1.3162,0.9708,0.75,0.0048,0.0021,0.0034,0.0095,0.0051,0.0703,0.0095,0.8651,skl_agglomerativeClust,churnONEHOT_y.zip
12,euclidean,average,1000.0,20,0.2555463314056396,0.0619,7.4067,1.2106,0.7436,0.0226,0.0038,0.0083,0.0147,0.0092,0.0366,0.0147,0.8582,skl_agglomerativeClust,churnONEHOT_y.zip
12,euclidean,average,100.0,20,0.25386643409729,0.0619,7.4067,1.2106,0.7436,0.0226,0.0038,0.0083,0.0147,0.0092,0.0366,0.0147,0.8582,skl_agglomerativeClust,churnONEHOT_y.zip
12,euclidean,average,inf,20,0.2533216476440429,0.0619,7.4067,1.2106,0.7436,0.0226,0.0038,0.0083,0.0147,0.0092,0.0366,0.0147,0.8582,skl_agglomerativeClust,churnONEHOT_y.zip
12,euclidean,complete,1000.0,20,0.2396342754364013,-0.0013,61.1152,3.1442,0.3236,0.0104,0.0261,0.0195,0.0208,0.0631,0.0124,0.0208,0.3309,skl_agglomerativeClust,churnONEHOT_y.zip
12,euclidean,complete,100.0,20,0.237938642501831,-0.0013,61.1152,3.1442,0.3236,0.0104,0.0261,0.0195,0.0208,0.0631,0.0124,0.0208,0.3309,skl_agglomerativeClust,churnONEHOT_y.zip
12,euclidean,complete,inf,20,0.2355449199676513,-0.0013,61.1152,3.1442,0.3236,0.0104,0.0261,0.0195,0.0208,0.0631,0.0124,0.0208,0.3309,skl_agglomerativeClust,churnONEHOT_y.zip
