min_samples,max_eps,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,inf,correlation,auto,4,1000.0,100,2.1432180404663086,-0.3375,20.7913,3.7049,0.4837,-0.0303,0.0726,0.0613,0.0691,0.109,0.0506,0.0691,0.4872,skl_OPTICS,titanic_y.zip
10,inf,correlation,auto,4,1000.0,20,2.1487669944763184,-0.3375,20.7913,3.7049,0.4837,-0.0303,0.0726,0.0613,0.0691,0.109,0.0506,0.0691,0.4872,skl_OPTICS,titanic_y.zip
10,inf,correlation,auto,4,100.0,100,2.252687931060791,-0.3364,24.5467,3.688,0.4816,-0.0353,0.0686,0.059,0.0665,0.1031,0.0491,0.0665,0.4882,skl_OPTICS,titanic_y.zip
10,inf,correlation,auto,4,100.0,20,2.1831886768341064,-0.3375,20.7913,3.7049,0.4837,-0.0303,0.0726,0.0613,0.0691,0.109,0.0506,0.0691,0.4872,skl_OPTICS,titanic_y.zip
10,inf,correlation,auto,4,20.0,20,2.395353317260742,-0.3625,27.4449,3.7824,0.4833,-0.0324,0.0634,0.0574,0.0634,0.0952,0.0475,0.0634,0.4919,skl_OPTICS,titanic_y.zip
10,inf,correlation,auto,4,inf,100,2.200443983078003,-0.3375,20.7913,3.7049,0.4837,-0.0303,0.0726,0.0613,0.0691,0.109,0.0506,0.0691,0.4872,skl_OPTICS,titanic_y.zip
10,inf,correlation,auto,4,inf,20,2.272085428237915,-0.3375,20.7913,3.7049,0.4837,-0.0303,0.0726,0.0613,0.0691,0.109,0.0506,0.0691,0.4872,skl_OPTICS,titanic_y.zip
10,inf,cosine,auto,4,1000.0,100,5.253047943115234,-0.3621,19.1356,3.7454,0.4806,-0.0391,0.0738,0.0662,0.0732,0.1109,0.0546,0.0732,0.4951,skl_OPTICS,titanic_y.zip
10,inf,cosine,auto,4,1000.0,20,4.941034317016602,-0.3621,19.1356,3.7454,0.4806,-0.0391,0.0738,0.0662,0.0732,0.1109,0.0546,0.0732,0.4951,skl_OPTICS,titanic_y.zip
10,inf,cosine,auto,4,100.0,100,5.221214056015015,-0.3555,19.1739,3.3356,0.4813,-0.0384,0.0689,0.0619,0.069,0.1035,0.0518,0.069,0.4996,skl_OPTICS,titanic_y.zip
10,inf,cosine,auto,4,100.0,20,4.682616472244263,-0.3621,19.1356,3.7454,0.4806,-0.0391,0.0738,0.0662,0.0732,0.1109,0.0546,0.0732,0.4951,skl_OPTICS,titanic_y.zip
10,inf,cosine,auto,4,20.0,20,4.336693286895752,-0.3608,27.2332,3.8852,0.4893,-0.0215,0.0671,0.062,0.068,0.1008,0.0513,0.068,0.5035,skl_OPTICS,titanic_y.zip
10,inf,cosine,auto,4,inf,100,4.812757730484009,-0.3621,19.1356,3.7454,0.4806,-0.0391,0.0738,0.0662,0.0732,0.1109,0.0546,0.0732,0.4951,skl_OPTICS,titanic_y.zip
10,inf,cosine,auto,4,inf,20,5.233311414718628,-0.3621,19.1356,3.7454,0.4806,-0.0391,0.0738,0.0662,0.0732,0.1109,0.0546,0.0732,0.4951,skl_OPTICS,titanic_y.zip
10,inf,euclidean,auto,4,1000.0,100,1.4948148727416992,-0.4041,23.3411,2.2759,0.5065,0.0064,0.0564,0.0505,0.0594,0.0847,0.0457,0.0594,0.5473,skl_OPTICS,titanic_y.zip
10,inf,euclidean,auto,4,1000.0,20,1.5207865238189695,-0.4041,23.3411,2.2759,0.5065,0.0064,0.0564,0.0505,0.0594,0.0847,0.0457,0.0594,0.5473,skl_OPTICS,titanic_y.zip
10,inf,euclidean,auto,4,100.0,100,1.5113773345947266,-0.373,14.5904,2.576,0.4862,-0.0254,0.062,0.0519,0.0592,0.0932,0.0434,0.0592,0.4895,skl_OPTICS,titanic_y.zip
10,inf,euclidean,auto,4,100.0,20,1.4942944049835205,-0.4041,23.3411,2.2759,0.5065,0.0064,0.0564,0.0505,0.0594,0.0847,0.0457,0.0594,0.5473,skl_OPTICS,titanic_y.zip
10,inf,euclidean,auto,4,20.0,20,1.5584871768951416,-0.4048,4.3171,2.876,0.4921,-0.0144,0.0667,0.0559,0.0638,0.1002,0.0468,0.0638,0.4988,skl_OPTICS,titanic_y.zip
10,inf,euclidean,auto,4,inf,100,1.4932541847229004,-0.4041,23.3411,2.2759,0.5065,0.0064,0.0564,0.0505,0.0594,0.0847,0.0457,0.0594,0.5473,skl_OPTICS,titanic_y.zip
10,inf,euclidean,auto,4,inf,20,1.5080385208129885,-0.4041,23.3411,2.2759,0.5065,0.0064,0.0564,0.0505,0.0594,0.0847,0.0457,0.0594,0.5473,skl_OPTICS,titanic_y.zip
20,inf,correlation,auto,4,1000.0,100,2.301558017730713,-0.4758,77.9575,3.1292,0.5065,-0.0181,0.0293,0.0461,0.0498,0.044,0.0574,0.0498,0.6378,skl_OPTICS,titanic_y.zip
20,inf,correlation,auto,4,1000.0,20,2.159444570541382,-0.4758,77.9575,3.1292,0.5065,-0.0181,0.0293,0.0461,0.0498,0.044,0.0574,0.0498,0.6378,skl_OPTICS,titanic_y.zip
20,inf,correlation,auto,4,100.0,100,2.5618176460266118,-0.5003,1.1732,3.2368,0.5064,-0.028,0.0138,0.0267,0.029,0.0207,0.0483,0.029,0.6692,skl_OPTICS,titanic_y.zip
20,inf,correlation,auto,4,100.0,20,2.313189744949341,-0.4758,77.9575,3.1292,0.5065,-0.0181,0.0293,0.0461,0.0498,0.044,0.0574,0.0498,0.6378,skl_OPTICS,titanic_y.zip
20,inf,correlation,auto,4,20.0,20,2.3257055282592773,-0.469,1.3335,3.2383,0.496,-0.0406,0.0248,0.0409,0.0438,0.0373,0.0532,0.0438,0.6321,skl_OPTICS,titanic_y.zip
20,inf,correlation,auto,4,inf,100,2.27557110786438,-0.4758,77.9575,3.1292,0.5065,-0.0181,0.0293,0.0461,0.0498,0.044,0.0574,0.0498,0.6378,skl_OPTICS,titanic_y.zip
20,inf,correlation,auto,4,inf,20,2.3506922721862797,-0.4758,77.9575,3.1292,0.5065,-0.0181,0.0293,0.0461,0.0498,0.044,0.0574,0.0498,0.6378,skl_OPTICS,titanic_y.zip
20,inf,cosine,auto,4,1000.0,100,4.695598125457764,-0.4664,87.091,3.2615,0.5045,-0.0217,0.0256,0.0393,0.043,0.0384,0.049,0.043,0.634,skl_OPTICS,titanic_y.zip
20,inf,cosine,auto,4,1000.0,20,5.084912300109863,-0.4664,87.091,3.2615,0.5045,-0.0217,0.0256,0.0393,0.043,0.0384,0.049,0.043,0.634,skl_OPTICS,titanic_y.zip
20,inf,cosine,auto,4,100.0,100,3.955457210540772,-0.468,87.0793,3.2483,0.5055,-0.0198,0.0234,0.0358,0.0395,0.0351,0.0452,0.0395,0.6355,skl_OPTICS,titanic_y.zip
20,inf,cosine,auto,4,100.0,20,5.585192918777466,-0.4664,87.091,3.2615,0.5045,-0.0217,0.0256,0.0393,0.043,0.0384,0.049,0.043,0.634,skl_OPTICS,titanic_y.zip
