n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
12,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,100,1.3749823570251465,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,1.2955069541931152,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,100,1.3351154327392578,0.1441,1776.8369,1.8584,skl_kmeans,fico.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,20,1.309711456298828,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,20.0,20,1.4625847339630127,0.1421,1765.5057,1.869,skl_kmeans,fico.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,inf,100,1.176940679550171,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,1.353713035583496,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,100,1.2489173412322998,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,1.604825496673584,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,100,1.298144817352295,0.1441,1776.8369,1.8584,skl_kmeans,fico.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,20,1.421931505203247,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,20.0,20,1.2937922477722168,0.1421,1765.5057,1.869,skl_kmeans,fico.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,inf,100,1.4524500370025637,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,1.1920855045318604,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,100,1.453096628189087,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,1.4599618911743164,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,100,1.4252140522003174,0.1441,1776.8369,1.8584,skl_kmeans,fico.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,20,1.2168819904327393,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,20.0,20,1.480717658996582,0.1421,1765.5057,1.869,skl_kmeans,fico.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,inf,100,1.467176914215088,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,1.370693922042847,0.1448,1777.1645,1.864,skl_kmeans,fico.zip-12_k
