eps,min_samples,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
0.1,5,correlation,auto,4,100.0,100,0.8840019702911377,-0.2576,220.9781,1.6263,skl_DBSCAN,fico.zip
0.1,5,correlation,auto,4,100.0,20,0.9359254837036132,-0.2629,219.27,1.621,skl_DBSCAN,fico.zip
0.1,5,correlation,auto,4,20.0,20,0.8981637954711914,-0.2725,268.8595,1.8169,skl_DBSCAN,fico.zip
0.1,5,correlation,auto,4,inf,100,0.9389851093292236,-0.2629,219.27,1.621,skl_DBSCAN,fico.zip
0.1,5,correlation,auto,4,inf,20,0.926738739013672,-0.2629,219.27,1.621,skl_DBSCAN,fico.zip
0.1,5,cosine,auto,4,1000.0,100,1.0520367622375488,-0.2688,227.0075,1.6572,skl_DBSCAN,fico.zip
0.1,5,cosine,auto,4,1000.0,20,1.012279748916626,-0.2688,227.0075,1.6572,skl_DBSCAN,fico.zip
0.1,5,cosine,auto,4,100.0,100,1.0176100730895996,-0.2851,215.7855,1.7555,skl_DBSCAN,fico.zip
0.1,5,cosine,auto,4,100.0,20,1.0113897323608398,-0.2688,227.0075,1.6572,skl_DBSCAN,fico.zip
0.1,5,cosine,auto,4,20.0,20,0.9854280948638916,-0.275,211.8514,1.7804,skl_DBSCAN,fico.zip
0.1,5,cosine,auto,4,inf,100,1.039316177368164,-0.2688,227.0075,1.6572,skl_DBSCAN,fico.zip
0.1,5,cosine,auto,4,inf,20,1.0337817668914795,-0.2688,227.0075,1.6572,skl_DBSCAN,fico.zip
0.1,5,euclidean,auto,4,1000.0,100,0.1967523097991943,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,5,euclidean,auto,4,1000.0,20,0.089303970336914,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,5,euclidean,auto,4,100.0,100,0.1020529270172119,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,5,euclidean,auto,4,100.0,20,0.1000618934631347,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,5,euclidean,auto,4,20.0,20,0.0951321125030517,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,5,euclidean,auto,4,inf,100,0.0894360542297363,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,5,euclidean,auto,4,inf,20,0.1766541004180908,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,10,correlation,auto,4,1000.0,100,0.9596400260925292,-0.0367,3918.4585,5.6306,skl_DBSCAN,fico.zip
0.25,10,correlation,auto,4,1000.0,20,0.9361329078674316,-0.0367,3918.4585,5.6306,skl_DBSCAN,fico.zip
0.25,10,correlation,auto,4,100.0,100,0.9019930362701416,-0.0353,3919.7603,5.4993,skl_DBSCAN,fico.zip
0.25,10,correlation,auto,4,100.0,20,0.9585716724395752,-0.0367,3918.4585,5.6306,skl_DBSCAN,fico.zip
0.25,10,correlation,auto,4,20.0,20,0.904024600982666,-0.0155,3919.4971,5.3417,skl_DBSCAN,fico.zip
0.25,10,correlation,auto,4,inf,100,0.948383092880249,-0.0367,3918.4585,5.6306,skl_DBSCAN,fico.zip
0.25,10,correlation,auto,4,inf,20,0.9533030986785888,-0.0367,3918.4585,5.6306,skl_DBSCAN,fico.zip
0.25,10,cosine,auto,4,1000.0,100,1.0295863151550293,-0.043,3923.4517,3.986,skl_DBSCAN,fico.zip
0.25,10,cosine,auto,4,1000.0,20,1.0439317226409912,-0.043,3923.4517,3.986,skl_DBSCAN,fico.zip
0.25,10,cosine,auto,4,100.0,100,1.0133535861968994,-0.0425,3924.0902,4.0153,skl_DBSCAN,fico.zip
0.25,10,cosine,auto,4,100.0,20,1.0545470714569092,-0.043,3923.4517,3.986,skl_DBSCAN,fico.zip
0.25,10,cosine,auto,4,20.0,20,0.9915227890014648,-0.0123,3926.6584,3.8191,skl_DBSCAN,fico.zip
0.25,10,cosine,auto,4,inf,100,1.0580408573150637,-0.043,3923.4517,3.986,skl_DBSCAN,fico.zip
0.25,10,cosine,auto,4,inf,20,1.0288939476013184,-0.043,3923.4517,3.986,skl_DBSCAN,fico.zip
0.25,10,euclidean,auto,4,1000.0,100,0.0893211364746093,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,10,euclidean,auto,4,1000.0,20,0.1023440361022949,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,10,euclidean,auto,4,100.0,100,0.089292287826538,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,10,euclidean,auto,4,100.0,20,0.1029505729675293,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,10,euclidean,auto,4,20.0,20,0.0950710773468017,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,10,euclidean,auto,4,inf,100,0.092402696609497,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,10,euclidean,auto,4,inf,20,0.1988320350646972,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,2,correlation,auto,4,1000.0,100,0.8986625671386719,-0.187,1119.3164,3.3215,skl_DBSCAN,fico.zip
0.25,2,correlation,auto,4,1000.0,20,0.9436936378479004,-0.187,1119.3164,3.3215,skl_DBSCAN,fico.zip
0.25,2,correlation,auto,4,100.0,100,0.8974478244781494,-0.1726,1305.8305,3.4861,skl_DBSCAN,fico.zip
0.25,2,correlation,auto,4,100.0,20,0.9337725639343262,-0.187,1119.3164,3.3215,skl_DBSCAN,fico.zip
0.25,2,correlation,auto,4,20.0,20,0.9068684577941896,-0.0666,1567.1433,3.4574,skl_DBSCAN,fico.zip
0.25,2,correlation,auto,4,inf,100,0.9402925968170166,-0.187,1119.3164,3.3215,skl_DBSCAN,fico.zip
0.25,2,correlation,auto,4,inf,20,0.9384524822235109,-0.187,1119.3164,3.3215,skl_DBSCAN,fico.zip
0.25,2,cosine,auto,4,1000.0,100,1.039933443069458,-0.183,1119.5928,2.7469,skl_DBSCAN,fico.zip
0.25,2,cosine,auto,4,1000.0,20,1.027529239654541,-0.183,1119.5928,2.7469,skl_DBSCAN,fico.zip
0.25,2,cosine,auto,4,100.0,100,1.0048847198486328,-0.1771,1306.2298,2.7459,skl_DBSCAN,fico.zip
0.25,2,cosine,auto,4,100.0,20,1.0300166606903076,-0.183,1119.5928,2.7469,skl_DBSCAN,fico.zip
0.25,2,cosine,auto,4,20.0,20,0.9757330417633056,-0.1411,1306.8329,2.6653,skl_DBSCAN,fico.zip
0.25,2,cosine,auto,4,inf,100,1.0654394626617432,-0.183,1119.5928,2.7469,skl_DBSCAN,fico.zip
0.25,2,cosine,auto,4,inf,20,1.013911247253418,-0.183,1119.5928,2.7469,skl_DBSCAN,fico.zip
0.25,2,euclidean,auto,4,1000.0,100,0.0891532897949218,0.0983,2614.1255,0.5846,skl_DBSCAN,fico.zip
0.25,2,euclidean,auto,4,1000.0,20,0.1062819957733154,0.0983,2614.1255,0.5846,skl_DBSCAN,fico.zip
0.25,2,euclidean,auto,4,100.0,100,0.0894680023193359,0.0983,2614.1255,0.5846,skl_DBSCAN,fico.zip
0.25,2,euclidean,auto,4,100.0,20,0.198481798171997,0.0983,2614.1255,0.5846,skl_DBSCAN,fico.zip
0.25,2,euclidean,auto,4,20.0,20,0.09501314163208,0.0928,1965.7919,0.5886,skl_DBSCAN,fico.zip
0.25,2,euclidean,auto,4,inf,100,0.0890707969665527,0.0983,2614.1255,0.5846,skl_DBSCAN,fico.zip
0.25,2,euclidean,auto,4,inf,20,0.1680643558502197,0.0983,2614.1255,0.5846,skl_DBSCAN,fico.zip
0.25,5,correlation,auto,4,1000.0,100,0.9525721073150636,-0.0386,3915.3276,5.6499,skl_DBSCAN,fico.zip
0.25,5,correlation,auto,4,1000.0,20,0.9280729293823242,-0.0386,3915.3276,5.6499,skl_DBSCAN,fico.zip
0.25,5,correlation,auto,4,100.0,100,0.9049551486968994,-0.0405,3915.8216,5.5893,skl_DBSCAN,fico.zip
0.25,5,correlation,auto,4,100.0,20,0.934234857559204,-0.0386,3915.3276,5.6499,skl_DBSCAN,fico.zip
0.25,5,correlation,auto,4,20.0,20,0.9138524532318116,-0.0192,3915.7291,5.4454,skl_DBSCAN,fico.zip
0.25,5,correlation,auto,4,inf,100,0.9372339248657228,-0.0386,3915.3276,5.6499,skl_DBSCAN,fico.zip
0.25,5,correlation,auto,4,inf,20,0.9558501243591307,-0.0386,3915.3276,5.6499,skl_DBSCAN,fico.zip
0.25,5,cosine,auto,4,1000.0,100,1.036078929901123,-0.054,3918.5323,4.0592,skl_DBSCAN,fico.zip
0.25,5,cosine,auto,4,1000.0,20,1.0053129196166992,-0.054,3918.5323,4.0592,skl_DBSCAN,fico.zip
0.25,5,cosine,auto,4,100.0,100,1.0179743766784668,-0.0514,3918.8887,4.0668,skl_DBSCAN,fico.zip
