amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,2,100.0,20,0.0103700160980224,0.1669,91.5439,1.4909,0.6378,0.2998,0.4577,0.3824,0.387,0.6932,0.2684,0.387,0.5704,pyc_xmeans,wdbc_y.zip
10,2,20.0,20,0.0098519325256347,0.1468,94.4412,1.447,0.6211,0.2706,0.4634,0.3699,0.3743,0.7017,0.2552,0.3743,0.5397,pyc_xmeans,wdbc_y.zip
10,2,inf,100,0.0495407581329345,0.1428,97.8822,1.4483,0.5803,0.197,0.4823,0.3551,0.3592,0.7304,0.2382,0.3592,0.4624,pyc_xmeans,wdbc_y.zip
10,2,inf,20,0.0096492767333984,0.1581,92.4023,1.4291,0.6105,0.2512,0.4612,0.3658,0.3703,0.6984,0.2519,0.3703,0.521,pyc_xmeans,wdbc_y.zip
10,6,1000.0,100,0.0092012882232666,0.1667,87.8726,1.5681,0.6376,0.2998,0.4735,0.3912,0.3956,0.7171,0.2731,0.3956,0.5694,pyc_xmeans,wdbc_y.zip
10,6,1000.0,20,0.0084316730499267,0.1531,96.4818,1.5945,0.6088,0.2484,0.4788,0.3697,0.3738,0.7251,0.2518,0.3738,0.5171,pyc_xmeans,wdbc_y.zip
10,6,100.0,100,0.0086936950683593,0.122,95.2623,1.5416,0.5959,0.2252,0.4759,0.3614,0.3657,0.7207,0.245,0.3657,0.493,pyc_xmeans,wdbc_y.zip
10,6,100.0,20,0.0094838142395019,0.1453,95.2409,1.5934,0.6047,0.2409,0.4659,0.3565,0.3607,0.7056,0.2423,0.3607,0.51,pyc_xmeans,wdbc_y.zip
10,6,20.0,20,0.0115168094635009,0.1393,87.9876,1.5309,0.6163,0.2618,0.4718,0.3724,0.3767,0.7145,0.2558,0.3767,0.5309,pyc_xmeans,wdbc_y.zip
10,6,inf,100,0.0092031955718994,0.168,84.7923,1.6249,0.6548,0.3311,0.4768,0.4083,0.4127,0.7221,0.2889,0.4127,0.5976,pyc_xmeans,wdbc_y.zip
10,6,inf,20,0.0109546184539794,0.1484,85.9161,1.5432,0.606,0.2427,0.45,0.3547,0.3591,0.6815,0.2438,0.3591,0.5133,pyc_xmeans,wdbc_y.zip
12,10,1000.0,100,0.0089044570922851,0.1433,87.9948,1.4533,0.585,0.206,0.4873,0.3496,0.3547,0.738,0.2334,0.3547,0.4706,pyc_xmeans,wdbc_y.zip
12,10,1000.0,20,0.0111579895019531,0.1176,79.781,1.5436,0.5721,0.182,0.4743,0.3381,0.3431,0.7183,0.2254,0.3431,0.4454,pyc_xmeans,wdbc_y.zip
12,10,100.0,100,0.0105543136596679,0.1433,85.7466,1.5954,0.5859,0.2076,0.4959,0.3562,0.3611,0.7511,0.2377,0.3611,0.4723,pyc_xmeans,wdbc_y.zip
12,10,100.0,20,0.009514570236206,0.1592,81.6088,1.388,0.6092,0.249,0.4846,0.3739,0.3792,0.7339,0.2557,0.3792,0.5184,pyc_xmeans,wdbc_y.zip
12,10,20.0,20,0.0098650455474853,0.1215,86.0964,1.6529,0.562,0.1641,0.4817,0.3291,0.3338,0.7294,0.2164,0.3338,0.4231,pyc_xmeans,wdbc_y.zip
12,10,inf,100,0.0108289718627929,0.149,86.4771,1.5019,0.6023,0.2368,0.4971,0.3687,0.3737,0.7528,0.2486,0.3737,0.5047,pyc_xmeans,wdbc_y.zip
