amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
12,14,0.0057883262634277,0.234,216.1887,1.3296,0.8332,0.4249,1.367,0.702,0.7085,0.9861,0.5529,0.7085,0.5727,inf,20.0,pyc_xmeans,tetra_y.zip
12,18,0.0057318210601806,0.2404,220.0542,1.3271,0.8346,0.4291,1.3863,0.7116,0.718,1.0,0.56,0.718,0.5773,,,pyc_xmeans,tetra_y.zip
12,18,0.0084052085876464,0.2435,213.0852,1.2947,0.8391,0.4507,1.3676,0.7085,0.715,0.9865,0.5607,0.715,0.593,1000.0,20.0,pyc_xmeans,tetra_y.zip
12,18,0.0059072971343994,0.2518,218.3271,1.2663,0.8382,0.4467,1.3646,0.7056,0.7122,0.9843,0.5579,0.7122,0.59,100.0,20.0,pyc_xmeans,tetra_y.zip
12,18,0.0076334476470947,0.2429,213.383,1.3169,0.838,0.446,1.3592,0.703,0.7096,0.9804,0.556,0.7096,0.5893,inf,20.0,pyc_xmeans,tetra_y.zip
12,2,0.0034959316253662,0.2505,220.595,1.2573,0.8286,0.4111,1.2822,0.659,0.6665,0.9249,0.521,0.6665,0.5569,,,pyc_xmeans,tetra_y.zip
12,22,0.0313525199890136,0.2479,218.5223,1.2658,0.8368,0.4414,1.3465,0.6959,0.7027,0.9713,0.5505,0.7027,0.5849,,,pyc_xmeans,tetra_y.zip
12,22,0.010230541229248,0.2461,222.3525,1.302,0.8345,0.4287,1.3863,0.7116,0.7179,1.0,0.56,0.7179,0.577,1000.0,20.0,pyc_xmeans,tetra_y.zip
12,22,0.0057513713836669,0.2503,215.9307,1.3305,0.8389,0.4483,1.3863,0.7162,0.7225,1.0,0.5656,0.7225,0.5922,100.0,20.0,pyc_xmeans,tetra_y.zip
12,22,0.0069313049316406,0.2394,210.6744,1.2684,0.8368,0.4434,1.3351,0.692,0.6989,0.9631,0.5485,0.6989,0.5852,inf,20.0,pyc_xmeans,tetra_y.zip
12,2,0.0032145977020263,0.2432,214.9802,1.2936,0.8347,0.4347,1.3244,0.6841,0.6912,0.9554,0.5414,0.6912,0.5781,1000.0,20.0,pyc_xmeans,tetra_y.zip
12,2,0.0031790733337402,0.2556,223.2837,1.2239,0.832,0.424,1.2997,0.6697,0.677,0.9375,0.5298,0.677,0.5686,100.0,20.0,pyc_xmeans,tetra_y.zip
12,2,0.0032939910888671,0.2497,219.5639,1.2653,0.8361,0.438,1.3568,0.6999,0.7066,0.9787,0.5529,0.7066,0.5827,inf,20.0,pyc_xmeans,tetra_y.zip
12,6,0.0031778812408447,0.243,218.9137,1.2948,0.8306,0.4148,1.3488,0.6914,0.6982,0.9729,0.5444,0.6982,0.5632,,,pyc_xmeans,tetra_y.zip
12,6,0.0031189918518066,0.2387,209.3968,1.3107,0.8357,0.4388,1.3338,0.6904,0.6973,0.9621,0.5468,0.6973,0.5813,1000.0,20.0,pyc_xmeans,tetra_y.zip
12,6,0.0032992362976074,0.2912,202.1671,1.1455,0.8573,0.5298,1.3282,0.7022,0.709,0.9581,0.5627,0.709,0.6521,100.0,20.0,pyc_xmeans,tetra_y.zip
12,6,0.0043175220489501,0.2466,213.7419,1.2705,0.8395,0.4537,1.3416,0.6964,0.7032,0.9678,0.5522,0.7032,0.5944,inf,20.0,pyc_xmeans,tetra_y.zip
2,10,0.0049192905426025,0.5058,418.4532,0.664,1.0,1.0,1.3863,1.0,1.0,1.0,1.0,1.0,1.0,,,pyc_xmeans,tetra_y.zip
2,10,0.0032696723937988,0.2695,135.8506,1.2184,0.624,0.3271,0.5284,0.5383,0.5401,0.3812,0.9264,0.5401,0.6248,1000.0,20.0,pyc_xmeans,tetra_y.zip
2,10,0.0045528411865234,0.5058,418.4532,0.664,1.0,1.0,1.3863,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,pyc_xmeans,tetra_y.zip
2,10,0.003425121307373,0.2695,135.8506,1.2184,0.624,0.3271,0.5284,0.5383,0.5401,0.3812,0.9264,0.5401,0.6248,inf,20.0,pyc_xmeans,tetra_y.zip
2,14,0.0032861232757568,0.2749,136.1877,1.2151,0.624,0.3271,0.5284,0.5383,0.5401,0.3812,0.9264,0.5401,0.6248,,,pyc_xmeans,tetra_y.zip
2,14,0.0037150382995605,0.2786,135.7772,1.1715,0.6091,0.3098,0.5203,0.5345,0.5363,0.3753,0.9392,0.5363,0.6175,1000.0,20.0,pyc_xmeans,tetra_y.zip
2,14,0.003359317779541,0.2749,136.1877,1.2151,0.624,0.3271,0.5284,0.5383,0.5401,0.3812,0.9264,0.5401,0.6248,100.0,20.0,pyc_xmeans,tetra_y.zip
2,14,0.0047645568847656,0.2702,133.7227,1.2046,0.6191,0.3228,0.5343,0.5467,0.5484,0.3854,0.9502,0.5484,0.6242,inf,20.0,pyc_xmeans,tetra_y.zip
2,18,0.0048065185546875,0.2749,136.1877,1.2151,0.624,0.3271,0.5284,0.5383,0.5401,0.3812,0.9264,0.5401,0.6248,,,pyc_xmeans,tetra_y.zip
2,18,0.0062289237976074,0.2749,136.1877,1.2151,0.624,0.3271,0.5284,0.5383,0.5401,0.3812,0.9264,0.5401,0.6248,1000.0,20.0,pyc_xmeans,tetra_y.zip
2,18,0.0034666061401367,0.2786,135.7772,1.1715,0.6091,0.3098,0.5203,0.5345,0.5363,0.3753,0.9392,0.5363,0.6175,100.0,20.0,pyc_xmeans,tetra_y.zip
2,18,0.003450870513916,0.2786,135.7772,1.1715,0.6091,0.3098,0.5203,0.5345,0.5363,0.3753,0.9392,0.5363,0.6175,inf,20.0,pyc_xmeans,tetra_y.zip
2,2,0.0103290081024169,0.2718,135.8415,1.1818,0.6141,0.317,0.5323,0.5461,0.5479,0.3839,0.956,0.5479,0.6218,,,pyc_xmeans,tetra_y.zip
2,22,0.0039212703704833,0.2695,135.8506,1.2184,0.624,0.3271,0.5284,0.5383,0.5401,0.3812,0.9264,0.5401,0.6248,,,pyc_xmeans,tetra_y.zip
2,22,0.0033364295959472,0.2695,133.6957,1.2212,0.6241,0.3288,0.5433,0.5543,0.556,0.3919,0.9568,0.556,0.6268,1000.0,20.0,pyc_xmeans,tetra_y.zip
2,22,0.0072946548461914,0.5058,418.4532,0.664,1.0,1.0,1.3863,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,pyc_xmeans,tetra_y.zip
2,22,0.0032541751861572,0.2786,135.7772,1.1715,0.6091,0.3098,0.5203,0.5345,0.5363,0.3753,0.9392,0.5363,0.6175,inf,20.0,pyc_xmeans,tetra_y.zip
2,2,0.0038797855377197,0.2695,133.6957,1.2212,0.6241,0.3288,0.5433,0.5543,0.556,0.3919,0.9568,0.556,0.6268,1000.0,20.0,pyc_xmeans,tetra_y.zip
2,2,0.0033366680145263,0.2695,135.8506,1.2184,0.624,0.3271,0.5284,0.5383,0.5401,0.3812,0.9264,0.5401,0.6248,100.0,20.0,pyc_xmeans,tetra_y.zip
2,2,0.0036816596984863,0.2735,137.5453,1.6229,0.7108,0.421,0.5268,0.505,0.5068,0.38,0.7603,0.5068,0.6507,inf,20.0,pyc_xmeans,tetra_y.zip
2,6,0.0089063644409179,0.5058,418.4532,0.664,1.0,1.0,1.3863,1.0,1.0,1.0,1.0,1.0,1.0,,,pyc_xmeans,tetra_y.zip
2,6,0.004396915435791,0.5058,418.4532,0.664,1.0,1.0,1.3863,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,20.0,pyc_xmeans,tetra_y.zip
2,6,0.0048072338104248,0.2705,135.8245,1.2014,0.6241,0.3302,0.5511,0.5631,0.5648,0.3975,0.9752,0.5648,0.6287,100.0,20.0,pyc_xmeans,tetra_y.zip
2,6,0.0041770935058593,0.5058,418.4532,0.664,1.0,1.0,1.3863,1.0,1.0,1.0,1.0,1.0,1.0,inf,20.0,pyc_xmeans,tetra_y.zip
4,10,0.0053510665893554,0.5058,418.4532,0.664,1.0,1.0,1.3863,1.0,1.0,1.0,1.0,1.0,1.0,,,pyc_xmeans,tetra_y.zip
4,10,0.005197525024414,0.5058,418.4532,0.664,1.0,1.0,1.3863,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,20.0,pyc_xmeans,tetra_y.zip
4,10,0.0043706893920898,0.5058,418.4532,0.664,1.0,1.0,1.3863,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,pyc_xmeans,tetra_y.zip
