threshold,branching_factor,n_clusters,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
0.5,50,10,1000.0,100,4.347569227218628,0.064,822.2558,2.1382,skl_birch,fico.zip
0.5,50,10,1000.0,20,4.366253614425659,0.064,822.2558,2.1382,skl_birch,fico.zip
0.5,50,10,100.0,100,4.286636352539063,0.0555,830.8326,2.2458,skl_birch,fico.zip
0.5,50,10,100.0,20,4.3552796840667725,0.064,822.2558,2.1382,skl_birch,fico.zip
0.5,50,10,20.0,20,4.429651260375977,0.0401,812.0839,2.3865,skl_birch,fico.zip
0.5,50,10,inf,100,4.426681280136108,0.064,822.2558,2.1382,skl_birch,fico.zip
0.5,50,10,inf,20,4.363958358764648,0.064,822.2558,2.1382,skl_birch,fico.zip
0.5,50,12,1000.0,100,4.371012926101685,0.0483,719.8646,2.2197,skl_birch,fico.zip
0.5,50,12,1000.0,20,4.323224067687988,0.0483,719.8646,2.2197,skl_birch,fico.zip
0.5,50,12,100.0,100,4.300974369049072,0.0503,725.7986,2.1822,skl_birch,fico.zip
0.5,50,12,100.0,20,4.406111001968384,0.0483,719.8646,2.2197,skl_birch,fico.zip
0.5,50,12,20.0,20,4.433434963226318,0.0223,701.0977,2.4537,skl_birch,fico.zip
0.5,50,12,inf,100,4.347219705581665,0.0483,719.8646,2.2197,skl_birch,fico.zip
0.5,50,12,inf,20,4.425622940063477,0.0483,719.8646,2.2197,skl_birch,fico.zip
0.5,50,2,1000.0,100,4.412461996078491,0.0126,677.4583,2.8276,skl_birch,fico.zip
0.5,50,2,1000.0,20,4.365320205688477,0.0126,677.4583,2.8276,skl_birch,fico.zip
0.5,50,2,100.0,100,4.289400339126587,0.0245,438.9928,3.735,skl_birch,fico.zip
0.5,50,2,100.0,20,4.3595850467681885,0.0126,677.4583,2.8276,skl_birch,fico.zip
0.5,50,2,20.0,20,4.423055648803711,0.0253,436.5467,3.3038,skl_birch,fico.zip
0.5,50,2,inf,100,4.347099542617798,0.0126,677.4583,2.8276,skl_birch,fico.zip
0.5,50,2,inf,20,4.374072074890137,0.0126,677.4583,2.8276,skl_birch,fico.zip
0.5,50,4,1000.0,100,4.370572566986084,0.0728,1678.8283,2.5807,skl_birch,fico.zip
0.5,50,4,1000.0,20,4.372238874435425,0.0728,1678.8283,2.5807,skl_birch,fico.zip
0.5,50,4,100.0,100,4.326064348220825,0.0575,1710.9775,2.5543,skl_birch,fico.zip
0.5,50,4,100.0,20,4.353217840194702,0.0728,1678.8283,2.5807,skl_birch,fico.zip
0.5,50,4,20.0,20,4.421982049942017,0.0661,1708.2367,2.4961,skl_birch,fico.zip
0.5,50,4,inf,100,4.418881177902222,0.0728,1678.8283,2.5807,skl_birch,fico.zip
0.5,50,4,inf,20,4.355489492416382,0.0728,1678.8283,2.5807,skl_birch,fico.zip
0.5,50,6,1000.0,100,4.356073379516602,0.0602,1188.8251,2.4746,skl_birch,fico.zip
0.5,50,6,1000.0,20,4.358811140060425,0.0602,1188.8251,2.4746,skl_birch,fico.zip
0.5,50,6,100.0,100,4.30644965171814,0.0645,1210.542,2.3486,skl_birch,fico.zip
0.5,50,6,100.0,20,4.387921333312988,0.0602,1188.8251,2.4746,skl_birch,fico.zip
0.5,50,6,20.0,20,4.471351861953735,0.0563,1195.2827,2.4931,skl_birch,fico.zip
0.5,50,6,inf,100,4.369280815124512,0.0602,1188.8251,2.4746,skl_birch,fico.zip
0.5,50,6,inf,20,4.411015272140503,0.0602,1188.8251,2.4746,skl_birch,fico.zip
0.5,50,8,1000.0,100,4.4198157787323,0.0619,962.296,2.2363,skl_birch,fico.zip
0.5,50,8,1000.0,20,4.344600200653076,0.0619,962.296,2.2363,skl_birch,fico.zip
0.5,50,8,100.0,100,4.27137565612793,0.0641,979.2745,2.2275,skl_birch,fico.zip
0.5,50,8,100.0,20,4.377472877502441,0.0619,962.296,2.2363,skl_birch,fico.zip
0.5,50,8,20.0,20,4.444597482681274,0.0438,951.5099,2.4003,skl_birch,fico.zip
0.5,50,8,inf,100,4.354222297668457,0.0619,962.296,2.2363,skl_birch,fico.zip
0.5,50,8,inf,20,4.346566438674927,0.0619,962.296,2.2363,skl_birch,fico.zip
