n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
2,cosine,complete,1000.0,20,2.802427053451538,0.1726,1149.5545,2.6986,skl_agglomerativeClust,ficoONEHOT.zip
2,cosine,complete,100.0,20,2.787139415740967,0.1726,1149.5545,2.6986,skl_agglomerativeClust,ficoONEHOT.zip
2,cosine,complete,inf,20,2.793071746826172,0.1726,1149.5545,2.6986,skl_agglomerativeClust,ficoONEHOT.zip
2,cosine,single,1000.0,20,1.1623046398162842,0.0479,1.3487,1.537,skl_agglomerativeClust,ficoONEHOT.zip
2,cosine,single,100.0,20,1.151324987411499,0.0479,1.3487,1.537,skl_agglomerativeClust,ficoONEHOT.zip
2,cosine,single,inf,20,1.1547129154205322,0.0479,1.3487,1.537,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,average,1000.0,20,3.2132503986358643,0.8059,40.0205,0.1357,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,average,100.0,20,3.226811170578003,0.8059,40.0205,0.1357,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,average,inf,20,3.216604232788086,0.8059,40.0205,0.1357,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,complete,1000.0,20,3.079127311706543,0.769,54.6311,0.3591,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,complete,100.0,20,3.096771717071533,0.769,54.6311,0.3591,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,complete,inf,20,3.080211639404297,0.769,54.6311,0.3591,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,single,1000.0,20,1.6384034156799316,0.8059,40.0205,0.1357,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,single,100.0,20,1.6502666473388672,0.8059,40.0205,0.1357,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,single,inf,20,1.6406879425048828,0.8059,40.0205,0.1357,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,ward,1000.0,20,3.143998384475708,0.6664,7970.1923,0.256,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,ward,100.0,20,3.1331827640533447,0.6664,7970.1923,0.256,skl_agglomerativeClust,ficoONEHOT.zip
2,euclidean,ward,inf,20,3.154003381729126,0.6664,7970.1923,0.256,skl_agglomerativeClust,ficoONEHOT.zip
4,correlation,average,1000.0,20,3.019745349884033,0.0211,814.8495,2.5232,skl_agglomerativeClust,ficoONEHOT.zip
4,correlation,average,100.0,20,3.0395984649658203,0.0211,814.8495,2.5232,skl_agglomerativeClust,ficoONEHOT.zip
4,correlation,average,inf,20,3.026759624481201,0.0211,814.8495,2.5232,skl_agglomerativeClust,ficoONEHOT.zip
4,correlation,complete,1000.0,20,2.761280059814453,-0.0277,494.0715,3.2414,skl_agglomerativeClust,ficoONEHOT.zip
4,correlation,complete,100.0,20,2.7575783729553223,-0.0277,494.0715,3.2414,skl_agglomerativeClust,ficoONEHOT.zip
4,correlation,complete,inf,20,2.770807266235352,-0.0277,494.0715,3.2414,skl_agglomerativeClust,ficoONEHOT.zip
