n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1256422996520996,0.4421,2122.6276,0.9379,0.9406,0.7512,1.7596,0.8674,0.8691,0.9822,0.7794,0.8691,0.8012,skl_bis_kmeans,longsquare_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1564826965332031,0.3856,1823.5327,1.0192,0.9155,0.6449,1.6526,0.8128,0.8152,0.9224,0.7303,0.8152,0.7073,skl_bis_kmeans,longsquare_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1177268028259277,0.4421,2122.6276,0.9379,0.9406,0.7512,1.7596,0.8674,0.8691,0.9822,0.7794,0.8691,0.8012,skl_bis_kmeans,longsquare_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1234614849090576,0.3856,1823.5327,1.0192,0.9155,0.6449,1.6526,0.8128,0.8152,0.9224,0.7303,0.8152,0.7073,skl_bis_kmeans,longsquare_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1441450119018554,0.4421,2122.6276,0.9379,0.9406,0.7512,1.7596,0.8674,0.8691,0.9822,0.7794,0.8691,0.8012,skl_bis_kmeans,longsquare_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1252031326293945,0.3856,1823.5327,1.0192,0.9155,0.6449,1.6526,0.8128,0.8152,0.9224,0.7303,0.8152,0.7073,skl_bis_kmeans,longsquare_y.zip-10_k
