eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.75,10,euclidean,auto,4,0.0129597187042236,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.75,2,correlation,auto,4,0.0326015949249267,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
0.75,2,cosine,auto,4,0.024991750717163,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,skl_DBSCAN,2d-4c_y.zip
0.75,2,euclidean,auto,4,0.0104744434356689,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.75,5,correlation,auto,4,0.0304830074310302,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
0.75,5,cosine,auto,4,0.0227880477905273,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,skl_DBSCAN,2d-4c_y.zip
0.75,5,euclidean,auto,4,0.0122451782226562,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
1.0,10,correlation,auto,4,0.0311915874481201,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
1.0,10,cosine,auto,4,0.0321943759918212,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,skl_DBSCAN,2d-4c_y.zip
1.0,10,euclidean,auto,4,0.0122156143188476,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
1.0,2,correlation,auto,4,0.0308156013488769,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
1.0,2,cosine,auto,4,0.0290498733520507,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,skl_DBSCAN,2d-4c_y.zip
1.0,2,euclidean,auto,4,0.0119874477386474,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
1.0,5,correlation,auto,4,0.0307819843292236,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
1.0,5,cosine,auto,4,0.0254614353179931,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,skl_DBSCAN,2d-4c_y.zip
1.0,5,euclidean,auto,4,0.0107123851776123,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
