eps,min_samples,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.1,2,correlation,auto,4,100.0,20,0.0125882625579833,-0.3292,4.9161,1.4867,0.5392,0.0695,0.1768,0.1537,0.1844,0.2677,0.1407,0.1844,0.5841,skl_DBSCAN,wdbc_y.zip
0.1,2,correlation,auto,4,20.0,20,0.0227434635162353,-0.3316,5.3099,1.5581,0.5476,0.0741,0.138,0.1407,0.1707,0.209,0.1443,0.1707,0.6312,skl_DBSCAN,wdbc_y.zip
0.1,2,correlation,auto,4,inf,100,0.0204987525939941,-0.3292,4.9161,1.4867,0.5392,0.0695,0.1768,0.1537,0.1844,0.2677,0.1407,0.1844,0.5841,skl_DBSCAN,wdbc_y.zip
0.1,2,correlation,auto,4,inf,20,0.0228052139282226,-0.3292,4.9161,1.4867,0.5392,0.0695,0.1768,0.1537,0.1844,0.2677,0.1407,0.1844,0.5841,skl_DBSCAN,wdbc_y.zip
0.1,2,cosine,auto,4,1000.0,100,0.0175163745880126,-0.2452,12.8305,1.445,0.5545,0.1288,0.309,0.2485,0.2682,0.4679,0.188,0.2682,0.4924,skl_DBSCAN,wdbc_y.zip
0.1,2,cosine,auto,4,1000.0,20,0.0219531059265136,-0.2452,12.8305,1.445,0.5545,0.1288,0.309,0.2485,0.2682,0.4679,0.188,0.2682,0.4924,skl_DBSCAN,wdbc_y.zip
0.1,2,cosine,auto,4,100.0,100,0.0153517723083496,-0.2397,12.9521,1.4136,0.5574,0.1347,0.3132,0.252,0.2715,0.4743,0.1902,0.2715,0.4954,skl_DBSCAN,wdbc_y.zip
0.1,2,cosine,auto,4,100.0,20,0.0111410617828369,-0.2452,12.8305,1.445,0.5545,0.1288,0.309,0.2485,0.2682,0.4679,0.188,0.2682,0.4924,skl_DBSCAN,wdbc_y.zip
0.1,2,cosine,auto,4,20.0,20,0.0248386859893798,-0.2773,12.7088,1.3551,0.5443,0.0995,0.2608,0.2336,0.254,0.3949,0.1872,0.254,0.5181,skl_DBSCAN,wdbc_y.zip
0.1,2,cosine,auto,4,inf,100,0.0261194705963134,-0.2452,12.8305,1.445,0.5545,0.1288,0.309,0.2485,0.2682,0.4679,0.188,0.2682,0.4924,skl_DBSCAN,wdbc_y.zip
0.1,2,cosine,auto,4,inf,20,0.0136620998382568,-0.2452,12.8305,1.445,0.5545,0.1288,0.309,0.2485,0.2682,0.4679,0.188,0.2682,0.4924,skl_DBSCAN,wdbc_y.zip
0.1,2,euclidean,auto,4,1000.0,100,0.0019621849060058,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,2,euclidean,auto,4,1000.0,20,0.0018749237060546,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,2,euclidean,auto,4,100.0,100,0.0018908977508544,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,2,euclidean,auto,4,100.0,20,0.0018582344055175,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,2,euclidean,auto,4,20.0,20,0.0020349025726318,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,2,euclidean,auto,4,inf,100,0.001863956451416,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,2,euclidean,auto,4,inf,20,0.0019567012786865,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,5,correlation,auto,4,1000.0,100,0.0094316005706787,-0.1036,20.8474,1.4539,0.5821,0.1288,0.096,0.1801,0.1847,0.1454,0.2531,0.1847,0.7077,skl_DBSCAN,wdbc_y.zip
0.1,5,correlation,auto,4,1000.0,20,0.0134236812591552,-0.1036,20.8474,1.4539,0.5821,0.1288,0.096,0.1801,0.1847,0.1454,0.2531,0.1847,0.7077,skl_DBSCAN,wdbc_y.zip
0.1,5,correlation,auto,4,100.0,100,0.0073802471160888,-0.0822,28.4938,1.4056,0.5774,0.1167,0.0853,0.1705,0.1738,0.1292,0.2651,0.1738,0.7104,skl_DBSCAN,wdbc_y.zip
0.1,5,correlation,auto,4,100.0,20,0.0093371868133544,-0.1036,20.8474,1.4539,0.5821,0.1288,0.096,0.1801,0.1847,0.1454,0.2531,0.1847,0.7077,skl_DBSCAN,wdbc_y.zip
0.1,5,correlation,auto,4,20.0,20,0.0214054584503173,0.0148,25.053,1.4465,0.5606,0.0736,0.0508,0.1107,0.1144,0.0769,0.2235,0.1144,0.7189,skl_DBSCAN,wdbc_y.zip
0.1,5,correlation,auto,4,inf,100,0.0222225189208984,-0.1036,20.8474,1.4539,0.5821,0.1288,0.096,0.1801,0.1847,0.1454,0.2531,0.1847,0.7077,skl_DBSCAN,wdbc_y.zip
0.1,5,correlation,auto,4,inf,20,0.0167255401611328,-0.1036,20.8474,1.4539,0.5821,0.1288,0.096,0.1801,0.1847,0.1454,0.2531,0.1847,0.7077,skl_DBSCAN,wdbc_y.zip
0.1,5,cosine,auto,4,1000.0,100,0.0094075202941894,-0.1219,44.2196,1.7799,0.5509,0.1056,0.2157,0.2571,0.2615,0.3267,0.218,0.2615,0.5513,skl_DBSCAN,wdbc_y.zip
0.1,5,cosine,auto,4,1000.0,20,0.0291259288787841,-0.1219,44.2196,1.7799,0.5509,0.1056,0.2157,0.2571,0.2615,0.3267,0.218,0.2615,0.5513,skl_DBSCAN,wdbc_y.zip
0.1,5,cosine,auto,4,100.0,100,0.0168590545654296,-0.124,51.8499,1.6406,0.5487,0.0997,0.2074,0.2546,0.2581,0.3141,0.2191,0.2581,0.5545,skl_DBSCAN,wdbc_y.zip
0.1,5,cosine,auto,4,100.0,20,0.0121076107025146,-0.1219,44.2196,1.7799,0.5509,0.1056,0.2157,0.2571,0.2615,0.3267,0.218,0.2615,0.5513,skl_DBSCAN,wdbc_y.zip
0.1,5,cosine,auto,4,20.0,20,0.0139198303222656,-0.0334,61.896,1.4849,0.5271,0.0464,0.1644,0.2194,0.2223,0.2489,0.2007,0.2223,0.5686,skl_DBSCAN,wdbc_y.zip
0.1,5,cosine,auto,4,inf,100,0.0174524784088134,-0.1219,44.2196,1.7799,0.5509,0.1056,0.2157,0.2571,0.2615,0.3267,0.218,0.2615,0.5513,skl_DBSCAN,wdbc_y.zip
0.1,5,cosine,auto,4,inf,20,0.0138759613037109,-0.1219,44.2196,1.7799,0.5509,0.1056,0.2157,0.2571,0.2615,0.3267,0.218,0.2615,0.5513,skl_DBSCAN,wdbc_y.zip
0.1,5,euclidean,auto,4,1000.0,100,0.0019311904907226,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,5,euclidean,auto,4,1000.0,20,0.0019233226776123,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,5,euclidean,auto,4,100.0,100,0.0018837451934814,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,5,euclidean,auto,4,100.0,20,0.001943826675415,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,5,euclidean,auto,4,20.0,20,0.0386967658996582,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,5,euclidean,auto,4,inf,100,0.0018830299377441,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.1,5,euclidean,auto,4,inf,20,0.0897669792175293,0.0,0.0,0.0,0.5316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7291,skl_DBSCAN,wdbc_y.zip
0.25,10,correlation,auto,4,1000.0,100,0.0139548778533935,-0.0125,5.7618,7.1907,0.4992,-0.0208,0.013,0.0202,0.0217,0.0196,0.0242,0.0217,0.5786,skl_DBSCAN,wdbc_y.zip
0.25,10,correlation,auto,4,1000.0,20,0.0136580467224121,-0.0125,5.7618,7.1907,0.4992,-0.0208,0.013,0.0202,0.0217,0.0196,0.0242,0.0217,0.5786,skl_DBSCAN,wdbc_y.zip
0.25,10,correlation,auto,4,100.0,100,0.0075912475585937,-0.0121,6.0044,7.0129,0.4992,-0.0212,0.014,0.022,0.0234,0.0212,0.0262,0.0234,0.5793,skl_DBSCAN,wdbc_y.zip
0.25,10,correlation,auto,4,100.0,20,0.0104405879974365,-0.0125,5.7618,7.1907,0.4992,-0.0208,0.013,0.0202,0.0217,0.0196,0.0242,0.0217,0.5786,skl_DBSCAN,wdbc_y.zip
0.25,10,correlation,auto,4,20.0,20,0.0222389698028564,-0.0069,8.0248,6.7424,0.5031,-0.0022,0.0217,0.0325,0.0338,0.0329,0.0348,0.0338,0.5479,skl_DBSCAN,wdbc_y.zip
0.25,10,correlation,auto,4,inf,100,0.0180699825286865,-0.0125,5.7618,7.1907,0.4992,-0.0208,0.013,0.0202,0.0217,0.0196,0.0242,0.0217,0.5786,skl_DBSCAN,wdbc_y.zip
0.25,10,correlation,auto,4,inf,20,0.0276541709899902,-0.0125,5.7618,7.1907,0.4992,-0.0208,0.013,0.0202,0.0217,0.0196,0.0242,0.0217,0.5786,skl_DBSCAN,wdbc_y.zip
