amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,10,1000.0,100,0.1892511844635009,0.1376,1990.3953,1.8017,pyc_xmeans,fico.zip
10,10,1000.0,20,0.3014390468597412,0.1347,1992.1051,1.7849,pyc_xmeans,fico.zip
10,10,100.0,100,0.2213780879974365,0.1331,1992.5499,1.8627,pyc_xmeans,fico.zip
10,10,100.0,20,0.406888484954834,0.1504,1985.1353,1.8075,pyc_xmeans,fico.zip
10,10,20.0,20,0.2859690189361572,0.1351,1869.0904,2.0578,pyc_xmeans,fico.zip
10,10,inf,100,0.2528715133666992,0.1363,1991.0651,1.7982,pyc_xmeans,fico.zip
10,10,inf,20,0.2930796146392822,0.1425,1975.6207,1.9116,pyc_xmeans,fico.zip
10,14,1000.0,100,0.5148439407348633,0.1337,1595.8558,1.8625,pyc_xmeans,fico.zip
10,14,1000.0,20,0.3471183776855469,0.13,1575.5432,1.9368,pyc_xmeans,fico.zip
10,14,100.0,100,0.3452000617980957,0.1342,1581.6931,1.9032,pyc_xmeans,fico.zip
10,14,100.0,20,0.3479526042938232,0.1299,1559.3521,1.9687,pyc_xmeans,fico.zip
10,14,20.0,20,0.4382796287536621,0.1192,1498.1276,1.9104,pyc_xmeans,fico.zip
10,14,inf,100,0.4647457599639892,0.1324,1578.7724,1.7921,pyc_xmeans,fico.zip
10,14,inf,20,0.4080286026000976,0.1345,1546.458,1.8259,pyc_xmeans,fico.zip
10,18,1000.0,100,0.3482992649078369,0.1419,1282.4563,1.7141,pyc_xmeans,fico.zip
10,18,1000.0,20,0.481208324432373,0.1325,1310.0334,1.7155,pyc_xmeans,fico.zip
10,18,100.0,100,0.3652231693267822,0.1336,1306.486,1.6522,pyc_xmeans,fico.zip
10,18,100.0,20,0.5722315311431885,0.1315,1332.5215,1.9077,pyc_xmeans,fico.zip
10,18,20.0,20,0.549492359161377,0.1218,1292.9691,2.027,pyc_xmeans,fico.zip
10,18,inf,100,0.459681749343872,0.135,1312.6017,1.8067,pyc_xmeans,fico.zip
10,18,inf,20,0.486487865447998,0.1342,1309.6158,1.7988,pyc_xmeans,fico.zip
10,22,1000.0,100,0.6036088466644287,0.1302,1154.7843,1.929,pyc_xmeans,fico.zip
10,22,1000.0,20,0.7814581394195557,0.1231,1162.0301,1.9583,pyc_xmeans,fico.zip
10,22,100.0,100,0.5486516952514648,0.1281,1150.3588,1.8754,pyc_xmeans,fico.zip
10,22,100.0,20,0.509589672088623,0.1237,1136.7941,1.8451,pyc_xmeans,fico.zip
10,22,20.0,20,0.4404661655426025,0.1285,1120.842,1.8748,pyc_xmeans,fico.zip
10,22,inf,100,0.6457161903381348,0.1332,1137.999,1.8973,pyc_xmeans,fico.zip
10,22,inf,20,0.783099889755249,0.1262,1146.9328,1.8624,pyc_xmeans,fico.zip
10,2,1000.0,100,0.230170726776123,0.1352,1940.4539,1.6865,pyc_xmeans,fico.zip
10,2,1000.0,20,0.2530069351196289,0.1363,1992.2048,1.7921,pyc_xmeans,fico.zip
10,2,100.0,100,0.2581782341003418,0.1404,1995.8074,1.8762,pyc_xmeans,fico.zip
10,2,100.0,20,0.145007848739624,0.1319,1995.041,1.8497,pyc_xmeans,fico.zip
10,2,20.0,20,0.144118070602417,0.1265,1910.3359,1.9435,pyc_xmeans,fico.zip
10,2,inf,100,0.2936117649078369,0.1453,1985.4204,1.9052,pyc_xmeans,fico.zip
10,2,inf,20,0.2185080051422119,0.147,1977.9854,1.8119,pyc_xmeans,fico.zip
10,6,1000.0,100,0.2960267066955566,0.136,1932.9752,1.8699,pyc_xmeans,fico.zip
10,6,1000.0,20,0.1607470512390136,0.1354,1992.1112,1.7919,pyc_xmeans,fico.zip
10,6,100.0,100,0.1343369483947754,0.1424,1986.1189,1.8091,pyc_xmeans,fico.zip
10,6,100.0,20,0.228745698928833,0.1334,1980.7876,1.847,pyc_xmeans,fico.zip
10,6,20.0,20,0.2324259281158447,0.1233,1913.5599,1.9522,pyc_xmeans,fico.zip
10,6,inf,100,0.226900577545166,0.1349,1989.3928,1.7889,pyc_xmeans,fico.zip
10,6,inf,20,0.1574480533599853,0.1264,1942.4234,2.0124,pyc_xmeans,fico.zip
12,10,1000.0,100,0.2212700843811035,0.1322,1748.2113,1.9732,pyc_xmeans,fico.zip
12,10,1000.0,20,0.1796774864196777,0.1331,1775.1406,1.8439,pyc_xmeans,fico.zip
12,10,100.0,100,0.2317183017730713,0.1332,1721.2717,1.9209,pyc_xmeans,fico.zip
12,10,100.0,20,0.1697680950164795,0.1343,1774.4133,1.8569,pyc_xmeans,fico.zip
12,10,20.0,20,0.2642173767089844,0.1315,1699.6795,1.8791,pyc_xmeans,fico.zip
