n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,12,IMM,100.0,100,0.0049748420715332,0.4478,739.442,0.6395,0.7835,0.4579,0.8853,0.5647,0.58,0.8259,0.4469,0.58,0.6195,ExKMC,zelnik6_y.zip
12,12,IMM,100.0,20,0.0052003860473632,0.4589,774.6728,0.6306,0.7873,0.4653,0.92,0.5827,0.5971,0.8583,0.4578,0.5971,0.6263,ExKMC,zelnik6_y.zip
12,12,IMM,inf,100,0.0052559375762939,0.4589,774.6728,0.6306,0.7873,0.4653,0.92,0.5827,0.5971,0.8583,0.4578,0.5971,0.6263,ExKMC,zelnik6_y.zip
12,12,IMM,inf,20,0.0188262462615966,0.4589,774.6728,0.6306,0.7873,0.4653,0.92,0.5827,0.5971,0.8583,0.4578,0.5971,0.6263,ExKMC,zelnik6_y.zip
12,12,NONE,1000.0,100,0.0100910663604736,0.4296,605.4519,0.6309,0.7751,0.4398,0.8391,0.5411,0.5575,0.7828,0.4329,0.5575,0.6042,ExKMC,zelnik6_y.zip
12,12,NONE,1000.0,20,0.0171780586242675,0.4296,605.4519,0.6309,0.7751,0.4398,0.8391,0.5411,0.5575,0.7828,0.4329,0.5575,0.6042,ExKMC,zelnik6_y.zip
12,12,NONE,100.0,100,0.0207688808441162,0.4333,660.4339,0.6612,0.7836,0.4588,0.8841,0.5707,0.5843,0.8248,0.4524,0.5843,0.62,ExKMC,zelnik6_y.zip
12,12,NONE,100.0,20,0.0069537162780761,0.4296,605.4519,0.6309,0.7751,0.4398,0.8391,0.5411,0.5575,0.7828,0.4329,0.5575,0.6042,ExKMC,zelnik6_y.zip
12,12,NONE,inf,100,0.0124385356903076,0.4296,605.4519,0.6309,0.7751,0.4398,0.8391,0.5411,0.5575,0.7828,0.4329,0.5575,0.6042,ExKMC,zelnik6_y.zip
12,12,NONE,inf,20,0.0068495273590087,0.4296,605.4519,0.6309,0.7751,0.4398,0.8391,0.5411,0.5575,0.7828,0.4329,0.5575,0.6042,ExKMC,zelnik6_y.zip
2,10,IMM,1000.0,100,0.0458037853240966,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,10,IMM,1000.0,20,0.0303800106048584,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,10,IMM,100.0,100,0.0235943794250488,0.6074,217.4808,0.6438,0.7904,0.5813,0.5264,0.5959,0.5979,0.4911,0.7641,0.5979,0.7661,ExKMC,zelnik6_y.zip
2,10,IMM,100.0,20,0.0305356979370117,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,10,IMM,inf,100,0.0411787033081054,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,10,IMM,inf,20,0.034487247467041,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,10,NONE,1000.0,100,0.0355894565582275,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,10,NONE,1000.0,20,0.0424365997314453,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,10,NONE,100.0,100,0.0409772396087646,0.6074,217.4808,0.6438,0.7904,0.5813,0.5264,0.5959,0.5979,0.4911,0.7641,0.5979,0.7661,ExKMC,zelnik6_y.zip
2,10,NONE,100.0,20,0.0502130985260009,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,10,NONE,inf,100,0.0430648326873779,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,10,NONE,inf,20,0.0455610752105712,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,12,IMM,1000.0,100,0.0571691989898681,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,12,IMM,1000.0,20,0.0431246757507324,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,12,IMM,100.0,100,0.0250458717346191,0.6074,217.4808,0.6438,0.7904,0.5813,0.5264,0.5959,0.5979,0.4911,0.7641,0.5979,0.7661,ExKMC,zelnik6_y.zip
2,12,IMM,100.0,20,0.0268912315368652,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,12,IMM,inf,100,0.0318400859832763,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,12,IMM,inf,20,0.0222535133361816,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,12,NONE,1000.0,100,0.0041651725769042,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,12,NONE,1000.0,20,0.0041942596435546,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,12,NONE,100.0,100,0.0036983489990234,0.6074,217.4808,0.6438,0.7904,0.5813,0.5264,0.5959,0.5979,0.4911,0.7641,0.5979,0.7661,ExKMC,zelnik6_y.zip
2,12,NONE,100.0,20,0.004563570022583,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,12,NONE,inf,100,0.0362334251403808,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,12,NONE,inf,20,0.0550196170806884,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,IMM,1000.0,100,0.042410135269165,0.6062,212.2798,0.6227,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,IMM,1000.0,20,0.0252950191497802,0.6062,212.2798,0.6227,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,IMM,100.0,100,0.0499954223632812,0.6008,202.557,0.6145,0.7887,0.5794,0.5296,0.6016,0.6035,0.494,0.7754,0.6035,0.7667,ExKMC,zelnik6_y.zip
2,2,IMM,100.0,20,0.0702807903289794,0.6062,212.2798,0.6227,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,IMM,inf,100,0.0412023067474365,0.6062,212.2798,0.6227,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,IMM,inf,20,0.0299623012542724,0.6062,212.2798,0.6227,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,NONE,1000.0,100,0.0676662921905517,0.6062,212.2798,0.6227,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,NONE,1000.0,20,0.07918381690979,0.6062,212.2798,0.6227,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,NONE,100.0,100,0.0414855480194091,0.6062,212.3749,0.6226,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,NONE,100.0,20,0.0623509883880615,0.6062,212.2798,0.6227,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,NONE,inf,100,0.0621147155761718,0.6062,212.2798,0.6227,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,2,NONE,inf,20,0.0324575901031494,0.6062,212.2798,0.6227,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,3,IMM,1000.0,100,0.0297071933746337,0.6066,212.7792,0.6367,0.7929,0.5858,0.5289,0.598,0.5999,0.4934,0.765,0.5999,0.7681,ExKMC,zelnik6_y.zip
2,3,IMM,1000.0,20,0.0404088497161865,0.6066,212.7792,0.6367,0.7929,0.5858,0.5289,0.598,0.5999,0.4934,0.765,0.5999,0.7681,ExKMC,zelnik6_y.zip
2,3,IMM,100.0,100,0.0363674163818359,0.6074,217.4808,0.6438,0.7904,0.5813,0.5264,0.5959,0.5979,0.4911,0.7641,0.5979,0.7661,ExKMC,zelnik6_y.zip
2,3,IMM,100.0,20,0.0417208671569824,0.6066,212.7792,0.6367,0.7929,0.5858,0.5289,0.598,0.5999,0.4934,0.765,0.5999,0.7681,ExKMC,zelnik6_y.zip
2,3,IMM,inf,100,0.0316417217254638,0.6066,212.7792,0.6367,0.7929,0.5858,0.5289,0.598,0.5999,0.4934,0.765,0.5999,0.7681,ExKMC,zelnik6_y.zip
2,3,IMM,inf,20,0.0451595783233642,0.6066,212.7792,0.6367,0.7929,0.5858,0.5289,0.598,0.5999,0.4934,0.765,0.5999,0.7681,ExKMC,zelnik6_y.zip
2,3,NONE,1000.0,100,0.0294010639190673,0.6066,212.7792,0.6367,0.7929,0.5858,0.5289,0.598,0.5999,0.4934,0.765,0.5999,0.7681,ExKMC,zelnik6_y.zip
2,3,NONE,1000.0,20,0.040677785873413,0.6066,212.7792,0.6367,0.7929,0.5858,0.5289,0.598,0.5999,0.4934,0.765,0.5999,0.7681,ExKMC,zelnik6_y.zip
2,3,NONE,100.0,100,0.0301148891448974,0.6053,212.2806,0.6233,0.7892,0.5797,0.5269,0.5974,0.5994,0.4915,0.7678,0.5994,0.7659,ExKMC,zelnik6_y.zip
2,3,NONE,100.0,20,0.0486681461334228,0.6066,212.7792,0.6367,0.7929,0.5858,0.5289,0.598,0.5999,0.4934,0.765,0.5999,0.7681,ExKMC,zelnik6_y.zip
2,3,NONE,inf,100,0.0396318435668945,0.6066,212.7792,0.6367,0.7929,0.5858,0.5289,0.598,0.5999,0.4934,0.765,0.5999,0.7681,ExKMC,zelnik6_y.zip
2,3,NONE,inf,20,0.0447010993957519,0.6066,212.7792,0.6367,0.7929,0.5858,0.5289,0.598,0.5999,0.4934,0.765,0.5999,0.7681,ExKMC,zelnik6_y.zip
2,4,IMM,1000.0,100,0.0393671989440918,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,4,IMM,1000.0,20,0.0428411960601806,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,4,IMM,100.0,100,0.0277016162872314,0.6074,217.4808,0.6438,0.7904,0.5813,0.5264,0.5959,0.5979,0.4911,0.7641,0.5979,0.7661,ExKMC,zelnik6_y.zip
2,4,IMM,100.0,20,0.027475357055664,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,4,IMM,inf,100,0.0610456466674804,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,4,IMM,inf,20,0.0345644950866699,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,4,NONE,1000.0,100,0.0299792289733886,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,4,NONE,1000.0,20,0.0318140983581543,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,4,NONE,100.0,100,0.0459551811218261,0.6074,217.4808,0.6438,0.7904,0.5813,0.5264,0.5959,0.5979,0.4911,0.7641,0.5979,0.7661,ExKMC,zelnik6_y.zip
2,4,NONE,100.0,20,0.0320081710815429,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,4,NONE,inf,100,0.0372891426086425,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,4,NONE,inf,20,0.0417523384094238,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,6,IMM,1000.0,100,0.0369989871978759,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,6,IMM,1000.0,20,0.0425231456756591,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,6,IMM,100.0,100,0.0240051746368408,0.6074,217.4808,0.6438,0.7904,0.5813,0.5264,0.5959,0.5979,0.4911,0.7641,0.5979,0.7661,ExKMC,zelnik6_y.zip
2,6,IMM,100.0,20,0.0450153350830078,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,6,IMM,inf,100,0.0681254863739013,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,6,IMM,inf,20,0.0321400165557861,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,6,NONE,1000.0,100,0.0367646217346191,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,6,NONE,1000.0,20,0.0330491065979003,0.6076,217.0765,0.64,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,ExKMC,zelnik6_y.zip
2,6,NONE,100.0,100,0.045844554901123,0.6074,217.4808,0.6438,0.7904,0.5813,0.5264,0.5959,0.5979,0.4911,0.7641,0.5979,0.7661,ExKMC,zelnik6_y.zip
