max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,10,30,50,1000.0,100.0,0.0,42,cos,jaccard,11.925535202026367,0.0911,73.6851,1.9706,CenterParTree2,home.zip
10,10,30,50,1000.0,100.0,0.1,42,cos,jaccard,10.721567153930664,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,50,1000.0,100.0,0.2,42,cos,jaccard,10.651655912399292,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,50,1000.0,20.0,0.0,42,cos,jaccard,11.899081945419312,0.0911,73.6851,1.9706,CenterParTree2,home.zip
10,10,30,50,1000.0,20.0,0.1,42,cos,jaccard,10.811883926391602,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,50,1000.0,20.0,0.2,42,cos,jaccard,10.915046453475952,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,50,1000.0,inf,0.0,42,cos,jaccard,3.402679681777954,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,1000.0,inf,0.1,42,cos,jaccard,3.4170992374420166,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,1000.0,inf,0.2,42,cos,jaccard,3.393091917037964,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,100.0,100.0,0.0,42,cos,jaccard,1.172905683517456,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,100.0,100.0,0.1,42,cos,jaccard,0.9824445247650146,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,100.0,100.0,0.2,42,cos,jaccard,1.1935851573944092,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,100.0,20.0,0.0,42,cos,jaccard,4.963075876235962,0.0975,81.5965,1.6531,CenterParTree2,home.zip
10,10,30,50,100.0,20.0,0.1,42,cos,jaccard,4.277185916900635,0.087,67.7329,1.4473,CenterParTree2,home.zip
10,10,30,50,100.0,20.0,0.2,42,cos,jaccard,4.323861360549927,0.087,67.7329,1.4473,CenterParTree2,home.zip
10,10,30,50,100.0,inf,0.0,42,cos,jaccard,1.201213836669922,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,100.0,inf,0.1,42,cos,jaccard,1.2087364196777344,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,100.0,inf,0.2,42,cos,jaccard,1.1260638236999512,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,inf,100.0,0.0,42,cos,jaccard,11.872701168060305,0.0911,73.6851,1.9706,CenterParTree2,home.zip
10,10,30,50,inf,100.0,0.1,42,cos,jaccard,10.699062585830688,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,50,inf,100.0,0.2,42,cos,jaccard,10.81654977798462,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,50,inf,20.0,0.0,42,cos,jaccard,11.822826862335203,0.0911,73.6851,1.9706,CenterParTree2,home.zip
10,10,30,50,inf,20.0,0.1,42,cos,jaccard,10.712315797805786,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,50,inf,20.0,0.2,42,cos,jaccard,10.853582620620728,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,50,inf,inf,0.0,42,cos,jaccard,3.2669711112976074,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,inf,inf,0.1,42,cos,jaccard,3.379862070083618,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,50,inf,inf,0.2,42,cos,jaccard,3.3068416118621826,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,1000.0,100.0,0.0,42,cos,jaccard,11.89233374595642,0.0911,73.6851,1.9706,CenterParTree2,home.zip
10,10,30,5,1000.0,100.0,0.1,42,cos,jaccard,10.74855136871338,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,5,1000.0,100.0,0.2,42,cos,jaccard,10.76514983177185,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,5,1000.0,20.0,0.0,42,cos,jaccard,11.867857694625854,0.0911,73.6851,1.9706,CenterParTree2,home.zip
10,10,30,5,1000.0,20.0,0.1,42,cos,jaccard,10.816652059555054,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,5,1000.0,20.0,0.2,42,cos,jaccard,10.7517249584198,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,5,1000.0,inf,0.0,42,cos,jaccard,3.4320876598358154,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,1000.0,inf,0.1,42,cos,jaccard,3.381102561950684,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,1000.0,inf,0.2,42,cos,jaccard,3.3324100971221924,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,100.0,100.0,0.0,42,cos,jaccard,1.2554495334625244,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,100.0,100.0,0.1,42,cos,jaccard,1.15805983543396,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,100.0,100.0,0.2,42,cos,jaccard,1.2212276458740234,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,100.0,20.0,0.0,42,cos,jaccard,5.799947023391724,0.0949,78.2512,1.7182,CenterParTree2,home.zip
10,10,30,5,100.0,20.0,0.1,42,cos,jaccard,4.33045768737793,0.087,67.7329,1.4473,CenterParTree2,home.zip
10,10,30,5,100.0,20.0,0.2,42,cos,jaccard,4.31887149810791,0.087,67.7329,1.4473,CenterParTree2,home.zip
10,10,30,5,100.0,inf,0.0,42,cos,jaccard,1.1752204895019531,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,100.0,inf,0.1,42,cos,jaccard,1.0861241817474363,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,100.0,inf,0.2,42,cos,jaccard,1.2065589427947998,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,inf,100.0,0.0,42,cos,jaccard,11.819470405578612,0.0911,73.6851,1.9706,CenterParTree2,home.zip
10,10,30,5,inf,100.0,0.1,42,cos,jaccard,10.869784832000732,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,5,inf,100.0,0.2,42,cos,jaccard,10.717963218688965,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,5,inf,20.0,0.0,42,cos,jaccard,11.78769302368164,0.0911,73.6851,1.9706,CenterParTree2,home.zip
10,10,30,5,inf,20.0,0.1,42,cos,jaccard,10.774822473526,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,5,inf,20.0,0.2,42,cos,jaccard,10.81001353263855,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,30,5,inf,inf,0.0,42,cos,jaccard,3.3015360832214355,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,inf,inf,0.1,42,cos,jaccard,3.3840482234954834,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,30,5,inf,inf,0.2,42,cos,jaccard,3.404600143432617,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,3,50,1000.0,100.0,0.0,42,cos,jaccard,11.831233501434326,0.0911,73.6851,1.9706,CenterParTree2,home.zip
10,10,3,50,1000.0,100.0,0.1,42,cos,jaccard,10.799604892730711,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,3,50,1000.0,100.0,0.2,42,cos,jaccard,11.208293437957764,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,3,50,1000.0,20.0,0.0,42,cos,jaccard,11.845532417297363,0.0911,73.6851,1.9706,CenterParTree2,home.zip
10,10,3,50,1000.0,20.0,0.1,42,cos,jaccard,10.797321319580078,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,3,50,1000.0,20.0,0.2,42,cos,jaccard,10.74758768081665,0.0872,67.9311,1.4531,CenterParTree2,home.zip
10,10,3,50,1000.0,inf,0.0,42,cos,jaccard,3.352168321609497,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,3,50,1000.0,inf,0.1,42,cos,jaccard,3.381676197052002,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,3,50,1000.0,inf,0.2,42,cos,jaccard,3.348939180374145,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,3,50,100.0,100.0,0.0,42,cos,jaccard,1.1357791423797607,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,3,50,100.0,100.0,0.1,42,cos,jaccard,1.1810479164123535,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,3,50,100.0,100.0,0.2,42,cos,jaccard,1.185185194015503,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,3,50,100.0,20.0,0.0,42,cos,jaccard,5.014390468597412,0.0975,81.5965,1.6531,CenterParTree2,home.zip
10,10,3,50,100.0,20.0,0.1,42,cos,jaccard,4.296799898147583,0.087,67.7329,1.4473,CenterParTree2,home.zip
10,10,3,50,100.0,20.0,0.2,42,cos,jaccard,4.261264324188232,0.087,67.7329,1.4473,CenterParTree2,home.zip
10,10,3,50,100.0,inf,0.0,42,cos,jaccard,1.110048770904541,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,3,50,100.0,inf,0.1,42,cos,jaccard,1.184746026992798,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,3,50,100.0,inf,0.2,42,cos,jaccard,1.189189910888672,0.0448,62.6423,2.4474,CenterParTree2,home.zip
10,10,3,50,inf,100.0,0.0,42,cos,jaccard,11.825008630752563,0.0911,73.6851,1.9706,CenterParTree2,home.zip
