amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,1000.0,100,0.0125010013580322,0.3869,2030.1106,0.9412,0.5497,0.1,0.0444,0.0418,0.047,0.0666,0.0363,0.047,0.5587,pyc_xmeans,titanic_y.zip
10,10,1000.0,20,0.0552265644073486,0.3848,1887.8658,0.9442,0.5474,0.0963,0.0409,0.0376,0.0428,0.0614,0.0329,0.0428,0.5526,pyc_xmeans,titanic_y.zip
10,10,100.0,100,0.01119065284729,0.3877,2007.5633,0.9372,0.5472,0.0936,0.0392,0.0369,0.0423,0.0589,0.033,0.0423,0.5621,pyc_xmeans,titanic_y.zip
10,10,100.0,20,0.0125010013580322,0.3788,1892.1236,0.8766,0.541,0.082,0.0455,0.0423,0.0475,0.0683,0.0364,0.0475,0.5536,pyc_xmeans,titanic_y.zip
10,10,20.0,20,0.0111613273620605,0.4074,1762.3952,1.0095,0.5418,0.0829,0.0481,0.0454,0.0506,0.0722,0.039,0.0506,0.5564,pyc_xmeans,titanic_y.zip
10,10,inf,100,0.0118358135223388,0.3948,2037.6636,0.9278,0.5497,0.0993,0.0447,0.0424,0.0477,0.0672,0.037,0.0477,0.562,pyc_xmeans,titanic_y.zip
10,10,inf,20,0.0174100399017334,0.6211,1696.2486,0.8402,0.5576,0.1008,0.0371,0.0409,0.0474,0.0558,0.0411,0.0474,0.6283,pyc_xmeans,titanic_y.zip
10,14,1000.0,100,0.0177960395812988,0.279,1809.639,1.0787,0.5481,0.1162,0.0873,0.0654,0.0712,0.1311,0.0488,0.0712,0.4652,pyc_xmeans,titanic_y.zip
10,14,1000.0,20,0.0157015323638916,0.2277,1833.8444,1.0395,0.5072,0.0448,0.0552,0.0364,0.0419,0.0828,0.028,0.0419,0.3604,pyc_xmeans,titanic_y.zip
10,14,100.0,100,0.0188219547271728,0.2759,1808.56,1.0928,0.5464,0.1129,0.0846,0.0631,0.0688,0.1271,0.0472,0.0688,0.4625,pyc_xmeans,titanic_y.zip
10,14,100.0,20,0.0150272846221923,0.2204,1769.6465,1.0948,0.5082,0.0393,0.0504,0.0362,0.0423,0.0757,0.0293,0.0423,0.4069,pyc_xmeans,titanic_y.zip
10,14,20.0,20,0.0191671848297119,0.2248,1637.6312,1.1293,0.5367,0.0934,0.0611,0.045,0.051,0.0917,0.0353,0.051,0.4529,pyc_xmeans,titanic_y.zip
10,14,inf,100,0.014855146408081,0.2732,1743.4272,1.1064,0.534,0.0824,0.0593,0.0458,0.0522,0.089,0.0369,0.0522,0.4786,pyc_xmeans,titanic_y.zip
10,14,inf,20,0.0178799629211425,0.2515,1758.3722,1.1049,0.5462,0.1105,0.0652,0.0492,0.0552,0.0979,0.0385,0.0552,0.4723,pyc_xmeans,titanic_y.zip
10,18,1000.0,100,0.0230741500854492,0.2258,1554.8845,1.1108,0.5093,0.0522,0.0775,0.0478,0.0546,0.1163,0.0357,0.0546,0.3414,pyc_xmeans,titanic_y.zip
10,18,1000.0,20,0.0218691825866699,0.2409,1614.0861,1.0294,0.5094,0.0522,0.0837,0.0517,0.0584,0.1258,0.038,0.0584,0.3411,pyc_xmeans,titanic_y.zip
10,18,100.0,100,0.0227913856506347,0.245,1609.9084,0.9578,0.513,0.0585,0.0902,0.0574,0.0642,0.1354,0.0421,0.0642,0.3529,pyc_xmeans,titanic_y.zip
10,18,100.0,20,0.0230438709259033,0.2399,1579.5228,0.9274,0.5105,0.0524,0.0659,0.041,0.0481,0.0989,0.0318,0.0481,0.3569,pyc_xmeans,titanic_y.zip
10,18,20.0,20,0.0258827209472656,0.2227,1493.6628,1.1757,0.5127,0.058,0.0863,0.0543,0.061,0.1296,0.0399,0.061,0.3516,pyc_xmeans,titanic_y.zip
10,18,inf,100,0.0267872810363769,0.2413,1646.8531,1.0949,0.5038,0.0455,0.1038,0.0612,0.0671,0.1559,0.0428,0.0671,0.303,pyc_xmeans,titanic_y.zip
10,18,inf,20,0.0223312377929687,0.2431,1591.8211,1.0176,0.5121,0.0564,0.0798,0.0501,0.057,0.1198,0.0374,0.057,0.3536,pyc_xmeans,titanic_y.zip
10,22,1000.0,100,0.027097463607788,0.2298,1470.7646,1.0237,0.5057,0.0495,0.0961,0.0542,0.0614,0.1444,0.039,0.0614,0.3044,pyc_xmeans,titanic_y.zip
10,22,1000.0,20,0.035468578338623,0.2491,1449.1144,1.1426,0.5043,0.0485,0.1011,0.0543,0.0613,0.1519,0.0384,0.0613,0.2878,pyc_xmeans,titanic_y.zip
10,22,100.0,100,0.0432629585266113,0.2475,1431.3029,1.0354,0.5016,0.0445,0.1109,0.0594,0.0664,0.1666,0.0415,0.0664,0.2724,pyc_xmeans,titanic_y.zip
10,22,100.0,20,0.0764992237091064,0.2406,1400.0329,0.9955,0.5048,0.0491,0.1095,0.0606,0.068,0.1645,0.0428,0.068,0.2928,pyc_xmeans,titanic_y.zip
10,22,20.0,20,0.0291988849639892,0.2149,1366.6218,1.1939,0.4982,0.0366,0.0811,0.0427,0.0499,0.1218,0.0314,0.0499,0.2752,pyc_xmeans,titanic_y.zip
10,22,inf,100,0.0325732231140136,0.2418,1390.2208,1.0433,0.4991,0.0396,0.0965,0.0509,0.058,0.1449,0.0362,0.058,0.2677,pyc_xmeans,titanic_y.zip
10,22,inf,20,0.0337536334991455,0.2298,1352.5566,1.0497,0.5098,0.0556,0.0948,0.0548,0.0628,0.1423,0.0403,0.0628,0.3249,pyc_xmeans,titanic_y.zip
10,2,1000.0,100,0.0087389945983886,0.3168,1841.3546,1.0569,0.5471,0.1111,0.0748,0.0614,0.0657,0.1123,0.0464,0.0657,0.4795,pyc_xmeans,titanic_y.zip
10,2,1000.0,20,0.0084969997406005,0.2882,1923.5325,1.0307,0.5354,0.0853,0.0528,0.0437,0.0483,0.0793,0.0347,0.0483,0.4798,pyc_xmeans,titanic_y.zip
10,2,100.0,100,0.0096893310546875,0.2156,1782.3325,1.1051,0.5412,0.0917,0.0466,0.0415,0.0465,0.07,0.0348,0.0465,0.5111,pyc_xmeans,titanic_y.zip
10,2,100.0,20,0.0082068443298339,0.3939,1941.6338,0.8184,0.5491,0.0979,0.0424,0.0403,0.0459,0.0636,0.0359,0.0459,0.5623,pyc_xmeans,titanic_y.zip
10,2,20.0,20,0.0086774826049804,0.5764,1590.1584,0.7879,0.5658,0.1196,0.0492,0.0547,0.061,0.0739,0.0519,0.061,0.6264,pyc_xmeans,titanic_y.zip
10,2,inf,100,0.0085008144378662,0.6226,1845.4034,0.8335,0.5596,0.1052,0.0401,0.0441,0.0503,0.0602,0.0433,0.0503,0.6278,pyc_xmeans,titanic_y.zip
10,2,inf,20,0.0075206756591796,0.6663,1744.0265,0.6898,0.5569,0.0981,0.036,0.0405,0.0474,0.0541,0.0421,0.0474,0.6325,pyc_xmeans,titanic_y.zip
10,6,1000.0,100,0.0086152553558349,0.3749,1998.816,0.9597,0.5479,0.0967,0.0416,0.0388,0.0441,0.0624,0.034,0.0441,0.5555,pyc_xmeans,titanic_y.zip
10,6,1000.0,20,0.0078213214874267,0.5995,1861.2123,0.8208,0.5596,0.1043,0.0414,0.0464,0.0528,0.0622,0.0458,0.0528,0.6317,pyc_xmeans,titanic_y.zip
10,6,100.0,100,0.0083980560302734,0.389,1897.6736,0.9152,0.548,0.0966,0.0412,0.0383,0.0436,0.0619,0.0336,0.0436,0.5571,pyc_xmeans,titanic_y.zip
10,6,100.0,20,0.0086314678192138,0.3818,1832.1552,0.9402,0.5451,0.09,0.0498,0.0471,0.0522,0.0748,0.0401,0.0522,0.5583,pyc_xmeans,titanic_y.zip
10,6,20.0,20,0.0087528228759765,0.3865,1964.8625,0.917,0.552,0.1065,0.0482,0.0447,0.0498,0.0724,0.038,0.0498,0.5527,pyc_xmeans,titanic_y.zip
10,6,inf,100,0.0088841915130615,0.3948,2037.6636,0.9278,0.5497,0.0993,0.0447,0.0424,0.0477,0.0672,0.037,0.0477,0.562,pyc_xmeans,titanic_y.zip
10,6,inf,20,0.0077769756317138,0.6008,1884.3145,0.823,0.5616,0.1093,0.0449,0.0501,0.0563,0.0674,0.0484,0.0563,0.6301,pyc_xmeans,titanic_y.zip
12,10,1000.0,100,0.008577823638916,0.2001,1639.7623,1.002,0.5363,0.0833,0.0457,0.0382,0.0443,0.0687,0.0327,0.0443,0.4995,pyc_xmeans,titanic_y.zip
12,10,1000.0,20,0.0085170269012451,0.3854,1783.4344,0.9855,0.5484,0.0971,0.0437,0.0391,0.0456,0.0656,0.0349,0.0456,0.5591,pyc_xmeans,titanic_y.zip
12,10,100.0,100,0.0084969997406005,0.3892,1742.5916,0.8763,0.5485,0.0979,0.0436,0.0388,0.0454,0.0655,0.0347,0.0454,0.5567,pyc_xmeans,titanic_y.zip
12,10,100.0,20,0.00929856300354,0.3863,1772.3867,0.8688,0.5479,0.0965,0.0425,0.0377,0.0443,0.0639,0.0339,0.0443,0.5567,pyc_xmeans,titanic_y.zip
12,10,20.0,20,0.0093920230865478,0.3663,1638.4313,0.8618,0.5434,0.087,0.0497,0.0447,0.0511,0.0747,0.0389,0.0511,0.5543,pyc_xmeans,titanic_y.zip
12,10,inf,100,0.0086829662322998,0.3763,1725.9347,0.9804,0.5466,0.0932,0.0414,0.0372,0.0438,0.0622,0.0337,0.0438,0.5586,pyc_xmeans,titanic_y.zip
12,10,inf,20,0.0077269077301025,0.3801,1758.6061,0.9928,0.5472,0.0953,0.042,0.0369,0.0433,0.063,0.0329,0.0433,0.5552,pyc_xmeans,titanic_y.zip
12,14,1000.0,100,0.0215229988098144,0.2757,1802.9802,1.1142,0.5435,0.1074,0.0832,0.062,0.0677,0.1249,0.0465,0.0677,0.4582,pyc_xmeans,titanic_y.zip
12,14,1000.0,20,0.0241587162017822,0.2524,1724.2398,1.1239,0.5431,0.1045,0.0611,0.0457,0.0518,0.0917,0.0361,0.0518,0.4688,pyc_xmeans,titanic_y.zip
12,14,100.0,100,0.0151844024658203,0.2703,1748.4113,1.0726,0.5451,0.1069,0.063,0.048,0.0542,0.0946,0.038,0.0542,0.4781,pyc_xmeans,titanic_y.zip
12,14,100.0,20,0.0151371955871582,0.3762,1662.3431,0.9395,0.5485,0.0987,0.0458,0.0387,0.0462,0.0688,0.0348,0.0462,0.553,pyc_xmeans,titanic_y.zip
12,14,20.0,20,0.0164971351623535,0.2098,1544.0926,1.136,0.5129,0.0508,0.0499,0.0347,0.0407,0.0749,0.0279,0.0407,0.3987,pyc_xmeans,titanic_y.zip
12,14,inf,100,0.0183773040771484,0.2687,1669.6758,0.9969,0.5443,0.1057,0.0579,0.0436,0.05,0.087,0.0351,0.05,0.4757,pyc_xmeans,titanic_y.zip
12,14,inf,20,0.0573968887329101,0.2766,1714.206,1.0778,0.5423,0.1004,0.0586,0.0446,0.0509,0.088,0.0358,0.0509,0.48,pyc_xmeans,titanic_y.zip
12,18,1000.0,100,0.0225703716278076,0.2583,1551.4915,1.0009,0.5111,0.0566,0.0976,0.0604,0.0668,0.1466,0.0433,0.0668,0.3374,pyc_xmeans,titanic_y.zip
12,18,1000.0,20,0.0244281291961669,0.2307,1647.8308,1.0907,0.5053,0.047,0.0944,0.0567,0.0629,0.1418,0.0404,0.0629,0.3155,pyc_xmeans,titanic_y.zip
12,18,100.0,100,0.0240812301635742,0.2315,1598.1488,1.0389,0.5076,0.0506,0.0864,0.0524,0.0589,0.1298,0.0381,0.0589,0.3252,pyc_xmeans,titanic_y.zip
12,18,100.0,20,0.0181577205657959,0.2442,1569.4657,1.0375,0.5031,0.0401,0.0632,0.0373,0.044,0.0949,0.0286,0.044,0.3312,pyc_xmeans,titanic_y.zip
12,18,20.0,20,0.0225071907043457,0.2371,1532.786,1.0509,0.5159,0.063,0.0918,0.059,0.0657,0.1379,0.0432,0.0657,0.3641,pyc_xmeans,titanic_y.zip
12,18,inf,100,0.0221288204193115,0.2362,1636.6261,1.1148,0.5125,0.0578,0.0862,0.0541,0.0607,0.1295,0.0397,0.0607,0.3503,pyc_xmeans,titanic_y.zip
12,18,inf,20,0.0251922607421875,0.2742,1473.7498,0.9709,0.5463,0.1128,0.0921,0.0655,0.0731,0.1383,0.0497,0.0731,0.462,pyc_xmeans,titanic_y.zip
12,22,1000.0,100,0.031630516052246,0.2356,1395.6053,1.0378,0.5009,0.0427,0.1105,0.0599,0.067,0.1659,0.042,0.067,0.2743,pyc_xmeans,titanic_y.zip
12,22,1000.0,20,0.0334234237670898,0.2464,1412.9452,1.0543,0.4985,0.0389,0.1071,0.0568,0.0637,0.1608,0.0397,0.0637,0.2624,pyc_xmeans,titanic_y.zip
12,22,100.0,100,0.0293834209442138,0.2464,1440.3107,1.0137,0.5112,0.0566,0.0977,0.0579,0.066,0.1467,0.0426,0.066,0.3386,pyc_xmeans,titanic_y.zip
12,22,100.0,20,0.0299444198608398,0.2325,1495.6003,1.1287,0.5042,0.0482,0.1131,0.062,0.069,0.1698,0.0433,0.069,0.2884,pyc_xmeans,titanic_y.zip
12,22,20.0,20,0.0278155803680419,0.2323,1359.1125,1.0991,0.5059,0.0499,0.0988,0.0552,0.0627,0.1483,0.0397,0.0627,0.3038,pyc_xmeans,titanic_y.zip
12,22,inf,100,0.0277609825134277,0.2253,1404.5126,1.001,0.506,0.0501,0.0994,0.0558,0.0634,0.1493,0.0402,0.0634,0.3042,pyc_xmeans,titanic_y.zip
12,22,inf,20,0.0223860740661621,0.2397,1623.306,1.0352,0.5082,0.053,0.0958,0.0574,0.0636,0.1438,0.0408,0.0636,0.3185,pyc_xmeans,titanic_y.zip
12,2,1000.0,100,0.0078372955322265,0.3801,1821.0139,0.9901,0.5472,0.0964,0.044,0.0385,0.0448,0.066,0.0339,0.0448,0.5507,pyc_xmeans,titanic_y.zip
12,2,1000.0,20,0.0101664066314697,0.1992,1660.5862,1.1751,0.5395,0.0885,0.0478,0.0406,0.0467,0.0718,0.0346,0.0467,0.5086,pyc_xmeans,titanic_y.zip
12,2,100.0,100,0.0087177753448486,0.3862,1809.767,1.0032,0.5467,0.0946,0.042,0.0366,0.0429,0.063,0.0325,0.0429,0.5527,pyc_xmeans,titanic_y.zip
12,2,100.0,20,0.0095529556274414,0.3894,1750.1969,0.9027,0.5503,0.1007,0.0455,0.0412,0.0479,0.0683,0.0368,0.0479,0.5618,pyc_xmeans,titanic_y.zip
12,2,20.0,20,0.009714126586914,0.3667,1473.6733,1.1327,0.5677,0.1249,0.0522,0.054,0.0611,0.0784,0.0501,0.0611,0.6229,pyc_xmeans,titanic_y.zip
12,2,inf,100,0.0077097415924072,0.2787,1785.3237,1.0993,0.5343,0.0827,0.0513,0.0409,0.0465,0.077,0.0333,0.0465,0.4806,pyc_xmeans,titanic_y.zip
12,2,inf,20,0.0092322826385498,0.3814,1834.2811,0.9328,0.5484,0.0974,0.0448,0.0395,0.0457,0.0673,0.0346,0.0457,0.5576,pyc_xmeans,titanic_y.zip
12,6,1000.0,100,0.0094547271728515,0.3649,1726.3261,1.0283,0.5455,0.0917,0.0427,0.0382,0.0447,0.0641,0.0343,0.0447,0.5543,pyc_xmeans,titanic_y.zip
12,6,1000.0,20,0.0082635879516601,0.2802,1811.7029,1.093,0.5336,0.0816,0.0515,0.041,0.0465,0.0774,0.0332,0.0465,0.479,pyc_xmeans,titanic_y.zip
12,6,100.0,100,0.009528636932373,0.3792,1707.7425,0.9452,0.5479,0.0963,0.0431,0.0384,0.045,0.0647,0.0345,0.045,0.5579,pyc_xmeans,titanic_y.zip
12,6,100.0,20,0.0088331699371337,0.2301,1758.8749,0.9716,0.512,0.0487,0.0479,0.0349,0.0401,0.072,0.0278,0.0401,0.4006,pyc_xmeans,titanic_y.zip
12,6,20.0,20,0.0084617137908935,0.3061,1507.5421,1.0797,0.5532,0.1124,0.0684,0.0603,0.0662,0.1027,0.0489,0.0662,0.5379,pyc_xmeans,titanic_y.zip
12,6,inf,100,0.0093035697937011,0.3858,1803.1954,0.9816,0.5496,0.0992,0.0453,0.0409,0.0474,0.068,0.0363,0.0474,0.5615,pyc_xmeans,titanic_y.zip
12,6,inf,20,0.0098519325256347,0.2026,1510.3937,1.2112,0.5397,0.0893,0.0485,0.0411,0.047,0.0729,0.0347,0.047,0.5062,pyc_xmeans,titanic_y.zip
2,10,1000.0,100,0.0171625614166259,0.3012,1908.2089,1.0865,0.5472,0.1129,0.0787,0.0638,0.0679,0.1182,0.0477,0.0679,0.4711,pyc_xmeans,titanic_y.zip
2,10,1000.0,20,0.0148944854736328,0.3847,2028.1618,0.945,0.5491,0.0989,0.0431,0.0403,0.0456,0.0647,0.0352,0.0456,0.5575,pyc_xmeans,titanic_y.zip
2,10,100.0,100,0.0162432193756103,0.3023,1908.1512,1.0896,0.5471,0.1128,0.0785,0.0636,0.0677,0.1178,0.0475,0.0677,0.4711,pyc_xmeans,titanic_y.zip
2,10,100.0,20,0.0544359683990478,0.4864,1818.2781,0.9074,0.5658,0.1203,0.0479,0.0519,0.0579,0.0719,0.0485,0.0579,0.6235,pyc_xmeans,titanic_y.zip
2,10,20.0,20,0.0205159187316894,0.6247,1786.7697,0.8411,0.5596,0.1053,0.0406,0.0448,0.051,0.061,0.0439,0.051,0.6278,pyc_xmeans,titanic_y.zip
2,10,inf,100,0.0153577327728271,0.3806,2028.078,0.9472,0.5485,0.0981,0.043,0.0402,0.0454,0.0646,0.035,0.0454,0.5554,pyc_xmeans,titanic_y.zip
2,10,inf,20,0.0161137580871582,0.3912,1895.7341,0.898,0.5474,0.0955,0.0408,0.0378,0.0431,0.0613,0.0333,0.0431,0.5559,pyc_xmeans,titanic_y.zip
2,14,1000.0,100,0.0206851959228515,0.2388,1834.6693,1.0431,0.5176,0.0617,0.0785,0.0562,0.0618,0.1179,0.0418,0.0618,0.3952,pyc_xmeans,titanic_y.zip
2,14,1000.0,20,0.0192384719848632,0.2815,1806.5946,1.0864,0.5454,0.1102,0.0846,0.0637,0.0694,0.1271,0.0478,0.0694,0.4648,pyc_xmeans,titanic_y.zip
2,14,100.0,100,0.0174434185028076,0.2131,1702.2692,1.0787,0.5151,0.0556,0.0633,0.0456,0.0515,0.0951,0.0353,0.0515,0.3992,pyc_xmeans,titanic_y.zip
2,14,100.0,20,0.0200293064117431,0.2172,1749.1532,1.0702,0.511,0.0463,0.0477,0.0333,0.0394,0.0716,0.0272,0.0394,0.4013,pyc_xmeans,titanic_y.zip
2,14,20.0,20,0.0212438106536865,0.3015,1482.6517,1.0088,0.5578,0.1228,0.0771,0.0657,0.0725,0.1158,0.0528,0.0725,0.5371,pyc_xmeans,titanic_y.zip
2,14,inf,100,0.0202903747558593,0.3185,1718.3114,0.955,0.5559,0.119,0.0767,0.0649,0.0716,0.1151,0.052,0.0716,0.5355,pyc_xmeans,titanic_y.zip
2,14,inf,20,0.0197954177856445,0.2822,1771.3394,1.0608,0.542,0.1015,0.0676,0.0512,0.0572,0.1016,0.0398,0.0572,0.471,pyc_xmeans,titanic_y.zip
2,18,1000.0,100,0.0162944793701171,0.5921,1640.0228,0.8914,0.5602,0.1069,0.0442,0.0465,0.054,0.0663,0.0456,0.054,0.6274,pyc_xmeans,titanic_y.zip
2,18,1000.0,20,0.0252683162689209,0.2451,1640.8411,1.1123,0.5117,0.0578,0.0973,0.0598,0.0661,0.1461,0.0427,0.0661,0.3383,pyc_xmeans,titanic_y.zip
2,18,100.0,100,0.0268278121948242,0.2479,1582.6456,0.9867,0.5131,0.0588,0.0906,0.0572,0.0639,0.136,0.0418,0.0639,0.3516,pyc_xmeans,titanic_y.zip
2,18,100.0,20,0.0301723480224609,0.2281,1610.6289,1.0609,0.506,0.0477,0.0764,0.0455,0.0519,0.1147,0.0335,0.0519,0.3217,pyc_xmeans,titanic_y.zip
2,18,20.0,20,0.0291943550109863,0.2189,1479.6469,1.1397,0.5081,0.0496,0.0707,0.0428,0.0494,0.1061,0.0322,0.0494,0.3405,pyc_xmeans,titanic_y.zip
2,18,inf,100,0.0312025547027587,0.2373,1650.0325,1.0924,0.508,0.0535,0.1016,0.0601,0.0661,0.1526,0.0422,0.0661,0.3119,pyc_xmeans,titanic_y.zip
2,18,inf,20,0.0239408016204834,0.2385,1630.0917,1.032,0.508,0.0523,0.092,0.0551,0.0613,0.1381,0.0394,0.0613,0.3199,pyc_xmeans,titanic_y.zip
