n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,100,Cao,11,False,42,4,0.2034993171691894,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,,,kmodes,2d-4c_y.zip
10,100,Cao,11,False,42,4,0.1503703594207763,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,1000.0,20.0,kmodes,2d-4c_y.zip
10,100,Cao,11,False,42,4,0.1498425006866455,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,100.0,20.0,kmodes,2d-4c_y.zip
10,100,Cao,11,False,42,4,0.1480069160461425,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,inf,20.0,kmodes,2d-4c_y.zip
10,300,Cao,11,False,42,4,0.1993041038513183,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,,,kmodes,2d-4c_y.zip
10,300,Cao,11,False,42,4,0.1470646858215332,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,1000.0,20.0,kmodes,2d-4c_y.zip
10,300,Cao,11,False,42,4,0.1456227302551269,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,100.0,20.0,kmodes,2d-4c_y.zip
10,300,Cao,11,False,42,4,0.1483597755432129,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,inf,20.0,kmodes,2d-4c_y.zip
10,500,Cao,11,False,42,4,0.1964976787567138,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,,,kmodes,2d-4c_y.zip
10,500,Cao,11,False,42,4,0.1453125476837158,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,1000.0,20.0,kmodes,2d-4c_y.zip
10,500,Cao,11,False,42,4,0.1473739147186279,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,100.0,20.0,kmodes,2d-4c_y.zip
10,500,Cao,11,False,42,4,0.1473925113677978,-0.7457,1.5069,3.5444,0.3275,-0.0056,0.0135,0.004,0.0202,0.011,0.1275,0.0202,0.5552,inf,20.0,kmodes,2d-4c_y.zip
12,100,Cao,11,False,42,4,0.2321667671203613,-0.8056,1.6193,3.1506,0.3308,-0.0041,0.0186,0.0079,0.0273,0.0151,0.1436,0.0273,0.5543,,,kmodes,2d-4c_y.zip
12,100,Cao,11,False,42,4,0.1648938655853271,-0.8056,1.6193,3.1506,0.3308,-0.0041,0.0186,0.0079,0.0273,0.0151,0.1436,0.0273,0.5543,1000.0,20.0,kmodes,2d-4c_y.zip
12,100,Cao,11,False,42,4,0.1636242866516113,-0.8056,1.6193,3.1506,0.3308,-0.0041,0.0186,0.0079,0.0273,0.0151,0.1436,0.0273,0.5543,100.0,20.0,kmodes,2d-4c_y.zip
