min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,inf,correlation,auto,4,13.800440311431885,0.3455,2861.2145,1.2142,0.5582,0.1168,0.5956,0.3498,0.3504,0.22,0.8598,0.3504,0.3427,100.0,20.0,skl_OPTICS,s-set1_y.zip
2,inf,correlation,auto,4,13.761477947235107,0.3455,2861.2145,1.2142,0.5582,0.1168,0.5956,0.3498,0.3504,0.22,0.8598,0.3504,0.3427,inf,20.0,skl_OPTICS,s-set1_y.zip
2,inf,cosine,auto,4,24.597703456878666,-0.6137,15.7615,22.8558,0.9288,0.0076,2.302,0.2153,0.4707,0.8504,0.3254,0.4707,0.0335,1000.0,20.0,skl_OPTICS,s-set1_y.zip
2,inf,cosine,auto,4,20.5178337097168,-0.6137,15.7615,22.8558,0.9288,0.0076,2.302,0.2153,0.4707,0.8504,0.3254,0.4707,0.0335,100.0,20.0,skl_OPTICS,s-set1_y.zip
2,inf,cosine,auto,4,20.290623426437374,-0.6137,15.7615,22.8558,0.9288,0.0076,2.302,0.2153,0.4707,0.8504,0.3254,0.4707,0.0335,inf,20.0,skl_OPTICS,s-set1_y.zip
2,inf,euclidean,auto,4,11.005711793899536,0.2184,10.396,1.1988,0.8999,0.0066,2.1729,0.2527,0.483,0.8028,0.3454,0.483,0.0577,1000.0,20.0,skl_OPTICS,s-set1_y.zip
2,inf,euclidean,auto,4,11.140618085861206,0.2184,10.396,1.1988,0.8999,0.0066,2.1729,0.2527,0.483,0.8028,0.3454,0.483,0.0577,100.0,20.0,skl_OPTICS,s-set1_y.zip
2,inf,euclidean,auto,4,10.281723499298096,0.2184,10.396,1.1988,0.8999,0.0066,2.1729,0.2527,0.483,0.8028,0.3454,0.483,0.0577,inf,20.0,skl_OPTICS,s-set1_y.zip
3,inf,correlation,auto,4,13.808861494064333,0.3455,2861.2145,1.2142,0.5582,0.1168,0.5956,0.3498,0.3504,0.22,0.8598,0.3504,0.3427,1000.0,20.0,skl_OPTICS,s-set1_y.zip
3,inf,correlation,auto,4,13.872072696685793,0.3455,2861.2145,1.2142,0.5582,0.1168,0.5956,0.3498,0.3504,0.22,0.8598,0.3504,0.3427,100.0,20.0,skl_OPTICS,s-set1_y.zip
3,inf,correlation,auto,4,13.838925123214722,0.3455,2861.2145,1.2142,0.5582,0.1168,0.5956,0.3498,0.3504,0.22,0.8598,0.3504,0.3427,inf,20.0,skl_OPTICS,s-set1_y.zip
3,inf,cosine,auto,4,21.200436115264893,-0.6085,16.1006,19.2198,0.9071,0.0104,2.0154,0.2818,0.4609,0.7446,0.3338,0.4609,0.0565,1000.0,20.0,skl_OPTICS,s-set1_y.zip
3,inf,cosine,auto,4,21.39632797241211,-0.6085,16.1006,19.2198,0.9071,0.0104,2.0154,0.2818,0.4609,0.7446,0.3338,0.4609,0.0565,100.0,20.0,skl_OPTICS,s-set1_y.zip
3,inf,cosine,auto,4,20.161760330200195,-0.6085,16.1006,19.2198,0.9071,0.0104,2.0154,0.2818,0.4609,0.7446,0.3338,0.4609,0.0565,inf,20.0,skl_OPTICS,s-set1_y.zip
3,inf,euclidean,auto,4,10.31894874572754,-0.1043,8.5821,1.2208,0.7693,0.0045,1.5296,0.2762,0.4356,0.5651,0.3543,0.4356,0.1173,1000.0,20.0,skl_OPTICS,s-set1_y.zip
3,inf,euclidean,auto,4,11.44581151008606,-0.1043,8.5821,1.2208,0.7693,0.0045,1.5296,0.2762,0.4356,0.5651,0.3543,0.4356,0.1173,100.0,20.0,skl_OPTICS,s-set1_y.zip
