n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
15,correlation,average,0.281238317489624,-0.1391,208.1322,3.9963,0.562,0.1165,0.6058,0.3478,0.3521,0.2238,0.8253,0.3521,0.3406,skl_agglomerativeClust,s-set1_y.zip
15,correlation,complete,0.2706320285797119,0.1129,205.1853,109.8319,0.7144,0.1008,0.6159,0.2621,0.2686,0.2275,0.3279,0.2686,0.2541,skl_agglomerativeClust,s-set1_y.zip
15,correlation,single,0.1550993919372558,0.0782,206.9693,0.6997,0.56,0.1166,0.6006,0.3478,0.351,0.2219,0.8394,0.351,0.3416,skl_agglomerativeClust,s-set1_y.zip
15,cosine,average,0.3614349365234375,0.3676,3472.158,1.3512,0.958,0.7012,2.1919,0.8358,0.8371,0.8098,0.8663,0.8371,0.729,skl_agglomerativeClust,s-set1_y.zip
15,cosine,complete,0.3563687801361084,0.284,3133.4121,1.5419,0.9469,0.6108,2.0957,0.7908,0.7924,0.7742,0.8115,0.7924,0.6421,skl_agglomerativeClust,s-set1_y.zip
15,cosine,single,0.1374597549438476,-0.0455,1483.1277,1.5531,0.8485,0.3984,1.5472,0.7114,0.7135,0.5716,0.9493,0.7135,0.5397,skl_agglomerativeClust,s-set1_y.zip
15,euclidean,average,0.3699584007263183,0.7097,22408.7709,0.3668,0.9987,0.9897,2.6804,0.9902,0.9902,0.9902,0.9902,0.9902,0.9904,skl_agglomerativeClust,s-set1_y.zip
15,euclidean,complete,0.3665947914123535,0.63,14556.3304,0.4526,0.9878,0.906,2.5639,0.9566,0.9569,0.9472,0.9668,0.9569,0.9134,skl_agglomerativeClust,s-set1_y.zip
15,euclidean,single,0.0984976291656494,-0.0457,1145.0543,0.9356,0.8757,0.4634,1.782,0.7904,0.7916,0.6584,0.9926,0.7916,0.5892,skl_agglomerativeClust,s-set1_y.zip
15,euclidean,ward,0.4793331623077392,0.7089,22318.2763,0.3645,0.9985,0.9881,2.6778,0.9893,0.9894,0.9893,0.9895,0.9894,0.9889,skl_agglomerativeClust,s-set1_y.zip
