n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,correlation,average,1000.0,100,3.556782960891724,0.0255,590.6807,2.4757,skl_agglomerativeClust,fico.zip
10,correlation,average,1000.0,20,3.5908303260803223,0.0255,590.6807,2.4757,skl_agglomerativeClust,fico.zip
10,correlation,average,100.0,100,3.594863176345825,-0.0319,412.0584,2.5057,skl_agglomerativeClust,fico.zip
10,correlation,average,100.0,20,3.5567400455474854,0.0255,590.6807,2.4757,skl_agglomerativeClust,fico.zip
10,correlation,average,20.0,20,3.0622341632843018,0.0623,1171.9766,2.3817,skl_agglomerativeClust,fico.zip
10,correlation,average,inf,100,3.581339120864868,0.0255,590.6807,2.4757,skl_agglomerativeClust,fico.zip
10,correlation,average,inf,20,3.5677919387817383,0.0255,590.6807,2.4757,skl_agglomerativeClust,fico.zip
10,correlation,complete,1000.0,100,3.363191843032837,-0.0102,490.9615,2.8852,skl_agglomerativeClust,fico.zip
10,correlation,complete,1000.0,20,3.3408679962158203,-0.0102,490.9615,2.8852,skl_agglomerativeClust,fico.zip
10,correlation,complete,100.0,100,3.39521861076355,-0.0033,559.8794,2.8269,skl_agglomerativeClust,fico.zip
10,correlation,complete,100.0,20,3.342413663864136,-0.0102,490.9615,2.8852,skl_agglomerativeClust,fico.zip
10,correlation,complete,20.0,20,2.7941391468048096,-0.0152,546.1295,3.3656,skl_agglomerativeClust,fico.zip
10,correlation,complete,inf,100,3.3472611904144287,-0.0102,490.9615,2.8852,skl_agglomerativeClust,fico.zip
10,correlation,complete,inf,20,3.351752281188965,-0.0102,490.9615,2.8852,skl_agglomerativeClust,fico.zip
10,correlation,single,1000.0,100,1.1829190254211426,-0.357,0.349,1.9403,skl_agglomerativeClust,fico.zip
10,correlation,single,1000.0,20,1.17933988571167,-0.357,0.349,1.9403,skl_agglomerativeClust,fico.zip
10,correlation,single,100.0,100,1.1934657096862793,-0.3446,0.3984,1.7969,skl_agglomerativeClust,fico.zip
10,correlation,single,100.0,20,1.2004806995391846,-0.357,0.349,1.9403,skl_agglomerativeClust,fico.zip
10,correlation,single,20.0,20,1.1658854484558103,-0.3468,0.3814,1.9505,skl_agglomerativeClust,fico.zip
10,correlation,single,inf,100,1.1789917945861816,-0.357,0.349,1.9403,skl_agglomerativeClust,fico.zip
10,correlation,single,inf,20,1.1819698810577393,-0.357,0.349,1.9403,skl_agglomerativeClust,fico.zip
10,cosine,average,1000.0,100,3.5755207538604736,0.0049,1421.0453,2.1893,skl_agglomerativeClust,fico.zip
10,cosine,average,1000.0,20,3.5839953422546387,0.0049,1421.0453,2.1893,skl_agglomerativeClust,fico.zip
10,cosine,average,100.0,100,3.564013957977295,0.0084,1120.2668,2.2336,skl_agglomerativeClust,fico.zip
10,cosine,average,100.0,20,3.583220958709717,0.0049,1421.0453,2.1893,skl_agglomerativeClust,fico.zip
10,cosine,average,20.0,20,3.003307580947876,0.0196,1211.7583,2.3695,skl_agglomerativeClust,fico.zip
10,cosine,average,inf,100,3.5945539474487305,0.0049,1421.0453,2.1893,skl_agglomerativeClust,fico.zip
10,cosine,average,inf,20,3.588918924331665,0.0049,1421.0453,2.1893,skl_agglomerativeClust,fico.zip
10,cosine,complete,1000.0,100,3.364285707473755,-0.0086,488.0632,2.7013,skl_agglomerativeClust,fico.zip
10,cosine,complete,1000.0,20,3.3555948734283447,-0.0086,488.0632,2.7013,skl_agglomerativeClust,fico.zip
10,cosine,complete,100.0,100,3.427742958068848,0.0129,720.813,2.9111,skl_agglomerativeClust,fico.zip
10,cosine,complete,100.0,20,3.3696177005767822,-0.0086,488.0632,2.7013,skl_agglomerativeClust,fico.zip
10,cosine,complete,20.0,20,2.789478302001953,-0.0345,384.9208,3.3127,skl_agglomerativeClust,fico.zip
10,cosine,complete,inf,100,3.3701980113983154,-0.0086,488.0632,2.7013,skl_agglomerativeClust,fico.zip
10,cosine,complete,inf,20,3.365764141082764,-0.0086,488.0632,2.7013,skl_agglomerativeClust,fico.zip
10,cosine,single,1000.0,100,1.178560495376587,-0.2157,869.4321,1.398,skl_agglomerativeClust,fico.zip
10,cosine,single,1000.0,20,1.1839418411254885,-0.2157,869.4321,1.398,skl_agglomerativeClust,fico.zip
10,cosine,single,100.0,100,1.183393955230713,-0.2134,869.4549,1.3641,skl_agglomerativeClust,fico.zip
10,cosine,single,100.0,20,1.1913230419158936,-0.2157,869.4321,1.398,skl_agglomerativeClust,fico.zip
10,cosine,single,20.0,20,1.1768701076507568,-0.2041,869.6938,1.2579,skl_agglomerativeClust,fico.zip
10,cosine,single,inf,100,1.1784048080444336,-0.2157,869.4321,1.398,skl_agglomerativeClust,fico.zip
10,cosine,single,inf,20,1.1930782794952393,-0.2157,869.4321,1.398,skl_agglomerativeClust,fico.zip
10,euclidean,average,1000.0,100,3.872882127761841,0.4886,948.8128,0.4744,skl_agglomerativeClust,fico.zip
10,euclidean,average,1000.0,20,3.885052442550659,0.4886,948.8128,0.4744,skl_agglomerativeClust,fico.zip
10,euclidean,average,100.0,100,3.8672473430633545,0.551,951.448,0.483,skl_agglomerativeClust,fico.zip
10,euclidean,average,100.0,20,3.910121202468872,0.4886,948.8128,0.4744,skl_agglomerativeClust,fico.zip
10,euclidean,average,20.0,20,3.333766460418701,0.5504,954.7152,0.4937,skl_agglomerativeClust,fico.zip
10,euclidean,average,inf,100,3.902976751327514,0.4886,948.8128,0.4744,skl_agglomerativeClust,fico.zip
10,euclidean,average,inf,20,3.884474277496338,0.4886,948.8128,0.4744,skl_agglomerativeClust,fico.zip
10,euclidean,complete,1000.0,100,3.6199734210968018,0.1906,1158.0766,1.3411,skl_agglomerativeClust,fico.zip
10,euclidean,complete,1000.0,20,3.6378133296966553,0.1906,1158.0766,1.3411,skl_agglomerativeClust,fico.zip
10,euclidean,complete,100.0,100,3.6290395259857178,0.1766,1038.4048,1.0973,skl_agglomerativeClust,fico.zip
10,euclidean,complete,100.0,20,3.656578302383423,0.1906,1158.0766,1.3411,skl_agglomerativeClust,fico.zip
10,euclidean,complete,20.0,20,3.1715245246887207,0.0951,1193.8303,1.6092,skl_agglomerativeClust,fico.zip
10,euclidean,complete,inf,100,3.6439173221588135,0.1906,1158.0766,1.3411,skl_agglomerativeClust,fico.zip
10,euclidean,complete,inf,20,3.6390554904937744,0.1906,1158.0766,1.3411,skl_agglomerativeClust,fico.zip
10,euclidean,single,1000.0,100,1.6788129806518557,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,single,1000.0,20,1.6868014335632324,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,single,100.0,100,1.6685216426849363,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,single,100.0,20,1.6710879802703855,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,single,20.0,20,1.7676382064819336,0.4569,916.9966,0.2845,skl_agglomerativeClust,fico.zip
10,euclidean,single,inf,100,1.6885170936584473,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,single,inf,20,1.6720669269561768,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,ward,1000.0,100,3.723201036453247,0.0942,1716.0214,2.1446,skl_agglomerativeClust,fico.zip
10,euclidean,ward,1000.0,20,3.735021114349365,0.0942,1716.0214,2.1446,skl_agglomerativeClust,fico.zip
10,euclidean,ward,100.0,100,3.686756849288941,0.0849,1726.3694,2.1304,skl_agglomerativeClust,fico.zip
10,euclidean,ward,100.0,20,3.7613470554351807,0.0942,1716.0214,2.1446,skl_agglomerativeClust,fico.zip
10,euclidean,ward,20.0,20,3.2243545055389404,0.1126,1690.1156,2.0809,skl_agglomerativeClust,fico.zip
10,euclidean,ward,inf,100,3.7426116466522217,0.0942,1716.0214,2.1446,skl_agglomerativeClust,fico.zip
10,euclidean,ward,inf,20,3.738281488418579,0.0942,1716.0214,2.1446,skl_agglomerativeClust,fico.zip
12,correlation,average,1000.0,100,3.548422336578369,-0.0012,503.1706,2.4616,skl_agglomerativeClust,fico.zip
12,correlation,average,1000.0,20,3.5564866065979004,-0.0012,503.1706,2.4616,skl_agglomerativeClust,fico.zip
12,correlation,average,100.0,100,3.591346740722656,-0.0449,344.0691,2.5701,skl_agglomerativeClust,fico.zip
12,correlation,average,100.0,20,3.5700464248657227,-0.0012,503.1706,2.4616,skl_agglomerativeClust,fico.zip
12,correlation,average,20.0,20,3.0643630027771,0.0596,1047.6542,2.357,skl_agglomerativeClust,fico.zip
12,correlation,average,inf,100,3.5517325401306152,-0.0012,503.1706,2.4616,skl_agglomerativeClust,fico.zip
12,correlation,average,inf,20,3.5540883541107178,-0.0012,503.1706,2.4616,skl_agglomerativeClust,fico.zip
12,correlation,complete,1000.0,100,3.367359161376953,-0.0137,430.46,2.7596,skl_agglomerativeClust,fico.zip
12,correlation,complete,1000.0,20,3.330946683883667,-0.0137,430.46,2.7596,skl_agglomerativeClust,fico.zip
12,correlation,complete,100.0,100,3.3324782848358154,-0.0043,484.8147,2.7603,skl_agglomerativeClust,fico.zip
