n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.0931191444396972,0.4559,2194.3722,0.7774,0.8797,0.4256,1.7383,0.7352,0.7388,0.5916,0.9835,0.7388,0.5552,skl_bis_kmeans,2d-20c-no0_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.0907666683197021,0.4559,2194.3722,0.7774,0.8797,0.4256,1.7383,0.7352,0.7388,0.5916,0.9835,0.7388,0.5552,skl_bis_kmeans,2d-20c-no0_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.0823173522949218,0.4559,2194.3722,0.7774,0.8797,0.4256,1.7383,0.7352,0.7388,0.5916,0.9835,0.7388,0.5552,skl_bis_kmeans,2d-20c-no0_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.0905442237854003,0.4559,2194.3722,0.7774,0.8797,0.4256,1.7383,0.7352,0.7388,0.5916,0.9835,0.7388,0.5552,skl_bis_kmeans,2d-20c-no0_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.0965356826782226,0.4559,2194.3722,0.7774,0.8797,0.4256,1.7383,0.7352,0.7388,0.5916,0.9835,0.7388,0.5552,skl_bis_kmeans,2d-20c-no0_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.091998815536499,0.4559,2194.3722,0.7774,0.8797,0.4256,1.7383,0.7352,0.7388,0.5916,0.9835,0.7388,0.5552,skl_bis_kmeans,2d-20c-no0_y.zip-6_k
