n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.0767965316772461,0.3975,2207.6343,0.8752,0.5473,0.0938,0.0385,0.0384,0.0427,0.0578,0.0338,0.0427,0.5628,skl_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.0597195625305175,0.3975,2207.6343,0.8752,0.5473,0.0938,0.0385,0.0384,0.0427,0.0578,0.0338,0.0427,0.5628,skl_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,0.0824837684631347,0.3975,2207.6343,0.8752,0.5473,0.0938,0.0385,0.0384,0.0427,0.0578,0.0338,0.0427,0.5628,skl_kmeans,titanic_y.zip-8_k
