n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,euclidean,average,0.3683967590332031,0.5022,6244.2413,0.607,0.9437,0.6676,2.1383,0.8681,0.8688,0.7899,0.9653,0.8688,0.7253,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,average,0.3674652576446533,0.5022,6244.2413,0.607,0.9437,0.6676,2.1383,0.8681,0.8688,0.7899,0.9653,0.8688,0.7253,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,average,0.3687357902526855,0.5022,6244.2413,0.607,0.9437,0.6676,2.1383,0.8681,0.8688,0.7899,0.9653,0.8688,0.7253,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,complete,0.3406429290771484,0.435,5599.4221,0.7529,0.9344,0.5969,1.9798,0.798,0.799,0.7313,0.8805,0.799,0.6511,,,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,complete,0.3576576709747314,0.435,5599.4221,0.7529,0.9344,0.5969,1.9798,0.798,0.799,0.7313,0.8805,0.799,0.6511,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,complete,0.3578741550445556,0.435,5599.4221,0.7529,0.9344,0.5969,1.9798,0.798,0.799,0.7313,0.8805,0.799,0.6511,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,complete,0.3671298027038574,0.435,5599.4221,0.7529,0.9344,0.5969,1.9798,0.798,0.799,0.7313,0.8805,0.799,0.6511,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,single,0.104548692703247,-0.5539,2.2369,0.8386,0.0704,0.0,0.006,0.0004,0.0044,0.0022,0.2952,0.0044,0.2575,,,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,single,0.1061320304870605,-0.5539,2.2369,0.8386,0.0704,0.0,0.006,0.0004,0.0044,0.0022,0.2952,0.0044,0.2575,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,single,0.1073369979858398,-0.5539,2.2369,0.8386,0.0704,0.0,0.006,0.0004,0.0044,0.0022,0.2952,0.0044,0.2575,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,single,0.1047542095184326,-0.5539,2.2369,0.8386,0.0704,0.0,0.006,0.0004,0.0044,0.0022,0.2952,0.0044,0.2575,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,ward,0.4224708080291748,0.4887,6407.8083,0.6157,0.9426,0.6616,2.1257,0.8632,0.8639,0.7852,0.9601,0.8639,0.7196,,,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,ward,0.4264051914215088,0.4887,6407.8083,0.6157,0.9426,0.6616,2.1257,0.8632,0.8639,0.7852,0.9601,0.8639,0.7196,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,ward,0.4260931015014648,0.4887,6407.8083,0.6157,0.9426,0.6616,2.1257,0.8632,0.8639,0.7852,0.9601,0.8639,0.7196,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,ward,0.4274899959564209,0.4887,6407.8083,0.6157,0.9426,0.6616,2.1257,0.8632,0.8639,0.7852,0.9601,0.8639,0.7196,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,average,0.2787928581237793,-0.4641,195.451,2.9468,0.5614,0.1177,0.6063,0.3493,0.353,0.224,0.8329,0.353,0.3427,,,skl_agglomerativeClust,s-set2_y.zip
12,correlation,average,0.2936031818389892,-0.4641,195.451,2.9468,0.5614,0.1177,0.6063,0.3493,0.353,0.224,0.8329,0.353,0.3427,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,average,0.2999591827392578,-0.4641,195.451,2.9468,0.5614,0.1177,0.6063,0.3493,0.353,0.224,0.8329,0.353,0.3427,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,average,0.2937569618225097,-0.4641,195.451,2.9468,0.5614,0.1177,0.6063,0.3493,0.353,0.224,0.8329,0.353,0.3427,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,complete,0.2768208980560303,-0.0401,194.5105,173.0212,0.741,0.0998,0.6075,0.2605,0.2655,0.2244,0.3251,0.2655,0.2405,,,skl_agglomerativeClust,s-set2_y.zip
12,correlation,complete,0.2883884906768799,-0.0401,194.5105,173.0212,0.741,0.0998,0.6075,0.2605,0.2655,0.2244,0.3251,0.2655,0.2405,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,complete,0.2943921089172363,-0.0401,194.5105,173.0212,0.741,0.0998,0.6075,0.2605,0.2655,0.2244,0.3251,0.2655,0.2405,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,complete,0.2892923355102539,-0.0401,194.5105,173.0212,0.741,0.0998,0.6075,0.2605,0.2655,0.2244,0.3251,0.2655,0.2405,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,single,0.1537785530090332,-0.0687,195.345,1.012,0.5595,0.1179,0.6029,0.3503,0.3529,0.2227,0.8498,0.3529,0.3437,,,skl_agglomerativeClust,s-set2_y.zip
12,correlation,single,0.1535651683807373,-0.0687,195.345,1.012,0.5595,0.1179,0.6029,0.3503,0.3529,0.2227,0.8498,0.3529,0.3437,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,single,0.1532912254333496,-0.0687,195.345,1.012,0.5595,0.1179,0.6029,0.3503,0.3529,0.2227,0.8498,0.3529,0.3437,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,single,0.1536245346069336,-0.0687,195.345,1.012,0.5595,0.1179,0.6029,0.3503,0.3529,0.2227,0.8498,0.3529,0.3437,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,cosine,average,0.3317546844482422,0.3924,3854.3649,1.0446,0.9535,0.6791,2.0865,0.8086,0.8097,0.7708,0.8529,0.8097,0.7118,,,skl_agglomerativeClust,s-set2_y.zip
12,cosine,average,0.3412909507751465,0.3924,3854.3649,1.0446,0.9535,0.6791,2.0865,0.8086,0.8097,0.7708,0.8529,0.8097,0.7118,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,cosine,average,0.3406925201416015,0.3924,3854.3649,1.0446,0.9535,0.6791,2.0865,0.8086,0.8097,0.7708,0.8529,0.8097,0.7118,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,cosine,average,0.3409595489501953,0.3924,3854.3649,1.0446,0.9535,0.6791,2.0865,0.8086,0.8097,0.7708,0.8529,0.8097,0.7118,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,cosine,complete,0.3234190940856933,0.3468,3607.083,1.2478,0.9402,0.5959,1.9696,0.7665,0.7679,0.7276,0.813,0.7679,0.6366,,,skl_agglomerativeClust,s-set2_y.zip
12,cosine,complete,0.3360507488250732,0.3468,3607.083,1.2478,0.9402,0.5959,1.9696,0.7665,0.7679,0.7276,0.813,0.7679,0.6366,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,cosine,complete,0.3364982604980469,0.3468,3607.083,1.2478,0.9402,0.5959,1.9696,0.7665,0.7679,0.7276,0.813,0.7679,0.6366,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,cosine,complete,0.3396205902099609,0.3468,3607.083,1.2478,0.9402,0.5959,1.9696,0.7665,0.7679,0.7276,0.813,0.7679,0.6366,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,cosine,single,0.1367535591125488,0.085,1739.8199,4.9874,0.8259,0.348,1.403,0.6552,0.6573,0.5183,0.8984,0.6573,0.4986,,,skl_agglomerativeClust,s-set2_y.zip
12,cosine,single,0.1354501247406005,0.085,1739.8199,4.9874,0.8259,0.348,1.403,0.6552,0.6573,0.5183,0.8984,0.6573,0.4986,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,cosine,single,0.1342546939849853,0.085,1739.8199,4.9874,0.8259,0.348,1.403,0.6552,0.6573,0.5183,0.8984,0.6573,0.4986,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,cosine,single,0.1353211402893066,0.085,1739.8199,4.9874,0.8259,0.348,1.403,0.6552,0.6573,0.5183,0.8984,0.6573,0.4986,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,average,0.3553872108459472,0.5392,7765.8344,0.574,0.9678,0.7809,2.3278,0.9052,0.9058,0.8599,0.9569,0.9058,0.8088,,,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,average,0.3698537349700928,0.5392,7765.8344,0.574,0.9678,0.7809,2.3278,0.9052,0.9058,0.8599,0.9569,0.9058,0.8088,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,average,0.3798928260803222,0.5392,7765.8344,0.574,0.9678,0.7809,2.3278,0.9052,0.9058,0.8599,0.9569,0.9058,0.8088,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,average,0.3710083961486816,0.5392,7765.8344,0.574,0.9678,0.7809,2.3278,0.9052,0.9058,0.8599,0.9569,0.9058,0.8088,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,complete,0.3419966697692871,0.442,6137.5534,0.7771,0.9459,0.6351,2.0947,0.8151,0.8162,0.7738,0.8636,0.8162,0.6737,,,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,complete,0.3595480918884277,0.442,6137.5534,0.7771,0.9459,0.6351,2.0947,0.8151,0.8162,0.7738,0.8636,0.8162,0.6737,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,complete,0.3601224422454834,0.442,6137.5534,0.7771,0.9459,0.6351,2.0947,0.8151,0.8162,0.7738,0.8636,0.8162,0.6737,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,complete,0.3582122325897217,0.442,6137.5534,0.7771,0.9459,0.6351,2.0947,0.8151,0.8162,0.7738,0.8636,0.8162,0.6737,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,single,0.1050491333007812,-0.5574,2.4303,0.8029,0.0715,0.0,0.0076,0.0006,0.0056,0.0028,0.2949,0.0056,0.2574,,,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,single,0.1073799133300781,-0.5574,2.4303,0.8029,0.0715,0.0,0.0076,0.0006,0.0056,0.0028,0.2949,0.0056,0.2574,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,single,0.1068449020385742,-0.5574,2.4303,0.8029,0.0715,0.0,0.0076,0.0006,0.0056,0.0028,0.2949,0.0056,0.2574,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,single,0.103860855102539,-0.5574,2.4303,0.8029,0.0715,0.0,0.0076,0.0006,0.0056,0.0028,0.2949,0.0056,0.2574,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,ward,0.4184458255767822,0.5437,8091.0037,0.5827,0.9677,0.7793,2.323,0.9028,0.9034,0.8581,0.9538,0.9034,0.807,,,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,ward,0.4263615608215332,0.5437,8091.0037,0.5827,0.9677,0.7793,2.323,0.9028,0.9034,0.8581,0.9538,0.9034,0.807,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,ward,0.4270756244659424,0.5437,8091.0037,0.5827,0.9677,0.7793,2.323,0.9028,0.9034,0.8581,0.9538,0.9034,0.807,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,euclidean,ward,0.4267315864562988,0.5437,8091.0037,0.5827,0.9677,0.7793,2.323,0.9028,0.9034,0.8581,0.9538,0.9034,0.807,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
15,correlation,average,0.2820391654968261,-0.4735,153.6785,5.2418,0.5625,0.1176,0.6085,0.3484,0.3531,0.2248,0.8233,0.3531,0.3421,,,skl_agglomerativeClust,s-set2_y.zip
15,correlation,complete,0.2699980735778808,-0.0408,153.076,152.2994,0.7892,0.0931,0.6108,0.2447,0.2509,0.2256,0.2826,0.2509,0.2087,,,skl_agglomerativeClust,s-set2_y.zip
15,correlation,single,0.1533365249633789,-0.2439,153.659,1.0783,0.56,0.1178,0.6041,0.3499,0.3531,0.2232,0.8451,0.3531,0.3435,,,skl_agglomerativeClust,s-set2_y.zip
15,cosine,average,0.3361032009124756,0.3906,3513.1502,1.1911,0.96,0.7021,2.1561,0.8094,0.8108,0.7965,0.8257,0.8108,0.7258,,,skl_agglomerativeClust,s-set2_y.zip
15,cosine,complete,0.3302047252655029,0.3292,3218.0731,1.4621,0.951,0.6324,2.0713,0.7759,0.7776,0.7652,0.7904,0.7776,0.6604,,,skl_agglomerativeClust,s-set2_y.zip
15,cosine,single,0.1364741325378418,0.0916,1642.6117,5.0195,0.8572,0.3978,1.5408,0.6879,0.6903,0.5692,0.877,0.6903,0.5266,,,skl_agglomerativeClust,s-set2_y.zip
15,euclidean,average,0.3644328117370605,0.6073,12062.9951,0.4784,0.9918,0.9343,2.5701,0.9494,0.9498,0.9494,0.9502,0.9498,0.9387,,,skl_agglomerativeClust,s-set2_y.zip
15,euclidean,complete,0.3452448844909668,0.4406,6667.2303,0.7098,0.9571,0.6825,2.2404,0.8384,0.8396,0.8276,0.852,0.8396,0.7079,,,skl_agglomerativeClust,s-set2_y.zip
15,euclidean,single,0.1050617694854736,-0.5947,2.7555,0.7685,0.0732,0.0,0.0103,0.001,0.0075,0.0038,0.2968,0.0075,0.2571,,,skl_agglomerativeClust,s-set2_y.zip
15,euclidean,ward,0.4215493202209472,0.6121,12602.803,0.4787,0.9912,0.9298,2.565,0.9476,0.948,0.9475,0.9485,0.948,0.9345,,,skl_agglomerativeClust,s-set2_y.zip
2,correlation,average,0.2787783145904541,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,,,skl_agglomerativeClust,s-set2_y.zip
2,correlation,average,0.2966558933258056,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,correlation,average,0.2938978672027588,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,correlation,average,0.2956206798553467,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
2,correlation,complete,0.2708027362823486,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,,,skl_agglomerativeClust,s-set2_y.zip
2,correlation,complete,0.2877976894378662,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,correlation,complete,0.2897582054138183,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,correlation,complete,0.2896275520324707,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
2,correlation,single,0.1549339294433593,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,,,skl_agglomerativeClust,s-set2_y.zip
2,correlation,single,0.1535823345184326,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,correlation,single,0.1534326076507568,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,correlation,single,0.1535813808441162,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
2,cosine,average,0.3312399387359619,0.3959,3632.1907,1.0732,0.5615,0.1265,0.6518,0.3831,0.3836,0.2408,0.9435,0.3836,0.3564,,,skl_agglomerativeClust,s-set2_y.zip
2,cosine,average,0.339139461517334,0.3959,3632.1907,1.0732,0.5615,0.1265,0.6518,0.3831,0.3836,0.2408,0.9435,0.3836,0.3564,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,cosine,average,0.3399627208709717,0.3959,3632.1907,1.0732,0.5615,0.1265,0.6518,0.3831,0.3836,0.2408,0.9435,0.3836,0.3564,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,cosine,average,0.3509590625762939,0.3959,3632.1907,1.0732,0.5615,0.1265,0.6518,0.3831,0.3836,0.2408,0.9435,0.3836,0.3564,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
2,cosine,complete,0.3328707218170166,0.3258,2495.2595,1.2957,0.5538,0.1165,0.6008,0.3535,0.354,0.2219,0.8743,0.354,0.3439,,,skl_agglomerativeClust,s-set2_y.zip
2,cosine,complete,0.3367002010345459,0.3258,2495.2595,1.2957,0.5538,0.1165,0.6008,0.3535,0.354,0.2219,0.8743,0.354,0.3439,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,cosine,complete,0.3353481292724609,0.3258,2495.2595,1.2957,0.5538,0.1165,0.6008,0.3535,0.354,0.2219,0.8743,0.354,0.3439,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,cosine,complete,0.33699631690979,0.3258,2495.2595,1.2957,0.5538,0.1165,0.6008,0.3535,0.354,0.2219,0.8743,0.354,0.3439,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
2,cosine,single,0.1385183334350586,-0.0137,3.0766,1.119,0.0677,0.0,0.0017,0.0005,0.0012,0.0006,0.3293,0.0012,0.258,,,skl_agglomerativeClust,s-set2_y.zip
2,cosine,single,0.1372640132904052,-0.0137,3.0766,1.119,0.0677,0.0,0.0017,0.0005,0.0012,0.0006,0.3293,0.0012,0.258,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,cosine,single,0.1373960971832275,-0.0137,3.0766,1.119,0.0677,0.0,0.0017,0.0005,0.0012,0.0006,0.3293,0.0012,0.258,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
