n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,100,Cao,11,False,42,4,0.4403958320617676,-0.0349,30.5947,3.9561,kmodes,home.zip
10,300,Cao,11,False,42,4,0.4465000629425049,-0.0349,30.5947,3.9561,kmodes,home.zip
10,500,Cao,11,False,42,4,0.4443526268005371,-0.0349,30.5947,3.9561,kmodes,home.zip
12,100,Cao,11,False,42,4,0.4042341709136963,-0.0715,29.7799,3.9617,kmodes,home.zip
12,300,Cao,11,False,42,4,0.4090349674224853,-0.0715,29.7799,3.9617,kmodes,home.zip
12,500,Cao,11,False,42,4,0.4009454250335693,-0.0715,29.7799,3.9617,kmodes,home.zip
2,100,Cao,11,False,42,4,0.1062574386596679,0.1767,86.148,1.9953,kmodes,home.zip
2,300,Cao,11,False,42,4,0.1079633235931396,0.1767,86.148,1.9953,kmodes,home.zip
2,500,Cao,11,False,42,4,0.1045057773590087,0.1767,86.148,1.9953,kmodes,home.zip
4,100,Cao,11,False,42,4,0.165271520614624,0.0721,54.5872,4.8072,kmodes,home.zip
4,300,Cao,11,False,42,4,0.1645371913909912,0.0721,54.5872,4.8072,kmodes,home.zip
4,500,Cao,11,False,42,4,0.1628017425537109,0.0721,54.5872,4.8072,kmodes,home.zip
6,100,Cao,11,False,42,4,0.2214112281799316,0.0296,40.0933,3.7302,kmodes,home.zip
6,300,Cao,11,False,42,4,0.2207012176513672,0.0296,40.0933,3.7302,kmodes,home.zip
6,500,Cao,11,False,42,4,0.2229540348052978,0.0296,40.0933,3.7302,kmodes,home.zip
8,100,Cao,11,False,42,4,0.3598830699920654,0.06,37.0926,3.7616,kmodes,home.zip
8,300,Cao,11,False,42,4,0.3668537139892578,0.06,37.0926,3.7616,kmodes,home.zip
8,500,Cao,11,False,42,4,0.363581895828247,0.06,37.0926,3.7616,kmodes,home.zip
