threshold,branching_factor,n_clusters,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.5,50,10,0.0688967704772949,0.5795,8107.9139,0.5907,0.9529,0.7074,2.182,0.8785,0.8792,0.8061,0.9668,0.8792,0.7537,skl_birch,s-set1_y.zip
0.5,50,12,0.0676772594451904,0.6125,9824.451,0.4851,0.9698,0.7933,2.3578,0.9159,0.9164,0.871,0.9668,0.9164,0.8195,skl_birch,s-set1_y.zip
0.5,50,15,0.0847487449645996,0.6438,11200.8407,0.4391,0.9787,0.8459,2.4499,0.9351,0.9355,0.9051,0.968,0.9355,0.8622,skl_birch,s-set1_y.zip
0.5,50,2,0.0706920623779296,0.3841,3206.2791,1.1375,0.5633,0.1312,0.6838,0.4021,0.4026,0.2526,0.9911,0.4026,0.3632,skl_birch,s-set1_y.zip
0.5,50,4,0.0683727264404296,0.3913,3950.838,0.8509,0.7755,0.2934,1.2825,0.638,0.6388,0.4738,0.98,0.6388,0.4744,skl_birch,s-set1_y.zip
0.5,50,6,0.0707099437713623,0.4802,5564.07,0.7328,0.8759,0.4568,1.6796,0.7552,0.756,0.6205,0.9672,0.756,0.5794,skl_birch,s-set1_y.zip
0.5,50,8,0.0692896842956543,0.5061,6539.425,0.7018,0.9237,0.5905,1.9552,0.8254,0.8262,0.7223,0.9649,0.8262,0.6695,skl_birch,s-set1_y.zip
