eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.1,2,euclidean,auto,4,0.0092930793762207,-0.2346,142.2196,1.2859,0.9409,0.8737,0.639,0.8495,0.8507,1.0,0.7403,0.8507,0.9542,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,correlation,auto,4,0.0572068691253662,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,correlation,auto,4,0.0608003139495849,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,correlation,auto,4,0.0594048500061035,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,correlation,auto,4,0.0543632507324218,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,cosine,auto,4,0.0530261993408203,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,cosine,auto,4,0.0478475093841552,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,cosine,auto,4,0.0461664199829101,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,cosine,auto,4,0.0473451614379882,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,euclidean,auto,4,0.0140116214752197,-0.2115,166.6622,20.6948,0.8614,0.7189,0.639,0.7336,0.7353,1.0,0.5814,0.7353,0.8888,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,euclidean,auto,4,0.0090548992156982,-0.2115,166.6622,20.6948,0.8614,0.7189,0.639,0.7336,0.7353,1.0,0.5814,0.7353,0.8888,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,euclidean,auto,4,0.0090758800506591,-0.2115,166.6622,20.6948,0.8614,0.7189,0.639,0.7336,0.7353,1.0,0.5814,0.7353,0.8888,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,5,euclidean,auto,4,0.0102322101593017,-0.2115,166.6622,20.6948,0.8614,0.7189,0.639,0.7336,0.7353,1.0,0.5814,0.7353,0.8888,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,correlation,auto,4,0.0659296512603759,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,correlation,auto,4,0.0592067241668701,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,correlation,auto,4,0.0597057342529296,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,correlation,auto,4,0.0549526214599609,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,cosine,auto,4,0.0574634075164794,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,cosine,auto,4,0.0545992851257324,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,cosine,auto,4,0.0484571456909179,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,cosine,auto,4,0.0553553104400634,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,euclidean,auto,4,0.0122461318969726,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,euclidean,auto,4,0.0120923519134521,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,euclidean,auto,4,0.0165605545043945,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,10,euclidean,auto,4,0.0129032135009765,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,correlation,auto,4,0.0678739547729492,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,correlation,auto,4,0.0584363937377929,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,correlation,auto,4,0.0573666095733642,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,correlation,auto,4,0.060558795928955,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,cosine,auto,4,0.0529201030731201,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,cosine,auto,4,0.050473928451538,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,cosine,auto,4,0.0491466522216796,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,cosine,auto,4,0.0511798858642578,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,euclidean,auto,4,0.0150058269500732,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,euclidean,auto,4,0.0120868682861328,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,euclidean,auto,4,0.0122444629669189,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,2,euclidean,auto,4,0.0122199058532714,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,correlation,auto,4,0.0652711391448974,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,correlation,auto,4,0.055009126663208,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,correlation,auto,4,0.0593807697296142,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,correlation,auto,4,0.0605278015136718,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,cosine,auto,4,0.0548129081726074,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,cosine,auto,4,0.0486977100372314,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,cosine,auto,4,0.055901288986206,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,cosine,auto,4,0.0482845306396484,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,euclidean,auto,4,0.0142266750335693,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,euclidean,auto,4,0.0121033191680908,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,euclidean,auto,4,0.0121173858642578,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.25,5,euclidean,auto,4,0.0133605003356933,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,correlation,auto,4,0.0625667572021484,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,correlation,auto,4,0.0604236125946044,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,correlation,auto,4,0.0528788566589355,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,correlation,auto,4,0.0608088970184326,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,cosine,auto,4,0.0609211921691894,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,cosine,auto,4,0.0515437126159668,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,cosine,auto,4,0.0503280162811279,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,cosine,auto,4,0.0508255958557128,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,euclidean,auto,4,0.0151019096374511,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,euclidean,auto,4,0.0181589126586914,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,euclidean,auto,4,0.01639986038208,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,10,euclidean,auto,4,0.0164661407470703,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,correlation,auto,4,0.065514326095581,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,correlation,auto,4,0.0520622730255126,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,correlation,auto,4,0.0592200756072998,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,correlation,auto,4,0.0605678558349609,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,cosine,auto,4,0.0606815814971923,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,cosine,auto,4,0.0503275394439697,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,cosine,auto,4,0.0575661659240722,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,cosine,auto,4,0.0497400760650634,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,euclidean,auto,4,0.0184769630432128,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,euclidean,auto,4,0.0161762237548828,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,euclidean,auto,4,0.0162456035614013,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,2,euclidean,auto,4,0.0189034938812255,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,correlation,auto,4,0.0657150745391845,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,correlation,auto,4,0.0622062683105468,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,correlation,auto,4,0.0591983795166015,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,correlation,auto,4,0.0568578243255615,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,cosine,auto,4,0.0650000572204589,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,cosine,auto,4,0.0527834892272949,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,cosine,auto,4,0.0523760318756103,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,cosine,auto,4,0.0531752109527587,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,euclidean,auto,4,0.0199697017669677,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,euclidean,auto,4,0.01617431640625,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,euclidean,auto,4,0.0147030353546142,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.5,5,euclidean,auto,4,0.0181214809417724,0.361,676.4491,0.581,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,correlation,auto,4,0.0597774982452392,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,correlation,auto,4,0.0613157749176025,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,correlation,auto,4,0.0592226982116699,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,correlation,auto,4,0.0627365112304687,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,cosine,auto,4,0.0664999485015869,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,cosine,auto,4,0.0580785274505615,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,cosine,auto,4,0.0588533878326416,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,cosine,auto,4,0.0500977039337158,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,euclidean,auto,4,0.0267503261566162,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,euclidean,auto,4,0.0139954090118408,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,euclidean,auto,4,0.0124778747558593,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.75,10,euclidean,auto,4,0.0209054946899414,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
