min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,inf,correlation,auto,4,5.673732280731201,0.3407,1087.0127,1.2487,0.5517,0.1043,0.2877,0.271,0.2719,0.2019,0.4161,0.2719,0.4577,skl_OPTICS,cure-t1-2000n-2D_y.zip
10,inf,cosine,auto,4,10.250649452209473,-0.3049,48.5214,6.3074,0.669,0.0146,0.9538,0.3358,0.3645,0.6692,0.2505,0.3645,0.1716,skl_OPTICS,cure-t1-2000n-2D_y.zip
10,inf,euclidean,auto,4,3.7045726776123047,-0.2869,25.4006,1.9396,0.5847,0.0637,0.6269,0.3183,0.3424,0.4399,0.2803,0.3424,0.372,skl_OPTICS,cure-t1-2000n-2D_y.zip
20,inf,correlation,auto,4,5.203276872634888,0.3407,1087.0127,1.2487,0.5517,0.1043,0.2877,0.271,0.2719,0.2019,0.4161,0.2719,0.4577,skl_OPTICS,cure-t1-2000n-2D_y.zip
20,inf,cosine,auto,4,8.418334722518921,-0.2304,95.0759,3.648,0.6566,0.026,0.8651,0.3723,0.3864,0.607,0.2834,0.3864,0.2168,skl_OPTICS,cure-t1-2000n-2D_y.zip
20,inf,euclidean,auto,4,3.7194912433624263,-0.221,128.5915,1.2524,0.593,0.2549,0.5189,0.452,0.4558,0.3641,0.6092,0.4558,0.5945,skl_OPTICS,cure-t1-2000n-2D_y.zip
2,inf,correlation,auto,4,5.171939373016357,0.3407,1087.0127,1.2487,0.5517,0.1043,0.2877,0.271,0.2719,0.2019,0.4161,0.2719,0.4577,skl_OPTICS,cure-t1-2000n-2D_y.zip
2,inf,cosine,auto,4,10.0818989276886,-0.5307,16.2487,13.1007,0.6939,0.0036,1.2638,0.1835,0.3295,0.8868,0.2023,0.3295,0.0556,skl_OPTICS,cure-t1-2000n-2D_y.zip
2,inf,euclidean,auto,4,5.0287394523620605,0.2646,12.3044,1.5383,0.6869,0.0099,1.1984,0.1979,0.3355,0.8408,0.2096,0.3355,0.111,skl_OPTICS,cure-t1-2000n-2D_y.zip
3,inf,correlation,auto,4,5.194817543029785,0.3407,1087.0127,1.2487,0.5517,0.1043,0.2877,0.271,0.2719,0.2019,0.4161,0.2719,0.4577,skl_OPTICS,cure-t1-2000n-2D_y.zip
3,inf,cosine,auto,4,10.114748001098633,-0.4899,16.0872,10.043,0.6856,0.0046,1.1103,0.2309,0.3282,0.779,0.2079,0.3282,0.1007,skl_OPTICS,cure-t1-2000n-2D_y.zip
3,inf,euclidean,auto,4,3.7075161933898926,0.0297,10.9522,1.4127,0.6431,-0.0122,0.9129,0.2262,0.3179,0.6405,0.2114,0.3179,0.1819,skl_OPTICS,cure-t1-2000n-2D_y.zip
5,inf,correlation,auto,4,5.182805299758911,0.3407,1087.0127,1.2487,0.5517,0.1043,0.2877,0.271,0.2719,0.2019,0.4161,0.2719,0.4577,skl_OPTICS,cure-t1-2000n-2D_y.zip
5,inf,cosine,auto,4,10.11622166633606,-0.4237,22.9451,9.7481,0.6726,0.0081,0.9872,0.2767,0.3355,0.6927,0.2214,0.3355,0.1499,skl_OPTICS,cure-t1-2000n-2D_y.zip
5,inf,euclidean,auto,4,3.702994108200073,-0.0841,16.4914,1.5891,0.6259,0.0076,0.8198,0.2786,0.3324,0.5752,0.2338,0.3324,0.2434,skl_OPTICS,cure-t1-2000n-2D_y.zip
