n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
12,1.0,100.0,100,1.1956403255462646,-0.1398,109.9401,7.0733,ShallowTree,wine.zip
12,1.0,100.0,20,1.108895778656006,0.0743,534.5287,2.369,ShallowTree,wine.zip
12,1.0,inf,100,0.93184494972229,0.0743,534.5287,2.369,ShallowTree,wine.zip
12,1.0,inf,20,0.8907015323638916,0.0743,534.5287,2.369,ShallowTree,wine.zip
2,0.01,1000.0,100,0.8993673324584961,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.01,1000.0,20,0.8864016532897949,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.01,100.0,100,0.8728530406951904,0.2038,1738.8447,1.8201,ShallowTree,wine.zip
2,0.01,100.0,20,0.7388594150543213,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.01,inf,100,0.8205714225769043,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.01,inf,20,0.6313431262969971,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.03,1000.0,100,0.7599570751190186,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.03,1000.0,20,0.8191180229187012,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.03,100.0,100,0.7553777694702148,0.2038,1738.8447,1.8201,ShallowTree,wine.zip
2,0.03,100.0,20,0.7334449291229248,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.03,inf,100,0.9282796382904052,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.03,inf,20,0.9427971839904784,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.05,1000.0,100,0.676034688949585,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.05,1000.0,20,0.9382493495941162,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.05,100.0,100,0.9436774253845216,0.2038,1738.8447,1.8201,ShallowTree,wine.zip
2,0.05,100.0,20,0.7230861186981201,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.05,inf,100,0.7459168434143066,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.05,inf,20,0.6815989017486572,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.0,1000.0,100,0.7281897068023682,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.0,1000.0,20,0.8458197116851807,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.0,100.0,100,0.7926397323608398,0.2038,1738.8447,1.8201,ShallowTree,wine.zip
2,0.0,100.0,20,0.8529524803161621,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.0,inf,100,1.0242910385131836,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,0.0,inf,20,1.0489840507507324,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,1.0,1000.0,100,0.7498869895935059,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,1.0,1000.0,20,0.8352358341217041,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,1.0,100.0,100,0.7355601787567139,0.2038,1738.8447,1.8201,ShallowTree,wine.zip
2,1.0,100.0,20,0.8514211177825928,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,1.0,inf,100,0.7950625419616699,0.204,1741.4839,1.8186,ShallowTree,wine.zip
2,1.0,inf,20,0.7201950550079346,0.204,1741.4839,1.8186,ShallowTree,wine.zip
4,0.01,1000.0,100,1.0933411121368408,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.01,1000.0,20,0.8309710025787354,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.01,100.0,100,0.785130500793457,0.1731,1167.9533,1.6898,ShallowTree,wine.zip
4,0.01,100.0,20,0.9542217254638672,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.01,inf,100,0.8490407466888428,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.01,inf,20,0.9502205848693848,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.03,1000.0,100,0.7215418815612793,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.03,1000.0,20,0.9428925514221193,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.03,100.0,100,0.8966705799102783,0.1731,1167.9533,1.6898,ShallowTree,wine.zip
4,0.03,100.0,20,0.926243782043457,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.03,inf,100,0.9237120151519777,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.03,inf,20,0.805213451385498,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.05,1000.0,100,0.7380414009094238,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.05,1000.0,20,0.6664559841156006,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.05,100.0,100,0.8987936973571777,0.1731,1167.9533,1.6898,ShallowTree,wine.zip
4,0.05,100.0,20,0.8848159313201904,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.05,inf,100,0.8006901741027832,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.05,inf,20,0.883800745010376,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.0,1000.0,100,0.8671486377716064,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.0,1000.0,20,0.8259408473968506,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.0,100.0,100,0.976283311843872,0.1731,1167.9533,1.6898,ShallowTree,wine.zip
4,0.0,100.0,20,0.8754098415374756,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.0,inf,100,0.8784446716308594,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,0.0,inf,20,0.902909517288208,0.1732,1168.7383,1.6929,ShallowTree,wine.zip
4,1.0,1000.0,100,1.014078140258789,0.0186,773.2527,2.2426,ShallowTree,wine.zip
4,1.0,1000.0,20,0.909698247909546,0.0186,773.2527,2.2426,ShallowTree,wine.zip
4,1.0,100.0,100,1.085442304611206,0.0993,794.5259,2.7573,ShallowTree,wine.zip
4,1.0,100.0,20,0.7308027744293213,0.0186,773.2527,2.2426,ShallowTree,wine.zip
4,1.0,inf,100,0.9522719383239746,0.0186,773.2527,2.2426,ShallowTree,wine.zip
4,1.0,inf,20,0.8976960182189941,0.0186,773.2527,2.2426,ShallowTree,wine.zip
6,0.01,1000.0,100,0.9171466827392578,0.1352,971.015,1.9576,ShallowTree,wine.zip
6,0.01,1000.0,20,0.7735295295715332,0.1352,971.015,1.9576,ShallowTree,wine.zip
6,0.01,100.0,100,0.967926263809204,0.1352,969.1799,1.9581,ShallowTree,wine.zip
6,0.01,100.0,20,0.7216286659240723,0.1352,971.015,1.9576,ShallowTree,wine.zip
6,0.01,inf,100,0.8471789360046387,0.1352,971.015,1.9576,ShallowTree,wine.zip
6,0.01,inf,20,0.7384920120239258,0.1352,971.015,1.9576,ShallowTree,wine.zip
6,0.03,1000.0,100,1.0146770477294922,0.1492,1014.1529,1.9196,ShallowTree,wine.zip
6,0.03,1000.0,20,1.0858159065246582,0.1492,1014.1529,1.9196,ShallowTree,wine.zip
6,0.03,100.0,100,1.1688766479492188,0.149,1012.039,1.9155,ShallowTree,wine.zip
6,0.03,100.0,20,1.1118297576904297,0.1492,1014.1529,1.9196,ShallowTree,wine.zip
6,0.03,inf,100,0.7340700626373291,0.1492,1014.1529,1.9196,ShallowTree,wine.zip
6,0.03,inf,20,0.963792324066162,0.1492,1014.1529,1.9196,ShallowTree,wine.zip
6,0.05,1000.0,100,0.9080040454864502,0.1456,1005.2188,1.8877,ShallowTree,wine.zip
6,0.05,1000.0,20,0.9984021186828612,0.1456,1005.2188,1.8877,ShallowTree,wine.zip
6,0.05,100.0,100,0.7675392627716064,0.144,999.5866,1.8873,ShallowTree,wine.zip
6,0.05,100.0,20,0.7100560665130615,0.1456,1005.2188,1.8877,ShallowTree,wine.zip
6,0.05,inf,100,0.82356858253479,0.1456,1005.2188,1.8877,ShallowTree,wine.zip
6,0.05,inf,20,0.8219749927520752,0.1456,1005.2188,1.8877,ShallowTree,wine.zip
6,0.0,1000.0,100,0.8664274215698242,0.1383,1018.7157,1.9394,ShallowTree,wine.zip
6,0.0,1000.0,20,0.8917765617370605,0.1383,1018.7157,1.9394,ShallowTree,wine.zip
6,0.0,100.0,100,0.9488465785980223,0.1391,1017.0552,1.9389,ShallowTree,wine.zip
6,0.0,100.0,20,0.876828670501709,0.1383,1018.7157,1.9394,ShallowTree,wine.zip
6,0.0,inf,100,1.0830590724945068,0.1383,1018.7157,1.9394,ShallowTree,wine.zip
6,0.0,inf,20,0.9794902801513672,0.1383,1018.7157,1.9394,ShallowTree,wine.zip
6,1.0,1000.0,100,0.7534608840942383,-0.0001,599.9307,1.9391,ShallowTree,wine.zip
6,1.0,1000.0,20,0.9121716022491456,-0.0001,599.9307,1.9391,ShallowTree,wine.zip
6,1.0,100.0,100,0.8087115287780762,-0.0008,599.4019,1.9467,ShallowTree,wine.zip
6,1.0,100.0,20,0.981452226638794,-0.0001,599.9307,1.9391,ShallowTree,wine.zip
6,1.0,inf,100,0.8975861072540283,-0.0001,599.9307,1.9391,ShallowTree,wine.zip
6,1.0,inf,20,0.8645205497741699,-0.0001,599.9307,1.9391,ShallowTree,wine.zip
8,0.01,1000.0,100,0.9520299434661864,0.1449,887.929,1.7203,ShallowTree,wine.zip
8,0.01,1000.0,20,1.0849127769470217,0.1449,887.929,1.7203,ShallowTree,wine.zip
8,0.01,100.0,100,1.2311077117919922,0.1429,879.9363,1.7668,ShallowTree,wine.zip
8,0.01,100.0,20,1.1044576168060305,0.1449,887.929,1.7203,ShallowTree,wine.zip
8,0.01,inf,100,1.0519609451293943,0.1449,887.929,1.7203,ShallowTree,wine.zip
8,0.01,inf,20,0.8965494632720947,0.1449,887.929,1.7203,ShallowTree,wine.zip
8,0.03,1000.0,100,0.9011890888214112,0.13,855.1702,1.8242,ShallowTree,wine.zip
8,0.03,1000.0,20,1.1579763889312744,0.13,855.1702,1.8242,ShallowTree,wine.zip
8,0.03,100.0,100,1.2083659172058103,0.1283,849.1019,1.8637,ShallowTree,wine.zip
8,0.03,100.0,20,0.7517056465148926,0.13,855.1702,1.8242,ShallowTree,wine.zip
8,0.03,inf,100,0.8941919803619385,0.13,855.1702,1.8242,ShallowTree,wine.zip
8,0.03,inf,20,1.1483793258666992,0.13,855.1702,1.8242,ShallowTree,wine.zip
8,0.05,1000.0,100,1.1864309310913086,0.1299,854.9341,1.8303,ShallowTree,wine.zip
8,0.05,1000.0,20,1.0166747570037842,0.1299,854.9341,1.8303,ShallowTree,wine.zip
8,0.05,100.0,100,0.9214200973510742,0.1281,845.1123,1.8715,ShallowTree,wine.zip
8,0.05,100.0,20,1.1361212730407717,0.1299,854.9341,1.8303,ShallowTree,wine.zip
8,0.05,inf,100,0.8856847286224365,0.1299,854.9341,1.8303,ShallowTree,wine.zip
8,0.05,inf,20,1.077192783355713,0.1299,854.9341,1.8303,ShallowTree,wine.zip
8,0.0,1000.0,100,1.2432258129119873,0.1382,896.4467,1.8044,ShallowTree,wine.zip
8,0.0,1000.0,20,0.9944970607757568,0.1382,896.4467,1.8044,ShallowTree,wine.zip
8,0.0,100.0,100,1.1537322998046875,0.1368,888.6976,1.8499,ShallowTree,wine.zip
8,0.0,100.0,20,0.8805062770843506,0.1382,896.4467,1.8044,ShallowTree,wine.zip
8,0.0,inf,100,0.8911228179931641,0.1382,896.4467,1.8044,ShallowTree,wine.zip
8,0.0,inf,20,0.9933075904846193,0.1382,896.4467,1.8044,ShallowTree,wine.zip
8,1.0,1000.0,100,1.0466139316558838,0.0206,507.9789,2.7229,ShallowTree,wine.zip
8,1.0,1000.0,20,0.7131872177124023,0.0206,507.9789,2.7229,ShallowTree,wine.zip
8,1.0,100.0,100,0.9922704696655272,0.0164,472.8356,2.7959,ShallowTree,wine.zip
8,1.0,100.0,20,0.8430356979370117,0.0206,507.9789,2.7229,ShallowTree,wine.zip
8,1.0,inf,100,1.0155234336853027,0.0206,507.9789,2.7229,ShallowTree,wine.zip
8,1.0,inf,20,1.2616477012634275,0.0206,507.9789,2.7229,ShallowTree,wine.zip
