n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.1745707988739014,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.239396095275879,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.2621893882751465,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.2989282608032229,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.3394036293029783,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.1439874172210691,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.3398029804229736,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.2068252563476562,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.0223135948181152,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,0.8728854656219482,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.1578266620635986,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.0023193359375,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.047220230102539,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.2568457126617432,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.128740310668945,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.3231799602508545,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
