n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,euclidean,single,1000.0,20,0.0095195770263671,0.1781,25.3219,0.8058,0.5397,0.0081,0.0063,0.0014,0.0112,0.0103,0.0122,0.0112,0.6514,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,euclidean,single,100.0,20,0.0094869136810302,0.1781,25.3219,0.8058,0.5397,0.0081,0.0063,0.0014,0.0112,0.0103,0.0122,0.0112,0.6514,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,euclidean,single,inf,20,0.0094971656799316,0.1781,25.3219,0.8058,0.5397,0.0081,0.0063,0.0014,0.0112,0.0103,0.0122,0.0112,0.6514,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,euclidean,ward,1000.0,20,0.0153806209564208,0.1648,136.1807,1.504,0.4425,0.0077,0.0227,0.0128,0.0159,0.0372,0.0102,0.0159,0.2625,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,euclidean,ward,100.0,20,0.0154006481170654,0.1648,136.1807,1.504,0.4425,0.0077,0.0227,0.0128,0.0159,0.0372,0.0102,0.0159,0.2625,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,euclidean,ward,inf,20,0.0153982639312744,0.1648,136.1807,1.504,0.4425,0.0077,0.0227,0.0128,0.0159,0.0372,0.0102,0.0159,0.2625,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,correlation,average,1000.0,20,0.0153253078460693,0.1279,91.3387,1.7874,0.4371,0.0005,0.0257,0.0137,0.0174,0.0421,0.011,0.0174,0.2447,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,correlation,average,100.0,20,0.015345811843872,0.1279,91.3387,1.7874,0.4371,0.0005,0.0257,0.0137,0.0174,0.0421,0.011,0.0174,0.2447,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,correlation,average,inf,20,0.015326976776123,0.1279,91.3387,1.7874,0.4371,0.0005,0.0257,0.0137,0.0174,0.0421,0.011,0.0174,0.2447,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,correlation,complete,1000.0,20,0.0149500370025634,0.0916,82.2861,1.9335,0.4457,0.0128,0.0238,0.0125,0.0163,0.039,0.0103,0.0163,0.2708,skl_agglomerativeClust,german_creditONEHOT_y.zip
